query	nearest_type_strain	nearest_type_species	mash_dist	call	ncbi_name	revised_species	agrees_with_revision
GCF_000524395.1	GCA_001457555.1	Fusobacterium polymorphum	0.035215	Fusobacterium polymorphum	Fusobacterium sp. CM22	Fusobacterium polymorphum	1
GCF_000600355.1	GCA_008801775.1	Fusobacterium necrophorum	0.013600	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme B35	Fusobacterium necrophorum	1
GCF_000622045.1	GCA_008801775.1	Fusobacterium necrophorum	0.014130	Fusobacterium necrophorum	Fusobacterium necrophorum HUN048	Fusobacterium necrophorum	1
GCF_000622245.1	GCA_000622245.1	Fusobacterium perfoetens	0.000000	Fusobacterium perfoetens	Fusobacterium perfoetens ATCC 29250	Fusobacterium perfoetens	1
GCF_000691645.1	GCA_900104395.1	Fusobacterium necrophorum	0.003611	Fusobacterium necrophorum	Fusobacterium necrophorum BL	Fusobacterium necrophorum	1
GCF_000691665.1	GCA_900104395.1	Fusobacterium necrophorum	0.010564	Fusobacterium necrophorum	Fusobacterium necrophorum DJ-1	Fusobacterium necrophorum	1
GCF_000691685.1	GCA_900104395.1	Fusobacterium necrophorum	0.011278	Fusobacterium necrophorum	Fusobacterium necrophorum BFTR-1	Fusobacterium necrophorum	1
GCF_000691705.1	GCA_900104395.1	Fusobacterium necrophorum	0.012465	Fusobacterium necrophorum	Fusobacterium necrophorum DAB	Fusobacterium necrophorum	1
GCF_000691745.1	GCA_900104395.1	Fusobacterium necrophorum	0.010441	Fusobacterium necrophorum	Fusobacterium necrophorum DJ-2	Fusobacterium necrophorum	1
GCF_001296085.1	GCA_056823795.1	Fusobacterium animalis	0.029622	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_001296125.1	GCA_000279975.1	Fusobacterium vincentii	0.017588	Fusobacterium vincentii	Fusobacterium vincentii ChDC F8	Fusobacterium vincentii	1
GCF_001296145.1	GCA_056823795.1	Fusobacterium animalis	0.031386	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_001296165.1	GCA_031191795.1	Fusobacterium nucleatum	0.008999	Fusobacterium nucleatum	Fusobacterium nucleatum subsp. nucleatum ChDC F316	Fusobacterium nucleatum	1
GCF_001433955.1	GCA_001457555.1	Fusobacterium polymorphum	0.029765	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_001455085.1	GCA_000292935.1	Fusobacterium hwasookii	0.022428	Fusobacterium hwasookii	Fusobacterium hwasookii ChDC F206	Fusobacterium hwasookii	1
GCF_001455105.1	GCA_000292935.1	Fusobacterium hwasookii	0.022842	Fusobacterium hwasookii	Fusobacterium hwasookii ChDC F300	Fusobacterium hwasookii	1
GCF_001455125.1	GCA_001457555.1	Fusobacterium polymorphum	0.027902	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_001455145.1	GCA_000292935.1	Fusobacterium hwasookii	0.019327	Fusobacterium hwasookii	Fusobacterium hwasookii ChDC F174	Fusobacterium hwasookii	1
GCF_001457555.1	GCA_001457555.1	Fusobacterium polymorphum	0.000000	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_001510735.1	GCA_031191795.1	Fusobacterium nucleatum	0.010861	Fusobacterium nucleatum	Fusobacterium nucleatum subsp. nucleatum	Fusobacterium nucleatum	1
GCF_001546395.1	GCA_003019695.1	Fusobacterium gonidiaformans	0.013282	Fusobacterium gonidiaformans	Fusobacterium equinum	Fusobacterium gonidiaformans	1
GCF_001546435.1	GCA_056823795.1	Fusobacterium animalis	0.037510	Fusobacterium animalis	Fusobacterium nucleatum	Fusobacterium animalis	1
GCF_001596475.1	GCA_008801775.1	Fusobacterium necrophorum	0.016432	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_001596485.1	GCA_008801775.1	Fusobacterium necrophorum	0.005483	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_001596495.1	GCA_008801775.1	Fusobacterium necrophorum	0.014257	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_001597305.1	GCA_008801775.1	Fusobacterium necrophorum	0.015697	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_001597315.1	GCA_008801775.1	Fusobacterium necrophorum	0.015562	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_001597325.1	GCA_008801775.1	Fusobacterium necrophorum	0.014318	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_001597335.1	GCA_008801775.1	Fusobacterium necrophorum	0.016097	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_001597385.1	GCA_008801775.1	Fusobacterium necrophorum	0.003393	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_001597395.1	GCA_008801775.1	Fusobacterium necrophorum	0.017103	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_001597405.1	GCA_008801775.1	Fusobacterium necrophorum	0.016663	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_001597445.1	GCA_008801775.1	Fusobacterium necrophorum	0.017092	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_001597465.1	GCA_008801775.1	Fusobacterium necrophorum	0.016828	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_001597475.1	GCA_008801775.1	Fusobacterium necrophorum	0.016164	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_001597485.1	GCA_008801775.1	Fusobacterium necrophorum	0.003219	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_001597525.1	GCA_008801775.1	Fusobacterium necrophorum	0.003584	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_001597545.1	GCA_008801775.1	Fusobacterium necrophorum	0.015784	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_001597565.1	GCA_008801775.1	Fusobacterium necrophorum	0.016555	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_001597575.1	GCA_008801775.1	Fusobacterium necrophorum	0.016208	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_001810475.1	GCA_900637705.1	Fusobacterium varium	0.013030	Fusobacterium varium	Fusobacterium sp. HMSC073F01	Fusobacterium varium	1
GCF_001810995.1	GCA_000182945.1	Fusobacterium vincentii	0.012126	Fusobacterium vincentii	Fusobacterium sp. HMSC064B12	Fusobacterium vincentii	1
GCF_001813745.1	GCA_056823795.1	Fusobacterium animalis	0.031651	Fusobacterium animalis	Fusobacterium sp. HMSC065F01	Fusobacterium animalis	1
GCF_001815715.1	GCA_001457555.1	Fusobacterium polymorphum	0.027495	Fusobacterium polymorphum	Fusobacterium sp. HMSC064B11	Fusobacterium polymorphum	1
GCF_001854465.1	GCA_900450795.1	Fusobacterium vincentii	0.004962	Fusobacterium vincentii	Fusobacterium nucleatum	Fusobacterium vincentii	1
GCF_002202115.1	GCA_001457555.1	Fusobacterium polymorphum	0.028965	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_002204435.1	GCA_001457555.1	Fusobacterium polymorphum	0.031195	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_002211605.1	GCA_031191795.1	Fusobacterium nucleatum	0.009027	Fusobacterium nucleatum	Fusobacterium nucleatum subsp. nucleatum	Fusobacterium nucleatum	1
GCF_002211625.1	GCA_001457555.1	Fusobacterium polymorphum	0.028153	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_002243405.1	GCA_055694045.1	Fusobacterium abscessus	0.018374	Fusobacterium abscessus	Fusobacterium sp. oral taxon 203	Fusobacterium nucleatum	0
GCF_002573475.1	GCA_056823795.1	Fusobacterium animalis	0.031255	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_002573625.1	GCA_001457555.1	Fusobacterium polymorphum	0.044765		Fusobacterium polymorphum	Fusobacterium polymorphum	
GCF_002591465.1	GCA_001457555.1	Fusobacterium polymorphum	0.027381	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_002591475.1	GCA_001457555.1	Fusobacterium polymorphum	0.033269	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_002591505.1	GCA_001457555.1	Fusobacterium polymorphum	0.035599	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_002591515.1	GCA_001457555.1	Fusobacterium polymorphum	0.036358	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_002591545.1	GCA_001457555.1	Fusobacterium polymorphum	0.035377	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_002591555.1	GCA_001457555.1	Fusobacterium polymorphum	0.040627	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_002591585.1	GCA_001457555.1	Fusobacterium polymorphum	0.034699	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_002591645.1	GCA_035320945.1	Fusobacterium polymorphum	0.034597	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_002749995.1	GCA_900450795.1	Fusobacterium vincentii	0.017706	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_002761915.1	GCA_001457555.1	Fusobacterium polymorphum	0.035798	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_002761935.1	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.027477	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	1
GCF_002761955.1	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.000000	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	1
GCF_002761995.1	GCA_008801775.1	Fusobacterium necrophorum	0.015730	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_002762005.1	GCA_056823795.1	Fusobacterium animalis	0.032301	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_002762015.1	GCA_056823795.1	Fusobacterium animalis	0.032187	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_002762025.1	GCA_008801775.1	Fusobacterium necrophorum	0.015724	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_002763595.1	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.027103	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	1
GCF_002763625.1	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.026420	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	1
GCF_002763695.1	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.042599	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	1
GCF_002763735.1	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.028716	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	1
GCF_002763775.1	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.029217	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	1
GCF_002763815.1	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.028670	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	1
GCF_002763875.1	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.036298	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	1
GCF_002763915.1	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.042481	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	1
GCF_002763925.1	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.029217	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	1
GCF_002764055.1	GCA_900450795.1	Fusobacterium vincentii	0.017999	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_002884895.1	GCA_056823795.1	Fusobacterium animalis	0.031245	Fusobacterium animalis	Fusobacterium nucleatum	Fusobacterium animalis	1
GCF_003019295.1	GCA_003019295.1	Fusobacterium nucleatum	0.000000	Fusobacterium nucleatum	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	Fusobacterium nucleatum	1
GCF_003019315.1	GCA_900450765.1	Fusobacterium necrogenes	0.090492		Fusobacterium mortiferum ATCC 9817	Fusobacterium mortiferum	
GCF_003019655.1	GCA_900637705.1	Fusobacterium varium	0.000589	Fusobacterium varium	Fusobacterium varium ATCC 27725	Fusobacterium varium	1
GCF_003019675.1	GCA_003019675.1	Fusobacterium ulcerans	0.000000	Fusobacterium ulcerans	Fusobacterium ulcerans	Fusobacterium ulcerans	1
GCF_003019695.1	GCA_003019695.1	Fusobacterium gonidiaformans	0.000000	Fusobacterium gonidiaformans	Fusobacterium gonidiaformans ATCC 25563	Fusobacterium gonidiaformans	1
GCF_003019715.1	GCA_008801775.1	Fusobacterium necrophorum	0.014725	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_003019755.1	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.040133	Fusobacterium pseudoperiodonticum	Fusobacterium periodonticum	Fusobacterium pseudoperiodonticum	1
GCF_003019785.1	GCA_031191795.1	Fusobacterium nucleatum	0.011897	Fusobacterium nucleatum	Fusobacterium nucleatum subsp. nucleatum ATCC 23726	Fusobacterium nucleatum	1
GCF_003436335.1	GCA_900637705.1	Fusobacterium varium	0.011031	Fusobacterium varium	Fusobacterium varium	Fusobacterium varium	1
GCF_003438345.1	GCA_900450765.1	Fusobacterium necrogenes	0.086993		Fusobacterium mortiferum	Fusobacterium mortiferum	
GCF_003463295.1	GCA_003019675.1	Fusobacterium ulcerans	0.014441	Fusobacterium ulcerans	Fusobacterium ulcerans	Fusobacterium ulcerans	1
GCF_003470285.1	GCA_900450765.1	Fusobacterium necrogenes	0.088109		Fusobacterium mortiferum	Fusobacterium mortiferum	
GCF_003470425.1	GCA_900637705.1	Fusobacterium varium	0.011194	Fusobacterium varium	Fusobacterium varium	Fusobacterium varium	1
GCF_003470805.1	GCA_900450765.1	Fusobacterium necrogenes	0.090383		Fusobacterium mortiferum	Fusobacterium mortiferum	
GCF_003732505.1	GCA_008801775.1	Fusobacterium necrophorum	0.003378	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_003732525.1	GCA_008801775.1	Fusobacterium necrophorum	0.016459	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_003859915.1	GCA_016724785.1	Fusobacterium canifelinum	0.013924	Fusobacterium canifelinum	Fusobacterium canifelinum	Fusobacterium canifelinum	1
GCF_004134945.1	GCA_008801775.1	Fusobacterium necrophorum	0.036143	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_004134955.1	GCA_008801775.1	Fusobacterium necrophorum	0.014715	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_008633215.1	GCA_049381025.1	Fusobacterium watanabei	0.010280	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_008801775.1	GCA_008801775.1	Fusobacterium necrophorum	0.000000	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_009696105.1	GCA_900450765.1	Fusobacterium necrogenes	0.088679		Fusobacterium sp. FSA-380-WT-2B	Fusobacterium mortiferum	
GCF_010367435.1	GCA_000622245.1	Fusobacterium perfoetens	0.230110		Fusobacterium sp. IOR10	Fusobacterium sp. IOR10	
GCF_012843705.1	GCA_000622245.1	Fusobacterium perfoetens	0.053568		Fusobacterium sp. FSA-380-WT-3A	Fusobacterium sp. FSA-380-WT-3A	
GCF_014217355.1	GCA_014217355.1	Fusobacterium hwasookii	0.000000	Fusobacterium hwasookii	Fusobacterium hwasookii	Fusobacterium hwasookii	1
GCF_014217375.1	GCA_000292935.1	Fusobacterium hwasookii	0.021347	Fusobacterium hwasookii	Fusobacterium hwasookii	Fusobacterium hwasookii	1
GCF_014337255.1	GCA_014337255.1	Fusobacterium hominis	0.000000	Fusobacterium hominis	Fusobacterium hominis	Fusobacterium hominis	1
GCF_015552935.1	GCA_026089295.1	Fusobacterium simiae	0.015092	Fusobacterium simiae	Fusobacterium sp. 1001295B_180824_G3	Fusobacterium simiae	1
GCF_015555635.1	GCA_900637705.1	Fusobacterium varium	0.012293	Fusobacterium varium	Fusobacterium varium	Fusobacterium varium	1
GCF_016127595.1	GCA_016724785.1	Fusobacterium canifelinum	0.016275	Fusobacterium canifelinum	Fusobacterium canifelinum	Fusobacterium canifelinum	1
GCF_016724785.1	GCA_016724785.1	Fusobacterium canifelinum	0.000000	Fusobacterium canifelinum	Fusobacterium canifelinum	Fusobacterium canifelinum	1
GCF_016902335.1	GCA_900450765.1	Fusobacterium necrogenes	0.146116		Fusobacterium mortiferum	Fusobacterium sp. An425	
GCF_018205305.1	GCA_014337255.1	Fusobacterium hominis	0.153528		Fusobacterium sp. DD4	Fusobacterium bovis	
GCF_018205335.1	GCA_014337255.1	Fusobacterium hominis	0.153528		Fusobacterium sp. DD3	Fusobacterium bovis	
GCF_018205345.1	GCA_014337255.1	Fusobacterium hominis	0.153298		Fusobacterium sp. DD2	Fusobacterium bovis	
GCF_018205395.1	GCA_014337255.1	Fusobacterium hominis	0.161003		Fusobacterium sp. DD1	Fusobacterium bovis	
GCF_018205455.1	GCA_014337255.1	Fusobacterium hominis	0.153528		Fusobacterium sp. DD6	Fusobacterium bovis	
GCF_018205515.1	GCA_014337255.1	Fusobacterium hominis	0.153528		Fusobacterium sp. DD10	Fusobacterium bovis	
GCF_018205555.1	GCA_014337255.1	Fusobacterium hominis	0.153528		Fusobacterium sp. DD13	Fusobacterium bovis	
GCF_018205575.1	GCA_014337255.1	Fusobacterium hominis	0.153528		Fusobacterium sp. DD12	Fusobacterium bovis	
GCF_018205755.1	GCA_014337255.1	Fusobacterium hominis	0.153528		Fusobacterium sp. DD14	Fusobacterium bovis	
GCF_018205855.1	GCA_014337255.1	Fusobacterium hominis	0.153528		Fusobacterium sp. DD17	Fusobacterium bovis	
GCF_018206035.1	GCA_014337255.1	Fusobacterium hominis	0.153528		Fusobacterium sp. DD25	Fusobacterium bovis	
GCF_018206065.1	GCA_014337255.1	Fusobacterium hominis	0.159407		Fusobacterium sp. DD26	Fusobacterium bovis	
GCF_018206095.1	GCA_014337255.1	Fusobacterium hominis	0.153528		Fusobacterium sp. DD29	Fusobacterium bovis	
GCF_018206215.1	GCA_014337255.1	Fusobacterium hominis	0.159146		Fusobacterium sp. DD28	Fusobacterium bovis	
GCF_018206505.1	GCA_008801775.1	Fusobacterium necrophorum	0.012555	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_018206575.1	GCA_014337255.1	Fusobacterium hominis	0.153528		Fusobacterium sp. DD40	Fusobacterium bovis	
