acc_a	acc_b	class	genus_a	genus_b	n_bbh	aai	prot_dist
GCA_001906925.1	GCA_900636385.1	inter_genus	Domibacillus	Staphylococcus	1001	54.1887	0.449332
GCA_003254155.1	GCA_900636385.1	inter_genus	Psychrobacillus	Staphylococcus	1005	54.1822	0.469856
GCA_008973485.1	GCA_900636385.1	inter_genus	Psychrobacillus	Staphylococcus	1020	54.1724	0.493985
GCA_014212135.1	GCA_042656585.1	inter_genus	Cohnella	Thalassorhabdus	1274	53.9274	
GCA_006861775.1	GCA_900636385.1	inter_genus	Psychrobacillus	Staphylococcus	1059	53.9181	0.477439
GCA_006861795.1	GCA_900636385.1	inter_genus	Psychrobacillus	Staphylococcus	1065	53.8915	0.477439
GCA_001643235.1	GCA_900636385.1	inter_genus	Domibacillus	Staphylococcus	1052	53.8804	0.455838
GCA_014651475.1	GCA_042650985.1	inter_genus	Mesonia	Epilithonimonas	1195	53.8261	0.485465
GCA_014651475.1	GCA_900142325.1	inter_genus	Mesonia	Epilithonimonas	1156	53.7719	0.469856
GCA_014651475.1	GCA_042654505.1	inter_genus	Mesonia	Epilithonimonas	1182	53.7635	0.477439
GCA_014212135.1	GCA_020734105.1	inter_genus	Cohnella	Alkalihalobacillus	1426	53.7587	
GCA_003054265.1	GCA_004365655.1	inter_genus	Kordia	Epilithonimonas	1108	53.7236	
GCA_000154725.1	GCA_042654505.1	inter_genus	Kordia	Epilithonimonas	1168	53.6776	
GCA_001643235.1	GCA_014212135.1	inter_genus	Domibacillus	Cohnella	1414	53.6757	0.493985
GCA_004365655.1	GCA_014651475.1	inter_genus	Epilithonimonas	Mesonia	1135	53.6641	0.485465
GCA_000970675.1	GCA_014212135.1	inter_genus	Domibacillus	Cohnella	1399	53.6362	
GCA_000292245.2	GCA_014212135.1	inter_genus	Alkalihalobacillus	Cohnella	1559	53.6340	0.493985
GCA_042656585.1	GCA_900636385.1	inter_genus	Thalassorhabdus	Staphylococcus	913	53.6325	
GCA_000966185.1	GCA_014212135.1	inter_genus	Domibacillus	Cohnella	1526	53.6290	
GCA_003054265.1	GCA_042654505.1	inter_genus	Kordia	Epilithonimonas	1161	53.6035	
GCA_001005315.1	GCA_042654505.1	inter_genus	Kordia	Epilithonimonas	1171	53.5899	
GCA_001906925.1	GCA_014212135.1	inter_genus	Domibacillus	Cohnella	1321	53.4942	0.493985
GCA_000154725.1	GCA_004365655.1	inter_genus	Kordia	Epilithonimonas	1133	53.4662	
GCA_001005315.1	GCA_004365655.1	inter_genus	Kordia	Epilithonimonas	1143	53.4661	
GCA_000154725.1	GCA_042650985.1	inter_genus	Kordia	Epilithonimonas	1199	53.4516	0.485465
GCA_003054265.1	GCA_042650985.1	inter_genus	Kordia	Epilithonimonas	1176	53.4501	
GCA_003054265.1	GCA_900142325.1	inter_genus	Kordia	Epilithonimonas	1143	53.4144	
GCA_019334345.1	GCA_041537905.1	inter_genus	Neohoeflea	Ruegeria	1411	53.4084	0.469856
GCA_000292245.2	GCA_900636385.1	inter_genus	Alkalihalobacillus	Staphylococcus	969	53.3920	
GCA_000154725.1	GCA_900142325.1	inter_genus	Kordia	Epilithonimonas	1148	53.3907	
GCA_020734105.1	GCA_900636385.1	inter_genus	Alkalihalobacillus	Staphylococcus	954	53.3546	
GCA_001005315.1	GCA_042650985.1	inter_genus	Kordia	Epilithonimonas	1199	53.3132	
GCA_014212135.1	GCA_028610675.1	inter_genus	Cohnella	Alkalihalobacillus	1598	53.3050	0.485465
GCA_001005315.1	GCA_900142325.1	inter_genus	Kordia	Epilithonimonas	1149	53.2532	
GCA_028610675.1	GCA_900636385.1	inter_genus	Alkalihalobacillus	Staphylococcus	976	53.2519	0.443122
GCA_003574395.1	GCA_019334345.1	inter_genus	Tabrizicola	Neohoeflea	1322	53.1999	0.437182
GCA_009901525.1	GCA_900142325.1	inter_genus	Kordia	Epilithonimonas	1162	53.1472	0.493985
GCA_047302405.1	GCA_900636385.1	inter_genus	Alkalihalobacillus	Staphylococcus	999	53.1171	0.469856
GCA_015999335.1	GCA_019334345.1	inter_genus	Tabrizicola	Neohoeflea	1429	53.1071	0.493985
GCA_014212135.1	GCA_047302405.1	inter_genus	Cohnella	Alkalihalobacillus	1710	53.1046	0.469856
GCA_004365655.1	GCA_009901525.1	inter_genus	Epilithonimonas	Kordia	1150	53.0742	
GCA_014212135.1	GCA_030814065.1	inter_genus	Cohnella	Mesobacillus	1466	53.0625	0.485465
GCA_009901525.1	GCA_042654505.1	inter_genus	Kordia	Epilithonimonas	1188	52.9949	
GCA_011008935.1	GCA_019334345.1	inter_genus	Tabrizicola	Neohoeflea	1321	52.9859	
GCA_013328815.1	GCA_019334345.1	inter_genus	Tabrizicola	Neohoeflea	1378	52.9150	
GCA_009901525.1	GCA_042650985.1	inter_genus	Kordia	Epilithonimonas	1223	52.8800	
GCA_016481275.1	GCA_030065535.1	inter_genus	Antrihabitans	Microbacterium	1012	52.7848	0.469856
GCA_008973485.1	GCA_014212135.1	inter_genus	Psychrobacillus	Cohnella	1404	52.7734	0.493985
GCA_003254155.1	GCA_014212135.1	inter_genus	Psychrobacillus	Cohnella	1251	52.7706	
GCA_008297975.1	GCA_030065535.1	inter_genus	Antrihabitans	Microbacterium	1011	52.6714	0.426026
GCA_006861795.1	GCA_014212135.1	inter_genus	Psychrobacillus	Cohnella	1446	52.6572	
GCA_008704535.1	GCA_030065535.1	inter_genus	Streptomyces	Microbacterium	1085	52.6355	0.462668
GCA_006861775.1	GCA_014212135.1	inter_genus	Psychrobacillus	Cohnella	1391	52.5533	
GCA_030065535.1	GCA_043944905.1	inter_genus	Microbacterium	Antrihabitans	1044	52.5239	0.437182
GCA_012932915.1	GCA_030065535.1	inter_genus	Antrihabitans	Microbacterium	1008	52.5005	0.443122
GCA_008704535.1	GCA_043556415.1	inter_genus	Streptomyces	Microbacterium	1049	52.2034	0.443122
GCA_016481275.1	GCA_043556415.1	inter_genus	Antrihabitans	Microbacterium	991	52.1772	0.493985
GCA_025960885.1	GCA_043944905.1	inter_genus	Microbacterium	Antrihabitans	1187	52.1421	0.443122
GCA_008704535.1	GCA_025960885.1	inter_genus	Streptomyces	Microbacterium	1189	52.1139	0.485465
GCA_016481275.1	GCA_025960885.1	inter_genus	Antrihabitans	Microbacterium	1158	52.1080	0.493985
GCA_008297975.1	GCA_025960885.1	inter_genus	Antrihabitans	Microbacterium	1134	52.0907	0.469856
GCA_008704535.1	GCA_013409785.1	inter_genus	Streptomyces	Microbacterium	1197	51.9815	0.469856
GCA_012932915.1	GCA_025960885.1	inter_genus	Antrihabitans	Microbacterium	1154	51.9803	0.449332
GCA_008297975.1	GCA_043556415.1	inter_genus	Antrihabitans	Microbacterium	995	51.9568	0.493985
GCA_030065535.1	GCA_900100925.1	inter_genus	Microbacterium	Actinopolyspora	888	51.8907	0.477439
GCA_043556415.1	GCA_043944905.1	inter_genus	Microbacterium	Antrihabitans	1024	51.8845	0.469856
GCA_013409785.1	GCA_016481275.1	inter_genus	Microbacterium	Antrihabitans	1172	51.8640	0.493985
GCA_012932915.1	GCA_043556415.1	inter_genus	Antrihabitans	Microbacterium	984	51.8306	
GCA_013409785.1	GCA_043944905.1	inter_genus	Microbacterium	Antrihabitans	1166	51.8182	0.462668
GCA_008297975.1	GCA_013409785.1	inter_genus	Antrihabitans	Microbacterium	1137	51.7555	0.469856
GCA_015999335.1	GCA_034424525.1	inter_genus	Tabrizicola	Sphingobium	1108	51.6775	
GCA_012932915.1	GCA_013409785.1	inter_genus	Antrihabitans	Microbacterium	1189	51.6282	0.449332
GCA_009827395.1	GCA_041537905.1	inter_genus	Pontixanthobacter	Ruegeria	929	51.5975	0.493985
GCA_009827395.1	GCA_019334345.1	inter_genus	Pontixanthobacter	Neohoeflea	900	51.5831	
GCA_003574395.1	GCA_034424525.1	inter_genus	Tabrizicola	Sphingobium	1066	51.5745	
GCA_009827395.1	GCA_013328815.1	inter_genus	Pontixanthobacter	Tabrizicola	870	51.5667	
GCA_019334345.1	GCA_034424525.1	inter_genus	Neohoeflea	Sphingobium	1100	51.5481	0.477439
GCA_009828095.1	GCA_019334345.1	inter_genus	Pontixanthobacter	Neohoeflea	910	51.5219	
GCA_013328815.1	GCA_034424525.1	inter_genus	Tabrizicola	Sphingobium	1146	51.4986	
GCA_009827455.1	GCA_013328815.1	inter_genus	Pontixanthobacter	Tabrizicola	866	51.4555	
GCA_009828095.1	GCA_013328815.1	inter_genus	Pontixanthobacter	Tabrizicola	866	51.4500	
GCA_003574395.1	GCA_009827395.1	inter_genus	Tabrizicola	Pontixanthobacter	883	51.4289	
GCA_003574395.1	GCA_009827455.1	inter_genus	Tabrizicola	Pontixanthobacter	902	51.4272	0.493985
