bin	source	completeness	contamination	donor	donor_species	nn_dist	nn_dist_acc	nn_dist_ok	nn_cont	nn_cont_acc	nn_cont_ok
GCA_040359615.1~c0.50~g0.10~near.fna	GCA_040359615.1	0.50	0.10	near	absent	0.171944	GCA_040358985.1	True	0.034983	GCA_040358985.1	True
GCA_040359615.1~c0.50~g0.20~far.fna	GCA_040359615.1	0.50	0.20	far	present	0.061584	GCA_055385515.1	False	0.207561	GCA_055385515.1	False
GCA_040359615.1~c0.50~g0.20~far.fna	GCA_040359615.1	0.50	0.20	far	absent	0.168636	GCA_040358255.1	True	0.037160	GCA_040358255.1	True
GCA_040359615.1~c0.50~g0.20~near.fna	GCA_040359615.1	0.50	0.20	near	present	0.081352	GCA_040358255.1	True	0.232337	GCA_040358255.1	True
GCA_040359615.1~c0.50~g0.20~near.fna	GCA_040359615.1	0.50	0.20	near	absent	0.158630	GCA_040358985.1	True	0.043084	GCA_040358985.1	True
GCA_040359615.1~c0.30~g0.00~none.fna	GCA_040359615.1	0.30	0.00	none	present	0.180587	GCA_040358255.1	True	0.048282	GCA_040358255.1	True
GCA_040359615.1~c0.30~g0.00~none.fna	GCA_040359615.1	0.30	0.00	none	absent	0.180587	GCA_040358255.1	True	0.048282	GCA_040358255.1	True
GCA_040359615.1~c0.30~g0.10~far.fna	GCA_040359615.1	0.30	0.10	far	present	0.104724	GCA_055385515.1	False	0.108838	GCA_055385515.1	False
GCA_040359615.1~c0.30~g0.10~far.fna	GCA_040359615.1	0.30	0.10	far	absent	0.181843	GCA_040358255.1	True	0.043230	GCA_040358255.1	True
GCA_040359615.1~c0.30~g0.10~near.fna	GCA_040359615.1	0.30	0.10	near	present	0.121572	GCA_040358255.1	True	0.153275	GCA_040358255.1	True
GCA_040359615.1~c0.30~g0.10~near.fna	GCA_040359615.1	0.30	0.10	near	absent	0.181843	GCA_040358985.1	True	0.040043	GCA_040358985.1	True
GCA_040359615.1~c0.30~g0.20~far.fna	GCA_040359615.1	0.30	0.20	far	present	0.071623	GCA_055385515.1	False	0.206778	GCA_055385515.1	False
GCA_040359615.1~c0.30~g0.20~far.fna	GCA_040359615.1	0.30	0.20	far	absent	0.183134	GCA_040358255.1	True	0.038751	GCA_040358255.1	True
GCA_040359615.1~c0.30~g0.20~near.fna	GCA_040359615.1	0.30	0.20	near	present	0.097229	GCA_040358255.1	True	0.235095	GCA_040358255.1	True
GCA_040359615.1~c0.30~g0.20~near.fna	GCA_040359615.1	0.30	0.20	near	absent	0.174408	GCA_040358985.1	True	0.043164	GCA_040358985.1	True
GCA_040359615.1~c0.20~g0.00~none.fna	GCA_040359615.1	0.20	0.00	none	present	0.196705	GCA_040358255.1	True	0.047215	GCA_040358255.1	True
GCA_040359615.1~c0.20~g0.00~none.fna	GCA_040359615.1	0.20	0.00	none	absent	0.196705	GCA_040358255.1	True	0.047215	GCA_040358255.1	True
GCA_040359615.1~c0.20~g0.10~far.fna	GCA_040359615.1	0.20	0.10	far	present	0.112243	GCA_055385515.1	False	0.114254	GCA_055385515.1	False
GCA_040359615.1~c0.20~g0.10~far.fna	GCA_040359615.1	0.20	0.10	far	absent	0.197292	GCA_040358255.1	True	0.042153	GCA_040358255.1	True
GCA_040359615.1~c0.20~g0.10~near.fna	GCA_040359615.1	0.20	0.10	near	present	0.135072	GCA_040358255.1	True	0.155699	GCA_040358255.1	True
GCA_040359615.1~c0.20~g0.10~near.fna	GCA_040359615.1	0.20	0.10	near	absent	0.191731	GCA_040358985.1	True	0.043574	GCA_040358985.1	True
GCA_040359615.1~c0.20~g0.20~far.fna	GCA_040359615.1	0.20	0.20	far	present	0.080791	GCA_055385515.1	False	0.207721	GCA_055385515.1	False
GCA_040359615.1~c0.20~g0.20~far.fna	GCA_040359615.1	0.20	0.20	far	absent	0.197292	GCA_040358255.1	True	0.038600	GCA_040358255.1	True
GCA_040359615.1~c0.20~g0.20~near.fna	GCA_040359615.1	0.20	0.20	near	present	0.108907	GCA_040358255.1	True	0.246990	GCA_040358255.1	True
GCA_040359615.1~c0.20~g0.20~near.fna	GCA_040359615.1	0.20	0.20	near	absent	0.182269	GCA_040358985.1	True	0.048764	GCA_040358985.1	True
GCA_040359615.1~c0.10~g0.00~none.fna	GCA_040359615.1	0.10	0.00	none	present	0.217673	GCA_040358255.1	True	0.055392	GCA_040358255.1	True
GCA_040359615.1~c0.10~g0.00~none.fna	GCA_040359615.1	0.10	0.00	none	absent	0.217673	GCA_040358255.1	True	0.055392	GCA_040358255.1	True
GCA_040359615.1~c0.10~g0.10~far.fna	GCA_040359615.1	0.10	0.10	far	present	0.130149	GCA_055385515.1	False	0.124011	GCA_055385515.1	False
GCA_040359615.1~c0.10~g0.10~far.fna	GCA_040359615.1	0.10	0.10	far	absent	0.217673	GCA_040358255.1	True	0.049598	GCA_040358255.1	True
GCA_040359615.1~c0.10~g0.10~near.fna	GCA_040359615.1	0.10	0.10	near	present	0.157865	GCA_040358255.1	True	0.174150	GCA_040358255.1	True
GCA_040359615.1~c0.10~g0.10~near.fna	GCA_040359615.1	0.10	0.10	near	absent	0.218593	GCA_040358985.1	True	0.044342	GCA_040358985.1	True
GCA_040359615.1~c0.10~g0.20~far.fna	GCA_040359615.1	0.10	0.20	far	present	0.102413	GCA_055385515.1	False	0.205084	GCA_055385515.1	False
GCA_040359615.1~c0.10~g0.20~far.fna	GCA_040359615.1	0.10	0.20	far	absent	0.218593	GCA_040358255.1	True	0.044141	GCA_040358255.1	True
GCA_040359615.1~c0.10~g0.20~near.fna	GCA_040359615.1	0.10	0.20	near	present	0.130840	GCA_040358255.1	True	0.277512	GCA_040358255.1	True
GCA_040359615.1~c0.10~g0.20~near.fna	GCA_040359615.1	0.10	0.20	near	absent	0.214163	GCA_040358985.1	True	0.044018	GCA_040358985.1	True
GCA_040358985.1~c1.00~g0.00~none.fna	GCA_040358985.1	1.00	0.00	none	present	0.124371	GCA_040358255.1	True	0.077428	GCA_040358255.1	True
GCA_040358985.1~c1.00~g0.00~none.fna	GCA_040358985.1	1.00	0.00	none	absent	0.124371	GCA_040358255.1	True	0.077428	GCA_040358255.1	True
GCA_040358985.1~c1.00~g0.10~far.fna	GCA_040358985.1	1.00	0.10	far	present	0.094799	GCA_003667345.1	False	0.103883	GCA_003667345.1	False
GCA_040358985.1~c1.00~g0.10~far.fna	GCA_040358985.1	1.00	0.10	far	absent	0.127488	GCA_040358255.1	True	0.068622	GCA_040358255.1	True
GCA_040358985.1~c1.00~g0.10~near.fna	GCA_040358985.1	1.00	0.10	near	present	0.084612	GCA_040358255.1	True	0.168763	GCA_040358255.1	True
GCA_040358985.1~c1.00~g0.10~near.fna	GCA_040358985.1	1.00	0.10	near	absent	0.158119	GCA_040359615.1	True	0.036224	GCA_040359615.1	True
GCA_040358985.1~c1.00~g0.20~far.fna	GCA_040358985.1	1.00	0.20	far	present	0.060969	GCA_003667345.1	False	0.203474	GCA_003667345.1	False
GCA_040358985.1~c1.00~g0.20~far.fna	GCA_040358985.1	1.00	0.20	far	absent	0.130840	GCA_040358255.1	True	0.060468	GCA_040358255.1	True
GCA_040358985.1~c1.00~g0.20~near.fna	GCA_040358985.1	1.00	0.20	near	present	0.063007	GCA_040358255.1	True	0.251022	GCA_040358255.1	True
GCA_040358985.1~c1.00~g0.20~near.fna	GCA_040358985.1	1.00	0.20	near	absent	0.157865	GCA_040359615.1	True	0.034401	GCA_040359615.1	True
GCA_040358985.1~c0.90~g0.00~none.fna	GCA_040358985.1	0.90	0.00	none	present	0.125345	GCA_040358255.1	True	0.080264	GCA_040358255.1	True
GCA_040358985.1~c0.90~g0.00~none.fna	GCA_040358985.1	0.90	0.00	none	absent	0.125345	GCA_040358255.1	True	0.080264	GCA_040358255.1	True
GCA_040358985.1~c0.90~g0.10~far.fna	GCA_040358985.1	0.90	0.10	far	present	0.096783	GCA_003667345.1	False	0.103394	GCA_003667345.1	False
GCA_040358985.1~c0.90~g0.10~far.fna	GCA_040358985.1	0.90	0.10	far	absent	0.127877	GCA_040358255.1	True	0.071794	GCA_040358255.1	True
GCA_040358985.1~c0.90~g0.10~near.fna	GCA_040358985.1	0.90	0.10	near	present	0.087649	GCA_040358255.1	True	0.166986	GCA_040358255.1	True
GCA_040358985.1~c0.90~g0.10~near.fna	GCA_040358985.1	0.90	0.10	near	absent	0.157362	GCA_040359615.1	True	0.038824	GCA_040359615.1	True
GCA_040358985.1~c0.90~g0.20~far.fna	GCA_040358985.1	0.90	0.20	far	present	0.064348	GCA_003667345.1	False	0.196055	GCA_003667345.1	False
GCA_040358985.1~c0.90~g0.20~far.fna	GCA_040358985.1	0.90	0.20	far	absent	0.131119	GCA_040358255.1	True	0.063182	GCA_040358255.1	True
GCA_040358985.1~c0.90~g0.20~near.fna	GCA_040358985.1	0.90	0.20	near	present	0.064797	GCA_040358255.1	True	0.254173	GCA_040358255.1	True
GCA_040358985.1~c0.90~g0.20~near.fna	GCA_040358985.1	0.90	0.20	near	absent	0.156619	GCA_040359615.1	True	0.037135	GCA_040359615.1	True
GCA_040358985.1~c0.70~g0.00~none.fna	GCA_040358985.1	0.70	0.00	none	present	0.132688	GCA_040358255.1	True	0.079412	GCA_040358255.1	True
GCA_040358985.1~c0.70~g0.00~none.fna	GCA_040358985.1	0.70	0.00	none	absent	0.132688	GCA_040358255.1	True	0.079412	GCA_040358255.1	True
GCA_040358985.1~c0.70~g0.10~far.fna	GCA_040358985.1	0.70	0.10	far	present	0.105264	GCA_003667345.1	False	0.095363	GCA_003667345.1	False
GCA_040358985.1~c0.70~g0.10~far.fna	GCA_040358985.1	0.70	0.10	far	absent	0.134464	GCA_040358255.1	True	0.071669	GCA_040358255.1	True
GCA_040358985.1~c0.70~g0.10~near.fna	GCA_040358985.1	0.70	0.10	near	present	0.094378	GCA_040358255.1	True	0.166507	GCA_040358255.1	True
GCA_040358985.1~c0.70~g0.10~near.fna	GCA_040358985.1	0.70	0.10	near	absent	0.163504	GCA_040359615.1	True	0.039216	GCA_040359615.1	True
GCA_040358985.1~c0.70~g0.20~far.fna	GCA_040358985.1	0.70	0.20	far	present	0.069038	GCA_003667345.1	False	0.194666	GCA_003667345.1	False
GCA_040358985.1~c0.70~g0.20~far.fna	GCA_040358985.1	0.70	0.20	far	absent	0.136471	GCA_040358255.1	True	0.064351	GCA_040358255.1	True
GCA_040358985.1~c0.70~g0.20~near.fna	GCA_040358985.1	0.70	0.20	near	present	0.070129	GCA_040358255.1	True	0.258781	GCA_040358255.1	True
GCA_040358985.1~c0.70~g0.20~near.fna	GCA_040358985.1	0.70	0.20	near	absent	0.160465	GCA_040359615.1	True	0.039030	GCA_040359615.1	True
GCA_040358985.1~c0.50~g0.00~none.fna	GCA_040358985.1	0.50	0.00	none	present	0.149777	GCA_040358255.1	True	0.068836	GCA_040358255.1	True
GCA_040358985.1~c0.50~g0.00~none.fna	GCA_040358985.1	0.50	0.00	none	absent	0.149777	GCA_040358255.1	True	0.068836	GCA_040358255.1	True
GCA_040358985.1~c0.50~g0.10~far.fna	GCA_040358985.1	0.50	0.10	far	present	0.111162	GCA_003667345.1	False	0.098434	GCA_003667345.1	False
GCA_040358985.1~c0.50~g0.10~far.fna	GCA_040358985.1	0.50	0.10	far	absent	0.150633	GCA_040358255.1	True	0.062869	GCA_040358255.1	True
GCA_040358985.1~c0.50~g0.10~near.fna	GCA_040358985.1	0.50	0.10	near	present	0.102924	GCA_040358255.1	True	0.170760	GCA_040358255.1	True
GCA_040358985.1~c0.50~g0.10~near.fna	GCA_040358985.1	0.50	0.10	near	absent	0.180176	GCA_040359615.1	True	0.033934	GCA_040359615.1	True
GCA_040358985.1~c0.50~g0.20~far.fna	GCA_040358985.1	0.50	0.20	far	present	0.072306	GCA_003667345.1	False	0.209579	GCA_003667345.1	False
GCA_040358985.1~c0.50~g0.20~far.fna	GCA_040358985.1	0.50	0.20	far	absent	0.153528	GCA_040358255.1	True	0.054640	GCA_040358255.1	True
GCA_040358985.1~c0.50~g0.20~near.fna	GCA_040358985.1	0.50	0.20	near	present	0.081483	GCA_040358255.1	True	0.248397	GCA_040358255.1	True
GCA_040358985.1~c0.50~g0.20~near.fna	GCA_040358985.1	0.50	0.20	near	absent	0.177011	GCA_040359615.1	True	0.033620	GCA_040359615.1	True
GCA_040358985.1~c0.30~g0.00~none.fna	GCA_040358985.1	0.30	0.00	none	present	0.157613	GCA_040358255.1	True	0.085099	GCA_040358255.1	True
GCA_040358985.1~c0.30~g0.00~none.fna	GCA_040358985.1	0.30	0.00	none	absent	0.157613	GCA_040358255.1	True	0.085099	GCA_040358255.1	True
GCA_040358985.1~c0.30~g0.10~far.fna	GCA_040358985.1	0.30	0.10	far	present	0.126340	GCA_003667345.1	False	0.095872	GCA_003667345.1	False
GCA_040358985.1~c0.30~g0.10~far.fna	GCA_040358985.1	0.30	0.10	far	absent	0.158630	GCA_040358255.1	True	0.076732	GCA_040358255.1	True
GCA_040358985.1~c0.30~g0.10~near.fna	GCA_040358985.1	0.30	0.10	near	present	0.116963	GCA_040358255.1	True	0.183673	GCA_040358255.1	True
GCA_040358985.1~c0.30~g0.10~near.fna	GCA_040358985.1	0.30	0.10	near	absent	0.191209	GCA_040359615.1	True	0.038917	GCA_040359615.1	True
GCA_040358985.1~c0.30~g0.20~far.fna	GCA_040358985.1	0.30	0.20	far	present	0.085615	GCA_003667345.1	False	0.208167	GCA_003667345.1	False
GCA_040358985.1~c0.30~g0.20~far.fna	GCA_040358985.1	0.30	0.20	far	absent	0.160198	GCA_040358255.1	True	0.067335	GCA_040358255.1	True
GCA_040358985.1~c0.30~g0.20~near.fna	GCA_040358985.1	0.30	0.20	near	present	0.093961	GCA_040358255.1	True	0.271060	GCA_040358255.1	True
GCA_040358985.1~c0.30~g0.20~near.fna	GCA_040358985.1	0.30	0.20	near	absent	0.184461	GCA_040359615.1	True	0.040815	GCA_040359615.1	True
GCA_040358985.1~c0.20~g0.00~none.fna	GCA_040358985.1	0.20	0.00	none	present	0.173691	GCA_040358255.1	True	0.083976	GCA_040358255.1	True
GCA_040358985.1~c0.20~g0.00~none.fna	GCA_040358985.1	0.20	0.00	none	absent	0.173691	GCA_040358255.1	True	0.083976	GCA_040358255.1	True
GCA_040358985.1~c0.20~g0.10~far.fna	GCA_040358985.1	0.20	0.10	far	present	0.131826	GCA_003667345.1	False	0.111424	GCA_003667345.1	False
GCA_040358985.1~c0.20~g0.10~far.fna	GCA_040358985.1	0.20	0.10	far	absent	0.174048	GCA_040358255.1	True	0.075976	GCA_040358255.1	True
GCA_040358985.1~c0.20~g0.10~near.fna	GCA_040358985.1	0.20	0.10	near	present	0.133420	GCA_040358255.1	True	0.177663	GCA_040358255.1	True
GCA_040358985.1~c0.20~g0.10~near.fna	GCA_040358985.1	0.20	0.10	near	absent	0.208588	GCA_040359615.1	True	0.036945	GCA_040359615.1	True
GCA_040358985.1~c0.20~g0.20~far.fna	GCA_040358985.1	0.20	0.20	far	present	0.098269	GCA_003667345.1	False	0.206047	GCA_003667345.1	False
GCA_040358985.1~c0.20~g0.20~far.fna	GCA_040358985.1	0.20	0.20	far	absent	0.174408	GCA_040358255.1	True	0.067912	GCA_040358255.1	True
GCA_040358985.1~c0.20~g0.20~near.fna	GCA_040358985.1	0.20	0.20	near	present	0.108153	GCA_040358255.1	True	0.273126	GCA_040358255.1	True
GCA_040358985.1~c0.20~g0.20~near.fna	GCA_040358985.1	0.20	0.20	near	absent	0.201619	GCA_040359615.1	True	0.038669	GCA_040359615.1	True
GCA_040358985.1~c0.10~g0.00~none.fna	GCA_040358985.1	0.10	0.00	none	present	0.194988	GCA_040358255.1	True	0.096897	GCA_040358255.1	True
GCA_040358985.1~c0.10~g0.00~none.fna	GCA_040358985.1	0.10	0.00	none	absent	0.194988	GCA_040358255.1	True	0.096897	GCA_040358255.1	True
GCA_040358985.1~c0.10~g0.10~far.fna	GCA_040358985.1	0.10	0.10	far	present	0.149356	GCA_003667345.1	False	0.126625	GCA_003667345.1	False
GCA_040358985.1~c0.10~g0.10~far.fna	GCA_040358985.1	0.10	0.10	far	absent	0.194988	GCA_040358255.1	True	0.085251	GCA_040358255.1	True
GCA_040358985.1~c0.10~g0.10~near.fna	GCA_040358985.1	0.10	0.10	near	present	0.150417	GCA_040358255.1	True	0.218833	GCA_040358255.1	True
GCA_040358985.1~c0.10~g0.10~near.fna	GCA_040358985.1	0.10	0.10	near	absent	0.220489	GCA_040359615.1	True	0.050682	GCA_040359615.1	True
GCA_040358985.1~c0.10~g0.20~far.fna	GCA_040358985.1	0.10	0.20	far	present	0.121234	GCA_003667345.1	False	0.210995	GCA_003667345.1	False
GCA_040358985.1~c0.10~g0.20~far.fna	GCA_040358985.1	0.10	0.20	far	absent	0.194988	GCA_040358255.1	True	0.078116	GCA_040358255.1	True
GCA_040358985.1~c0.10~g0.20~near.fna	GCA_040358985.1	0.10	0.20	near	present	0.128799	GCA_040358255.1	True	0.309997	GCA_040358255.1	True
GCA_040358985.1~c0.10~g0.20~near.fna	GCA_040358985.1	0.10	0.20	near	absent	0.219531	GCA_040359615.1	True	0.046519	GCA_040359615.1	True
GCA_042654025.1~c1.00~g0.00~none.fna	GCA_042654025.1	1.00	0.00	none	present	0.094558	GCA_001894985.1	True	0.148899	GCA_001894985.1	True
GCA_042654025.1~c1.00~g0.00~none.fna	GCA_042654025.1	1.00	0.00	none	absent	0.094558	GCA_001894985.1	True	0.148899	GCA_001894985.1	True
GCA_042654025.1~c1.00~g0.10~far.fna	GCA_042654025.1	1.00	0.10	far	present	0.091991	GCA_965137075.1	False	0.132705	GCA_001894985.1	True
GCA_042654025.1~c1.00~g0.10~far.fna	GCA_042654025.1	1.00	0.10	far	absent	0.097294	GCA_001894985.1	True	0.132705	GCA_001894985.1	True
GCA_042654025.1~c1.00~g0.10~near.fna	GCA_042654025.1	1.00	0.10	near	present	0.097037	GCA_001894985.1	True	0.133678	GCA_001894985.1	True
GCA_042654025.1~c1.00~g0.10~near.fna	GCA_042654025.1	1.00	0.10	near	absent	0.097037	GCA_001894985.1	True	0.133678	GCA_001894985.1	True
GCA_042654025.1~c1.00~g0.20~far.fna	GCA_042654025.1	1.00	0.20	far	present	0.058729	GCA_965137075.1	False	0.206847	GCA_003860505.1	False
GCA_042654025.1~c1.00~g0.20~far.fna	GCA_042654025.1	1.00	0.20	far	absent	0.100428	GCA_001894985.1	True	0.117422	GCA_900101735.1	True
GCA_042654025.1~c1.00~g0.20~near.fna	GCA_042654025.1	1.00	0.20	near	present	0.084097	GCA_910591545.1	True	0.216763	GCA_048288345.1	True
GCA_042654025.1~c1.00~g0.20~near.fna	GCA_042654025.1	1.00	0.20	near	absent	0.099673	GCA_001894985.1	True	0.119323	GCA_900101735.1	True
GCA_042654025.1~c0.90~g0.00~none.fna	GCA_042654025.1	0.90	0.00	none	present	0.097101	GCA_001894985.1	True	0.149548	GCA_001894985.1	True
GCA_042654025.1~c0.90~g0.00~none.fna	GCA_042654025.1	0.90	0.00	none	absent	0.097101	GCA_001894985.1	True	0.149548	GCA_001894985.1	True
GCA_042654025.1~c0.90~g0.10~far.fna	GCA_042654025.1	0.90	0.10	far	present	0.096028	GCA_003860505.1	False	0.132834	GCA_001894985.1	True
GCA_042654025.1~c0.90~g0.10~far.fna	GCA_042654025.1	0.90	0.10	far	absent	0.099878	GCA_001894985.1	True	0.132834	GCA_001894985.1	True
GCA_042654025.1~c0.90~g0.10~near.fna	GCA_042654025.1	0.90	0.10	near	present	0.099267	GCA_001894985.1	True	0.134742	GCA_001894985.1	True
GCA_042654025.1~c0.90~g0.10~near.fna	GCA_042654025.1	0.90	0.10	near	absent	0.099267	GCA_001894985.1	True	0.134742	GCA_001894985.1	True
GCA_042654025.1~c0.90~g0.20~far.fna	GCA_042654025.1	0.90	0.20	far	present	0.059330	GCA_003860505.1	False	0.210877	GCA_003860505.1	False
GCA_042654025.1~c0.90~g0.20~far.fna	GCA_042654025.1	0.90	0.20	far	absent	0.103367	GCA_001894985.1	True	0.116145	GCA_900101735.1	True
GCA_042654025.1~c0.90~g0.20~near.fna	GCA_042654025.1	0.90	0.20	near	present	0.087547	GCA_910591545.1	True	0.214808	GCA_048288345.1	True
GCA_042654025.1~c0.90~g0.20~near.fna	GCA_042654025.1	0.90	0.20	near	absent	0.102631	GCA_001894985.1	True	0.117900	GCA_001894985.1	True
GCA_042654025.1~c0.70~g0.00~none.fna	GCA_042654025.1	0.70	0.00	none	present	0.102486	GCA_001894985.1	True	0.154891	GCA_001894985.1	True
GCA_042654025.1~c0.70~g0.00~none.fna	GCA_042654025.1	0.70	0.00	none	absent	0.102486	GCA_001894985.1	True	0.154891	GCA_001894985.1	True
GCA_042654025.1~c0.70~g0.10~far.fna	GCA_042654025.1	0.70	0.10	far	present	0.099470	GCA_965137075.1	False	0.138278	GCA_001894985.1	True
GCA_042654025.1~c0.70~g0.10~far.fna	GCA_042654025.1	0.70	0.10	far	absent	0.104724	GCA_001894985.1	True	0.138278	GCA_001894985.1	True
GCA_042654025.1~c0.70~g0.10~near.fna	GCA_042654025.1	0.70	0.10	near	present	0.104343	GCA_001894985.1	True	0.139455	GCA_001894985.1	True
GCA_042654025.1~c0.70~g0.10~near.fna	GCA_042654025.1	0.70	0.10	near	absent	0.104343	GCA_001894985.1	True	0.139455	GCA_001894985.1	True
GCA_042654025.1~c0.70~g0.20~far.fna	GCA_042654025.1	0.70	0.20	far	present	0.064488	GCA_965137075.1	False	0.205960	GCA_003860505.1	False
GCA_042654025.1~c0.70~g0.20~far.fna	GCA_042654025.1	0.70	0.20	far	absent	0.107087	GCA_001894985.1	True	0.122695	GCA_001894985.1	True
GCA_042654025.1~c0.70~g0.20~near.fna	GCA_042654025.1	0.70	0.20	near	present	0.096910	GCA_910591545.1	True	0.207725	GCA_048288345.1	True
GCA_042654025.1~c0.70~g0.20~near.fna	GCA_042654025.1	0.70	0.20	near	absent	0.106524	GCA_001894985.1	True	0.124160	GCA_001894985.1	True
