accession	taxid	organism	species_name	species_taxid	taxcheck	completeness	contamination	level	length	n_contigs	paired_gcf
GCA_000337035.1	1227466	Halorubrum coriense DSM 10284	Halorubrum coriense	64713	OK	97.39	2.79	Contig	3645313	69	GCF_000337035.1
GCA_000337055.1	1227467	Halorubrum distributum JCM 9100	Halorubrum distributum	29283	OK	98.56	1.36	Contig	3307369	83	GCF_000337055.1
GCA_000337095.1	1227487	Halogeometricum pallidum JCM 14848	Halogeometricum pallidum	411361	OK	99.38	0.41	Contig	4384515	45	GCF_000337095.1
GCA_000337255.1	795797	Halalkalicoccus jeotgali B3	Halalkalicoccus jeotgali	413810	OK	97.17	2.86	Contig	3614122	52	GCF_000337255.1
GCA_000337275.1	662476	Haloarcula marismortui ATCC 33800	Haloarcula marismortui	2238	OK	89.73	8	Contig	4405164	84	GCF_000337275.1
GCA_000337295.1	523841	Haloferax mediterranei ATCC 33500	Haloferax mediterranei	2252	OK	99.47		Contig	3894540	16	GCF_000337295.1
GCA_000337315.1	309800	Haloferax volcanii DS2	Haloferax volcanii	2246	OK	98.78	1.11	Contig	3866754	119	GCF_000337315.1
GCA_000337335.1	1227468	Halorubrum distributum JCM 10118	Halorubrum distributum	29283	OK	98.52	1.36	Contig	3306135	68	GCF_000337335.1
GCA_000337355.1	1230456	Halorubrum kocurii JCM 14978	Halorubrum kocurii	478441	OK	96.61	3.17	Contig	3619738	105	GCF_000337355.1
GCA_000337375.1	1227482	Halorubrum lipolyticum DSM 21995	Halorubrum lipolyticum	368624	OK	99.2	1.3	Contig	3425042	41	GCF_000337375.1
GCA_000337395.1	1227483	Halorubrum distributum JCM 13561	Halorubrum distributum	29283	OK	98.46	2.63	Contig	3137757	63	GCF_000337395.1
GCA_000337415.1	1227485	Halorubrum tebenquichense DSM 14210	Halorubrum tebenquichense	119434	OK	97.88	4.39	Contig	3328860	93	GCF_000337415.1
GCA_000337435.1	1227486	Halorubrum distributum JCM 10247	Halorubrum distributum	29283	OK	98.02	1.86	Contig	3376225	79	GCF_000337435.1
GCA_000337455.1	797114	Halosimplex carlsbadense 2-9-1	Halosimplex carlsbadense	171164	OK	99.17	1.66	Contig	4694889	50	GCF_000337455.1
GCA_000337495.1	1227488	Haloterrigena salina JCM 13891	Haloterrigena salina	504937	OK	93.06	5.16	Contig	4841607	71	GCF_000337495.1
GCA_000337755.1	662475	Haloarcula marismortui ATCC 33799	Haloarcula marismortui	2238	OK	97.52	0.41	Contig	4404932	133	GCF_000337755.1
GCA_000337775.1	662477	Haloarcula vallismortis ATCC 29715	Haloarcula vallismortis	28442	OK	97.67	0.13	Contig	3923205	69	GCF_000337775.1
GCA_000337795.1	662478	Haloferax denitrificans ATCC 35960	Haloferax denitrificans	35745	OK	98.42	0.17	Contig	3825973	21	GCF_000337795.1
GCA_000337815.1	662479	Haloferax mucosum ATCC BAA-1512	Haloferax mucosum	403181	OK	97.36	0.44	Contig	3368982	20	GCF_000337815.1
GCA_000337835.1	662480	Haloferax sulfurifontis ATCC BAA-897	Haloferax sulfurifontis	255616	OK	97.18	2.65	Contig	3812428	29	GCF_000337835.1
GCA_000337855.1	469382	Halogeometricum borinquense DSM 11551	Halogeometricum borinquense	60847	OK	98.96	0.41	Contig	3928510	56	GCF_000337855.1
GCA_000337895.1	1227454	Halobiforma nitratireducens JCM 10879	Halobiforma nitratireducens	130048	OK	74.59	5.74	Contig	3688747	205	GCF_000337895.1
GCA_000337915.1	1227484	Halorubrum saccharovorum DSM 1137	Halorubrum saccharovorum	2248	OK	99.09	1.38	Contig	3423703	72	GCF_000337915.1
GCA_000376445.1	797209	Haladaptatus paucihalophilus DX253	Haladaptatus paucihalophilus	367189	OK	98.69	0.83	Contig	4317540	6	GCF_000376445.1
GCA_000379085.1	1069082	Halomicrobium katesii DSM 19301	Halomicrobium katesii	437163	OK	97.63	1.99	Scaffold	3607771	22	GCF_000379085.1
GCA_000385565.1	387631	Archaeoglobus sulfaticallidus PM70-1	Archaeoglobus sulfaticallidus	1316941	OK	94.94	3.27	Complete Genome	2076931	1	GCF_000385565.1
GCA_000400975.1	1261545	Halarchaeum acidiphilum MH1-52-1	Halarchaeum acidiphilum	489138	OK	80	1.02	Contig	2431759	537	GCF_000400975.1
GCA_000421805.1	1121945	Halorubrum ezzemoulense DSM 17463	Halorubrum ezzemoulense	337243	OK	99.36	1.29	Contig	3591480	96	GCF_000421805.1
GCA_000427685.1	926690	Haloplanus natans DSM 17983	Haloplanus natans	376171	OK	98.65	0.08	Scaffold	3797935	10	GCF_000427685.1
GCA_000455345.1	1293048	Halopiger goleimassiliensis	Halopiger goleimassiliensis	1293048	OK	98.34	0.12	Scaffold	3906364	11	GCF_000455345.1
GCA_000455365.1	1293047	Halopiger djelfimassiliensis	Halopiger djelfimassiliensis	1293047	OK	100		Scaffold	3776554	55	GCF_000455365.1
GCA_000470655.1	1033806	Halorhabdus tiamatea SARL4B	Halorhabdus tiamatea	430914	OK	98.27	1.31	Complete Genome	3146160	2	GCF_000470655.1
GCA_000474235.1	1261545	Halarchaeum acidiphilum MH1-52-1	Halarchaeum acidiphilum	489138	OK	88.5	1.45	Contig	2628974	165	GCF_000474235.1
GCA_000485535.1	795797	Halalkalicoccus jeotgali B3	Halalkalicoccus jeotgali	413810	OK	97.2	2.93	Scaffold	3637498	36	GCF_000485535.1
GCA_000495475.1	1324957	Candidatus Halobonum tyrrellensis G22	Candidatus Halobonum tyrrellensis	1431545	OK	98.34	1.24	Contig	3675087	72	GCF_000495475.1
GCA_000513855.1	1150674	Desulfurococcus amylolyticus Z-533	Desulfurococcus amylolyticus	94694	OK	99.25	0.02	Scaffold	1307099	2	GCF_000513855.1
GCA_000517625.1	797299	Halostagnicola larsenii XH-48	Halostagnicola larsenii	353800	OK	100		Complete Genome	4131176	5	GCF_000517625.1
GCA_000591035.1	1198449	Aeropyrum camini SY1 = JCM 12091	Aeropyrum camini	229980	OK	93.37	0.9	Complete Genome	1595994	1	GCF_000591035.1
GCA_000685635.1	523841	Haloferax mediterranei ATCC 33500	Haloferax mediterranei	2252	OK	96.06		Chromosome	3906699	13	GCF_000685635.1
GCA_000710615.1	1455608	Haladaptatus cibarius D43	Haladaptatus cibarius	453847	OK	99.59	0.28	Contig	3926724	13	GCF_000710615.1
GCA_000739555.1	1380430	Halolamina rubra	Halolamina rubra	1380430	OK	87.93	0.02	Contig	2955001	71	GCF_000739555.1
GCA_000739575.1	1448860	Halobellus rufus	Halobellus rufus	1448860	OK	90.39	0.62	Contig	3852219	81	GCF_000739575.1
GCA_000739595.1	413816	Halorubrum halophilum	Halorubrum halophilum	413816	OK	98.12	5.59	Contig	3677984	103	GCF_000739595.1
GCA_000755245.1	1264579	Halococcus sediminicola	Halococcus sediminicola	1264579	OK	94.16	14.71	Contig	3764367	27	GCF_000755245.1
GCA_000789255.1	565033	Geoglobus acetivorans	Geoglobus acetivorans	565033	OK	98.04	1.76	Complete Genome	1860815	1	GCF_000789255.1
GCA_000800805.1	1577791	Candidatus Methanoplasma termitum	Candidatus Methanoplasma termitum	1577791	OK	69.72	10.98	Complete Genome	1488669	1	GCF_000800805.1
GCA_001006045.1	113653	Geoglobus ahangari	Geoglobus ahangari	113653	OK	97.47	1.62	Complete Genome	1770093	1	GCF_001006045.1
GCA_001006085.1	675631	Desulfurococcus mucosus DSM 2161	Desulfurococcus mucosus	2275	OK	90.55	0.37	Scaffold	1198142	62	GCF_001006085.1
GCA_001011115.1	1604004	Halanaeroarchaeum sulfurireducens	Halanaeroarchaeum sulfurireducens	1604004	OK	97.06	1.43	Complete Genome	2209738	2	GCF_001011115.1
GCA_001280425.1	1705562	Haloarcula rubripromontorii	Haloarcula rubripromontorii	1705562	OK	98.48	3	Contig	3970989	18	GCF_001280425.1
GCA_001282785.1	1480675	Halolamina sediminis	Halolamina sediminis	1480675	OK	97.08	0.41	Contig	2835858	1	GCF_001282785.1
GCA_001316065.1	1198449	Aeropyrum camini SY1 = JCM 12091	Aeropyrum camini	229980	OK	74.99	3.86	Contig	1591049	41	GCF_001316065.1
GCA_001316225.1	1295373	Acidiplasma cupricumulans JCM 13668 = DSM 16651	Acidiplasma cupricumulans	312540	OK	38.43	3.01	Contig	1747526	108	GCF_001316225.1
GCA_001368915.1	1476858	Haloferax massiliensis	Haloferax massiliensis	1476858	OK	96.05	2.04	Scaffold	4015175	29	GCF_001368915.1
GCA_001399695.1	507754	Acidiplasma aeolicum	Acidiplasma aeolicum	507754	OK	95.3	4.06	Contig	1746790	483	GCF_001399695.1
GCA_001402935.1	312540	Acidiplasma cupricumulans	Acidiplasma cupricumulans	312540	OK	96.51	3.84	Contig	1731076	312	GCF_001402935.1
GCA_001402945.1	507754	Acidiplasma aeolicum	Acidiplasma aeolicum	507754	OK	96.18	4.53	Contig	1778901	296	GCF_001402945.1
GCA_001462205.1	1678448	Haloparvum sedimenti	Haloparvum sedimenti	1678448	OK	98.41	0.41	Scaffold	3243052	293	GCF_001462205.1
GCA_001469865.1	1544718	Haloferax profundi	Haloferax profundi	1544718	OK	92.42	6.09	Contig	3830759	716	GCF_001469865.1
GCA_001469875.2	1544719	Haloferax marisrubri	Haloferax marisrubri	1544719	OK	98.2	1.14	Scaffold	3904985	66	GCF_001469875.2
GCA_001469955.1	1514971	Haloprofundus marisrubri	Haloprofundus marisrubri	1514971	OK	99.59		Contig	3929557	41	GCF_001469955.1
GCA_001488575.1	1407499	Halobacterium hubeiense	Halobacterium hubeiense	1407499	OK	92.64	10.04	Complete Genome	3130345	4	GCF_001488575.1
GCA_001542905.1	1758255	Halorubrum aethiopicum	Halorubrum aethiopicum	1758255	OK	94.82	4.91	Contig	3325770	3	GCF_001542905.1
GCA_001593955.1	1008153	Halalkalicoccus paucihalophilus	Halalkalicoccus paucihalophilus	1008153	OK	83.99	14.22	Contig	3980410	23	GCF_001593955.1
GCA_001886955.1	1873524	Halodesulfurarchaeum formicicum	Halodesulfurarchaeum formicicum	1873524	OK	95.9	1.64	Complete Genome	2085946	1	GCF_001886955.1
GCA_002078355.1	74969	Ferroplasma acidiphilum	Ferroplasma acidiphilum	74969	OK	98.79	1.45	Complete Genome	1826943	1	GCF_002078355.1
GCA_002114285.1	1121945	Halorubrum ezzemoulense DSM 17463	Halorubrum ezzemoulense	337243	OK	99.19	1.29	Contig	3603550	155	GCF_002114285.1
GCA_002252985.1	1383851	Halorubrum halodurans	Halorubrum halodurans	1383851	OK	91.68	2.44	Scaffold	3320122	156	GCF_002252985.1
GCA_002286985.1	2032630	Halorubrum salipaludis	Halorubrum salipaludis	2032630	OK	98.95	4.94	Contig	3506649	27	GCF_002286985.1
GCA_002379115.1	337243	Halorubrum ezzemoulense	Halorubrum ezzemoulense	337243	OK	99.55	2.79	Contig	3665422	105	GCF_002379115.1
GCA_002727125.1	1383844	Halorubrum persicum	Halorubrum persicum	1383844	OK	96.81	4.09	Scaffold	3578349	164	GCF_002727125.1
GCA_002788215.1	1073996	Halohasta litchfieldiae	Halohasta litchfieldiae	1073996	OK	99.52	1.76	Complete Genome	3332022	1	GCF_002788215.1
GCA_002844195.1	1985678	Halegenticoccus soli	Halegenticoccus soli	1985678	OK	99.31	0.41	Scaffold	4615401	16	GCF_002844195.1
GCA_002952775.1	2055893	Halalkaliarchaeum desulfuricum	Halalkaliarchaeum desulfuricum	2055893	OK	98.89	2.7	Complete Genome	3313120	1	GCF_002952775.1
GCA_003058365.1	1679096	Halococcoides cellulosivorans	Halococcoides cellulosivorans	1679096	OK	96.78	0.35	Complete Genome	2723120	1	GCF_003058365.1
GCA_003201765.2	619593	Acidianus sulfidivorans JP7	Acidianus sulfidivorans	312539	OK	99.31	2.4	Complete Genome	2265309	1	GCF_003201765.2
GCA_003201835.2	41673	Acidianus brierleyi	Acidianus brierleyi	41673	OK	98.9	3.83	Complete Genome	2947244	1	GCF_003201835.2
GCA_003336245.1	1126245	Haloplanus salinus	Haloplanus salinus	1126245	OK	99.38	0.87	Contig	3549098	4	GCF_003336245.1
GCA_003342675.1	1547898	Haloplanus rubicundus	Haloplanus rubicundus	1547898	OK	98.96	0.91	Complete Genome	3773640	3	GCF_003342675.1
GCA_003351065.1	1236180	Halopelagius longus	Halopelagius longus	1236180	OK	99.52		Scaffold	3878996	33	GCF_003351065.1
GCA_003369835.1	660515	Halorussus rarus	Halorussus rarus	660515	OK	99.1	2.49	Contig	4372177	7	GCF_003369835.1
GCA_003382685.1	1710536	Halorussus litoreus	Halorussus litoreus	1710536	OK	97.03	0.41	Scaffold	3838315	97	GCF_003382685.1
GCA_003439925.1	2283527	Haloprofundus halophilus	Haloprofundus halophilus	2283527	OK	98.76		Contig	3473342	6	GCF_003439925.1
GCA_003605575.1	2216978	Halonotius aquaticus	Halonotius aquaticus	2216978	OK	98.62	0.41	Scaffold	2468392	19	GCF_003605575.1
GCA_003605635.1	268735	Halonotius pteroides	Halonotius pteroides	268735	OK	98.96	2.77	Contig	3009688	115	GCF_003605635.1
GCA_003610195.1	148449	Halopiger aswanensis	Halopiger aswanensis	148449	OK	100	0.83	Scaffold	4865231	18	GCF_003610195.1
GCA_003634715.1	182779	Haloarcula quadrata	Haloarcula quadrata	182779	Inconclusive	98.15	1.05	Contig	4459149	6	GCF_003634715.1
GCA_003675855.1	1547897	Halostella salina	Halostella salina	1547897	OK	99.86	0.62	Contig	3735525	17	GCF_003675855.1
GCA_003675875.1	2448456	Halostella limicola	Halostella limicola	2448456	OK	99.1	1.24	Scaffold	4117014	10	GCF_003675875.1
GCA_003688715.1	660522	Haloplanus aerogenes	Haloplanus aerogenes	660522	OK	99.52	0.87	Scaffold	3507307	20	GCF_003688715.1
GCA_003697815.1	2675002	Halalkalicoccus subterraneus	Halalkalicoccus subterraneus	2675002	OK	83.86	12.93	Scaffold	3610033	104	GCF_003697815.1
GCA_003722095.1	2216012	Halosegnis longus	Halosegnis longus	2216012	OK	90.1		Contig	2661022	3	GCF_003722095.1
GCA_003730195.1	1710538	Halosimplex salinum	Halosimplex salinum	1710538	OK	99.52	2.9	Contig	5072893	28	GCF_003730195.1
GCA_003856835.1	660522	Haloplanus aerogenes	Haloplanus aerogenes	660522	OK	99.52	0.45	Complete Genome	3503092	2	GCF_003856835.1
GCA_003862495.1	1785090	Halocatena pleomorpha	Halocatena pleomorpha	1785090	OK	99.06	1.59	Contig	3654689	61	GCF_003862495.1
GCA_003977755.1	2675099	Haloterrigena salifodinae	Haloterrigena salifodinae	2675099	OK	93.5	3.8	Scaffold	4960699	14	GCF_003977755.1
GCA_004087835.1	2505977	Halorussus pelagicus	Halorussus pelagicus	2505977	OK	99.1	1.24	Complete Genome	3490924	4	GCF_004087835.1
GCA_004114995.1	2508724	Halorubrum amylolyticum	Halorubrum amylolyticum	2508724	OK	95.84	2.43	Scaffold	3630756	94	GCF_004114995.1
GCA_004116405.1	2071624	Halegenticoccus tardaugens	Halegenticoccus tardaugens	2071624	OK	99.1	1.66	Contig	4891127	14	GCF_004116405.1
GCA_004118325.1	2479928	Halorientalis pallida	Halorientalis pallida	2479928	OK	99.52	1.45	Scaffold	4087668	31	GCF_004118325.1
GCA_004143485.2	1126242	Halorussus amylolyticus	Halorussus amylolyticus	1126242	OK	98.88	2.07	Scaffold	3779259	55	GCF_004143485.2
GCA_004681185.1	2562280	Haloarcula amylovorans	Haloarcula amylovorans	2562280	OK	90.63	14.65	Scaffold	5038561	50	GCF_004681185.1
GCA_004698125.1	2559572	Halosimplex halophilum	Halosimplex halophilum	2559572	OK	99.93	2.49	Scaffold	4467366	9	GCF_004698125.1
GCA_004765785.1	1126238	Halorussus ruber	Halorussus ruber	1126238	OK	99.52	1.04	Scaffold	4318307	35	GCF_004765785.1
GCA_004765795.1	2505976	Halorussus marinus	Halorussus marinus	2505976	OK	99.52	1.66	Scaffold	3763720	39	GCF_004765795.1
GCA_004765805.1	1710537	Halorussus halobius	Halorussus halobius	1710537	OK	97.44	2.9	Scaffold	3933954	18	GCF_004765805.1
GCA_004765815.2	1364935	Halorussus salinus	Halorussus salinus	1364935	OK	98.96	0.83	Scaffold	4753237	16	GCF_004765815.2
GCA_004785955.1	2528831	Halostella litorea	Halostella litorea	2528831	OK	99.1	0.55	Scaffold	3745232	14	GCF_004785955.1
GCA_004799605.1	2242	Halobacterium salinarum	Halobacterium salinarum	2242	OK	96.7	1.12	Complete Genome	2429680	3	GCF_004799605.1
GCA_004799665.1	1457250	Halapricum salinum	Halapricum salinum	1457250	OK	99.1	1.24	Complete Genome	3452056	1	GCF_004799665.1
GCA_004799685.1	699433	Halobellus limi	Halobellus limi	699433	OK	96.87	1.04	Complete Genome	3749890	4	GCF_004799685.1
GCA_004944975.1	2559573	Halorhabdus amylolytica	Halorhabdus amylolytica	2559573	OK	99.07	0.97	Scaffold	3464929	68	GCF_004944975.1
GCA_005049285.1	2932266	Halorientalis salina	Halorientalis salina	2932266	OK	99.1	0.83	Contig	3661127	23	GCF_005049285.1
GCA_005239435.1	2558242	Halorussus salinisoli	Halorussus salinisoli	2558242	OK	98.69	3.32	Scaffold	5154608	18	GCF_005239435.1
GCA_005310945.1	272569	Haloarcula marismortui ATCC 43049	Haloarcula marismortui	2238	OK	88.86	5.11	Complete Genome	4184924	7	GCF_005310945.1
GCA_005406125.1	2509225	Haloarcula mannanilytica	Haloarcula mannanilytica	2509225	OK	96.43	5.7	Contig	4217270	33	GCF_005406125.1
GCA_005406325.1	523841	Haloferax mediterranei ATCC 33500	Haloferax mediterranei	2252	OK	99.47		Complete Genome	3907473	4	GCF_005406325.1
GCA_005543295.1	2563889	Halalkalirubrum salinum	Halalkalirubrum salinum	2563889	OK	99.15		Scaffold	3416214	74	GCF_005543295.1
GCA_006861655.1	2511997	Halonotius roseus	Halonotius roseus	2511997	OK	98.96		Scaffold	2564341	6	GCF_006861655.1
GCA_006861665.1	2487750	Halonotius terrestris	Halonotius terrestris	2487750	OK	87.87	0.41	Scaffold	2841436	27	GCF_006861665.1
GCA_007421925.1	2234134	Haloglomus irregulare	Haloglomus irregulare	2234134	OK	97.72	2.49	Scaffold	4004362	63	GCF_007421925.1
GCA_007655485.1	2592614	Halobellus captivus	Halobellus captivus	2592614	OK	98.62	1.24	Scaffold	3351536	117	GCF_007655485.1
GCA_007671685.1	2583990	Halorubrum salsamenti	Halorubrum salsamenti	2583990	OK	98.61	6.52	Scaffold	3674958	22	GCF_007671685.1
GCA_007671725.1	2583992	Halorubrum depositum	Halorubrum depositum	2583992	OK	97.83	4.83	Contig	3182860	5	GCF_007671725.1
GCA_008124605.1	2597657	Halobacterium salinarum DSM 3754	Halobacterium salinarum	2242	OK	96.89	1.08	Contig	2364912	40	GCF_008124605.1
GCA_008831545.1	2650975	Halorussus halophilus	Halorussus halophilus	2650975	OK	99.1	1.45	Complete Genome	4450731	4	GCF_008831545.1
GCA_009184545.1	2212850	Halosegnis rubeus	Halosegnis rubeus	2212850	OK	99.07	0.41	Scaffold	2660599	13	GCF_009184545.1
GCA_009428885.1	2283	Acidianus ambivalens	Acidianus ambivalens	2283	OK	98.19	1.78	Contig	2326940	65	GCF_009428885.1
GCA_009663395.1	2216012	Halosegnis longus	Halosegnis longus	2216012	OK	99.14	0.41	Scaffold	2768215	3	GCF_009663395.1
GCA_009674585.1	2666142	Haloferax marinisediminis	Haloferax marinisediminis	2666142	OK	92.22	4.69	Contig	3487106	6	GCF_009674585.1
GCA_009674605.1	2666140	Haloferax litoreum	Haloferax litoreum	2666140	OK	93.14	3.73	Contig	3561692	3	GCF_009674605.1
GCA_009674625.1	2666143	Haloferax marinum	Haloferax marinum	2666143	OK	91.93	4.7	Contig	3480702	3	GCF_009674625.1
GCA_009729015.1	2283	Acidianus ambivalens	Acidianus ambivalens	2283	OK	98.19	1.78	Complete Genome	2252027	1	GCF_009729015.1
GCA_009729545.1	12915	Acidianus infernus	Acidianus infernus	12915	OK	99.31	0.67	Contig	2222414	4	GCF_009729545.1
GCA_009762275.1	1816183	Haloplanus rallus	Haloplanus rallus	1816183	Inconclusive	99.1	0.91	Complete Genome	3560302	2	GCF_009762275.1
GCA_009791395.1	671145	Halomarina oriensis	Halomarina oriensis	671145	OK	96.92	0.83	Contig	4069707	50	GCF_009791395.1
GCA_009831555.1	2692200	Halobacterium bonnevillei	Halobacterium bonnevillei	2692200	OK	84.89	13.18	Contig	3499479	362	GCF_009831555.1
GCA_009831625.1	2073113	Halobaculum saliterrae	Halobaculum saliterrae	2073113	OK	98.69	1.87	Contig	3775766	21	GCF_009831625.1
