accession	taxid	organism	domain	domain_listed	phylum	phylum_taxid	class	class_taxid	order	order_taxid	family	family_taxid	genus	genus_taxid	species	species_taxid	species_name_ncbi	paired_gcf	level	length	n_contigs	completeness	contamination	taxcheck	dup_taxid	strain_dup	no_genus	name_mismatch	taxcheck_bad	low_quality	pass_gold
GCA_000025505.1	589924	Ferroglobus placidus DSM 10642	Archaea	Archaea	Methanobacteriota	28890	Archaeoglobi	183980	Archaeoglobales	2231	Archaeoglobaceae	2232	Ferroglobus	54260	Ferroglobus placidus	54261	Ferroglobus placidus	GCF_000025505.1	Complete Genome	2196266	1	99.66	0.09	OK	0	0	0	0	0	0	1
GCA_000025685.1	309800	Haloferax volcanii DS2	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Haloferax	2251	Haloferax volcanii	2246	Haloferax volcanii	GCF_000025685.1	Complete Genome	4012900	5	99.12	1.11	OK	1	1	0	0	0	0	1
GCA_000144915.1	666510	Acidilobus saccharovorans 345-15	Archaea	Archaea	Thermoproteota	28889	Thermoprotei	183924	Acidilobales	871006	Acidilobaceae	871007	Acidilobus	105850	Acidilobus saccharovorans	242703	Acidilobus saccharovorans	GCF_000144915.1	Complete Genome	1496453	1	99.36	0.43	Inconclusive	0	0	0	0	1	0	0
GCA_000152265.2	333146	Ferroplasma acidarmanus Fer1	Archaea	Archaea	Thermoplasmatota	2283796	Thermoplasmata	183967	Thermoplasmatales	2301	Ferroplasmaceae	90142	Ferroplasma	74968	Ferroplasma acidarmanus	97393	Ferroplasma acidarmanus	GCF_000152265.2	Complete Genome	1935211	1	99.65	0.65	OK	0	0	0	0	0	0	1
GCA_000172995.2	469382	Halogeometricum borinquense DSM 11551	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Halogeometricum	60846	Halogeometricum borinquense	60847	Halogeometricum borinquense	GCF_000172995.2	Complete Genome	3944467	6	100	0.41	OK	1	1	0	0	0	0	1
GCA_000186365.1	765177	Desulfurococcus mucosus DSM 2162	Archaea	Archaea	Thermoproteota	28889	Thermoprotei	183924	Desulfurococcales	114380	Desulfurococcaceae	2272	Desulfurococcus	2273	Desulfurococcus mucosus	2275	Desulfurococcus mucosus	GCF_000186365.1	Complete Genome	1314639	1	99.28	0.23	OK	0	0	0	0	0	0	1
GCA_000187225.2	797209	Haladaptatus paucihalophilus DX253	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haladaptataceae	3064797	Haladaptatus	367188	Haladaptatus paucihalophilus	367189	Haladaptatus paucihalophilus	GCF_000187225.1	Contig	4284805	32	99.1	0.83	OK	1	1	0	0	0	0	1
GCA_000194625.1	693661	Archaeoglobus veneficus SNP6	Archaea	Archaea	Methanobacteriota	28890	Archaeoglobi	183980	Archaeoglobales	2231	Archaeoglobaceae	2232	Archaeoglobus	2233	Archaeoglobus veneficus	58290	Archaeoglobus veneficus	GCF_000194625.1	Complete Genome	1901943	1	99.6	0.84	OK	0	0	0	0	0	0	1
GCA_000196895.1	795797	Halalkalicoccus jeotgali B3	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Halalkalicoccaceae	3386556	Halalkalicoccus	332246	Halalkalicoccus jeotgali	413810	Halalkalicoccus jeotgali	GCF_000196895.1	Complete Genome	3698650	7	96.73	2.18	OK	1	1	0	0	0	0	1
GCA_000215915.3	1033806	Halorhabdus tiamatea SARL4B	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloarculaceae	1963268	Halorhabdus	146825	Halorhabdus tiamatea	430914	Halorhabdus tiamatea	GCF_000215915.2	Contig	3146564	72	93.5	1.59	OK	1	1	0	0	0	0	1
GCA_000217715.1	797210	Halopiger xanaduensis SH-6	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Natrialbaceae	1644061	Halopiger	387342	Halopiger xanaduensis	387343	Halopiger xanaduensis	GCF_000217715.1	Complete Genome	4355268	4	99.52	0.41	OK	0	0	0	0	0	0	1
GCA_000223905.1	634497	Haloarcula hispanica ATCC 33960	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloarculaceae	1963268	Haloarcula	2237	Haloarcula hispanica	51589	Haloarcula hispanica	GCF_000223905.1	Complete Genome	3890005	3	99.48	0.4	OK	0	0	0	0	0	0	1
GCA_000231015.3	768672	Desulfurococcus amylolyticus DSM 16532	Archaea	Archaea	Thermoproteota	28889	Thermoprotei	183924	Desulfurococcales	114380	Desulfurococcaceae	2272	Desulfurococcus	2273	Desulfurococcus amylolyticus	94694	Desulfurococcus amylolyticus	GCF_000231015.2	Complete Genome	1384116	1	98.66	0.02	OK	0	0	0	0	0	0	1
GCA_000237865.1	768065	Haloquadratum walsbyi C23	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Haloquadratum	293431	Haloquadratum walsbyi	293091	Haloquadratum walsbyi	GCF_000237865.1	Complete Genome	3260476	4	96.91		OK	0	0	0	0	0	1	0
GCA_000258425.1	1163730	Fervidicoccus fontis Kam940	Archaea	Archaea	Thermoproteota	28889	Thermoprotei	183924	Fervidicoccales	685948	Fervidicoccaceae	685949	Fervidicoccus	685950	Fervidicoccus fontis	683846	Fervidicoccus fontis	GCF_000258425.1	Complete Genome	1319206	1	98.81		OK	0	0	0	0	0	1	0
GCA_000259215.1	1132509	Halococcus hamelinensis 100A6	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Halococcaceae	1963270	Halococcus	2249	Halococcus hamelinensis	332168	Halococcus hamelinensis	GCF_000259215.1	Contig	3383679	453	96.95	1.68	OK	1	1	0	0	0	0	1
GCA_000283335.1	1210908	Halogranum salarium B-1	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Halogranum	695982	Halogranum rubrum	553466	Halogranum rubrum	GCF_000283335.1	Contig	4492306	17	98.69		OK	0	0	0	0	0	1	0
GCA_000300255.2	1236689	Candidatus Methanomethylophilus alvi Mx1201	Archaea	Archaea	Thermoplasmatota	2283796	Thermoplasmata	183967	Methanomassiliicoccales	1235850	Methanomethylophilaceae	2517203	Methanomethylophilus	1291539	Methanomethylophilus alvi	1291540	Methanomethylophilus alvi	GCF_000300255.2	Complete Genome	1666795	1	70.74	13.05	OK	0	0	0	0	0	1	0
GCA_000306765.2	523841	Haloferax mediterranei ATCC 33500	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Haloferax	2251	Haloferax mediterranei	2252	Haloferax mediterranei	GCF_000306765.2	Complete Genome	3904707	4	99.47		OK	1	1	0	0	0	1	0
GCA_000317795.1	1056495	Caldisphaera lagunensis DSM 15908	Archaea	Archaea	Thermoproteota	28889	Thermoprotei	183924	Acidilobales	871006	Caldisphaeraceae	255472	Caldisphaera	200414	Caldisphaera lagunensis	200415	Caldisphaera lagunensis	GCF_000317795.1	Complete Genome	1546846	1	97.72	0.92	OK	0	0	0	0	0	0	1
GCA_000336615.1	1227452	Haloarcula amylolytica JCM 13557	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloarculaceae	1963268	Haloarcula	2237	Haloarcula amylolytica	396317	Haloarcula amylolytica	GCF_000336615.1	Contig	4225424	81	98.62	0.65	OK	0	0	0	0	0	0	1
GCA_000336635.1	1227453	Haloarcula japonica DSM 6131	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloarculaceae	1963268	Haloarcula	2237	Haloarcula japonica	29282	Haloarcula japonica	GCF_000336635.1	Contig	4280359	48	99.08		OK	0	0	0	0	0	1	0
GCA_000336675.1	1132509	Halococcus hamelinensis 100A6	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Halococcaceae	1963270	Halococcus	2249	Halococcus hamelinensis	332168	Halococcus hamelinensis	GCF_000336675.1	Contig	3419074	46	99.15	1.73	OK	1	1	0	0	0	0	1
GCA_000336695.1	931277	Halococcus morrhuae DSM 1307	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Halococcaceae	1963270	Halococcus	2249	Halococcus morrhuae	2250	Halococcus morrhuae	GCF_000336695.1	Contig	2991556	167	98.25	1.48	OK	1	1	0	0	0	0	1
GCA_000336715.1	1227457	Halococcus thailandensis JCM 13552	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Halococcaceae	1963270	Halococcus	2249	Halococcus thailandensis	335952	Halococcus thailandensis	GCF_000336715.1	Contig	4052434	198	97.09	10.36	OK	0	0	0	0	0	1	0
GCA_000336735.1	1227458	Haloferax volcanii JCM 10717	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Haloferax	2251	Haloferax volcanii	2246	Haloferax volcanii	GCF_000336735.1	Contig	3649262	36	98.41	1.55	OK	0	0	0	0	0	0	1
GCA_000336755.1	1230453	Haloferax elongans ATCC BAA-1513	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Haloferax	2251	Haloferax elongans	403191	Haloferax elongans	GCF_000336755.1	Contig	3952136	27	96.61	2.42	OK	0	0	0	0	0	0	1
GCA_000336775.1	1227459	Haloferax gibbonsii ATCC 33959	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Haloferax	2251	Haloferax gibbonsii	35746	Haloferax gibbonsii	GCF_000336775.1	Contig	4057322	30	98.47	2.2	OK	0	0	0	0	0	0	1
GCA_000336795.1	1230452	Haloferax volcanii DSM 14919	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Haloferax	2251	Haloferax volcanii	2246	Haloferax volcanii	GCF_000336795.1	Contig	3619064	33	97.05	3.23	OK	0	0	0	0	0	0	1
GCA_000336815.1	1227461	Haloferax prahovense DSM 18310	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Haloferax	2251	Haloferax prahovense	381852	Haloferax prahovense	GCF_000336815.1	Contig	3998799	58	98.15	2.15	OK	0	0	0	0	0	0	1
GCA_000336875.1	1227465	Halorubrum californiense DSM 19288	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Halorubrum	56688	Halorubrum californiense	416585	Halorubrum californiense	GCF_000336875.1	Contig	3682872	83	93.88	2.52	OK	0	0	0	0	0	0	1
GCA_000336895.1	1230451	Haloarcula argentinensis DSM 12282	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloarculaceae	1963268	Haloarcula	2237	Haloarcula argentinensis	43776	Haloarcula argentinensis	GCF_000336895.1	Contig	4147107	33	97.69	0.77	OK	0	0	0	0	0	0	1
GCA_000336915.1	1227455	Halococcus saccharolyticus DSM 5350	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Halococcaceae	1963270	Halococcus	2249	Halococcus saccharolyticus	62319	Halococcus saccharolyticus	GCF_000336915.1	Contig	3449700	36	93.15	14.14	OK	0	0	0	0	0	1	0
GCA_000336935.1	1227456	Halococcus salifodinae DSM 8989	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Halococcaceae	1963270	Halococcus	2249	Halococcus salifodinae	36738	Halococcus salifodinae	GCF_000336935.1	Contig	4199784	109	93.68	16.6	OK	0	0	0	0	0	1	0
GCA_000336995.1	1230454	Halorubrum aidingense JCM 13560	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Halorubrum	56688	Halorubrum aidingense	368623	Halorubrum aidingense	GCF_000336995.1	Contig	3108525	37	96.14	4.09	OK	0	0	0	0	0	0	1
GCA_000337015.1	1230455	Halorubrum distributum JCM 13916	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Halorubrum	56688	Halorubrum distributum	29283	Halorubrum distributum	GCF_000337015.1	Contig	3382601	110	98.19	1.75	OK	0	0	0	0	0	0	1
GCA_000337035.1	1227466	Halorubrum coriense DSM 10284	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Halorubrum	56688	Halorubrum coriense	64713	Halorubrum coriense	GCF_000337035.1	Contig	3645313	69	97.39	2.79	OK	0	0	0	0	0	0	1
GCA_000337055.1	1227467	Halorubrum distributum JCM 9100	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Halorubrum	56688	Halorubrum distributum	29283	Halorubrum distributum	GCF_000337055.1	Contig	3307369	83	98.56	1.36	OK	0	0	0	0	0	0	1
GCA_000337095.1	1227487	Halogeometricum pallidum JCM 14848	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Halogeometricum	60846	Halogeometricum pallidum	411361	Halogeometricum pallidum	GCF_000337095.1	Contig	4384515	45	99.38	0.41	OK	0	0	0	0	0	0	1
GCA_000337255.1	795797	Halalkalicoccus jeotgali B3	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Halalkalicoccaceae	3386556	Halalkalicoccus	332246	Halalkalicoccus jeotgali	413810	Halalkalicoccus jeotgali	GCF_000337255.1	Contig	3614122	52	97.17	2.86	OK	1	1	0	0	0	0	1
GCA_000337275.1	662476	Haloarcula marismortui ATCC 33800	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloarculaceae	1963268	Haloarcula	2237	Haloarcula marismortui	2238	Haloarcula marismortui	GCF_000337275.1	Contig	4405164	84	89.73	8	OK	1	1	0	0	0	1	0
GCA_000337295.1	523841	Haloferax mediterranei ATCC 33500	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Haloferax	2251	Haloferax mediterranei	2252	Haloferax mediterranei	GCF_000337295.1	Contig	3894540	16	99.47		OK	1	1	0	0	0	1	0
GCA_000337315.1	309800	Haloferax volcanii DS2	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Haloferax	2251	Haloferax volcanii	2246	Haloferax volcanii	GCF_000337315.1	Contig	3866754	119	98.78	1.11	OK	1	1	0	0	0	0	1
GCA_000337335.1	1227468	Halorubrum distributum JCM 10118	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Halorubrum	56688	Halorubrum distributum	29283	Halorubrum distributum	GCF_000337335.1	Contig	3306135	68	98.52	1.36	OK	0	0	0	0	0	0	1
GCA_000337355.1	1230456	Halorubrum kocurii JCM 14978	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Halorubrum	56688	Halorubrum kocurii	478441	Halorubrum kocurii	GCF_000337355.1	Contig	3619738	105	96.61	3.17	OK	0	0	0	0	0	0	1
GCA_000337375.1	1227482	Halorubrum lipolyticum DSM 21995	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Halorubrum	56688	Halorubrum lipolyticum	368624	Halorubrum lipolyticum	GCF_000337375.1	Contig	3425042	41	99.2	1.3	OK	0	0	0	0	0	0	1
GCA_000337395.1	1227483	Halorubrum distributum JCM 13561	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Halorubrum	56688	Halorubrum distributum	29283	Halorubrum distributum	GCF_000337395.1	Contig	3137757	63	98.46	2.63	OK	0	0	0	0	0	0	1
GCA_000337415.1	1227485	Halorubrum tebenquichense DSM 14210	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Halorubrum	56688	Halorubrum tebenquichense	119434	Halorubrum tebenquichense	GCF_000337415.1	Contig	3328860	93	97.88	4.39	OK	0	0	0	0	0	0	1
GCA_000337435.1	1227486	Halorubrum distributum JCM 10247	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Halorubrum	56688	Halorubrum distributum	29283	Halorubrum distributum	GCF_000337435.1	Contig	3376225	79	98.02	1.86	OK	0	0	0	0	0	0	1
GCA_000337455.1	797114	Halosimplex carlsbadense 2-9-1	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloarculaceae	1963268	Halosimplex	171163	Halosimplex carlsbadense	171164	Halosimplex carlsbadense	GCF_000337455.1	Contig	4694889	50	99.17	1.66	OK	0	0	0	0	0	0	1
GCA_000337495.1	1227488	Haloterrigena salina JCM 13891	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Natrialbaceae	1644061	Haloterrigena	121871	Haloterrigena salina	504937	Haloterrigena salina	GCF_000337495.1	Contig	4841607	71	93.06	5.16	OK	0	0	0	0	0	1	0
GCA_000337755.1	662475	Haloarcula marismortui ATCC 33799	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloarculaceae	1963268	Haloarcula	2237	Haloarcula marismortui	2238	Haloarcula marismortui	GCF_000337755.1	Contig	4404932	133	97.52	0.41	OK	0	0	0	0	0	0	1
GCA_000337775.1	662477	Haloarcula vallismortis ATCC 29715	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloarculaceae	1963268	Haloarcula	2237	Haloarcula vallismortis	28442	Haloarcula vallismortis	GCF_000337775.1	Contig	3923205	69	97.67	0.13	OK	0	0	0	0	0	0	1
GCA_000337795.1	662478	Haloferax denitrificans ATCC 35960	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Haloferax	2251	Haloferax denitrificans	35745	Haloferax denitrificans	GCF_000337795.1	Contig	3825973	21	98.42	0.17	OK	0	0	0	0	0	0	1
GCA_000337815.1	662479	Haloferax mucosum ATCC BAA-1512	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Haloferax	2251	Haloferax mucosum	403181	Haloferax mucosum	GCF_000337815.1	Contig	3368982	20	97.36	0.44	OK	0	0	0	0	0	0	1
GCA_000337835.1	662480	Haloferax sulfurifontis ATCC BAA-897	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Haloferax	2251	Haloferax sulfurifontis	255616	Haloferax sulfurifontis	GCF_000337835.1	Contig	3812428	29	97.18	2.65	OK	0	0	0	0	0	0	1
GCA_000337855.1	469382	Halogeometricum borinquense DSM 11551	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Halogeometricum	60846	Halogeometricum borinquense	60847	Halogeometricum borinquense	GCF_000337855.1	Contig	3928510	56	98.96	0.41	OK	1	1	0	0	0	0	1
GCA_000337895.1	1227454	Halobiforma nitratireducens JCM 10879	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Natrialbaceae	1644061	Halobiforma	203193	Halobiforma nitratireducens	130048	Halobiforma nitratireducens	GCF_000337895.1	Contig	3688747	205	74.59	5.74	OK	0	0	0	0	0	1	0
GCA_000337915.1	1227484	Halorubrum saccharovorum DSM 1137	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Halorubrum	56688	Halorubrum saccharovorum	2248	Halorubrum saccharovorum	GCF_000337915.1	Contig	3423703	72	99.09	1.38	OK	0	0	0	0	0	0	1
GCA_000376445.1	797209	Haladaptatus paucihalophilus DX253	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haladaptataceae	3064797	Haladaptatus	367188	Haladaptatus paucihalophilus	367189	Haladaptatus paucihalophilus	GCF_000376445.1	Contig	4317540	6	98.69	0.83	OK	1	1	0	0	0	0	1
GCA_000379085.1	1069082	Halomicrobium katesii DSM 19301	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloarculaceae	1963268	Halomicrobium	203135	Halomicrobium katesii	437163	Halomicrobium katesii	GCF_000379085.1	Scaffold	3607771	22	97.63	1.99	OK	0	0	0	0	0	0	1
GCA_000385565.1	387631	Archaeoglobus sulfaticallidus PM70-1	Archaea	Archaea	Methanobacteriota	28890	Archaeoglobi	183980	Archaeoglobales	2231	Archaeoglobaceae	2232	Archaeoglobus	2233	Archaeoglobus sulfaticallidus	1316941	Archaeoglobus sulfaticallidus	GCF_000385565.1	Complete Genome	2076931	1	94.94	3.27	OK	0	0	0	0	0	0	1
GCA_000400975.1	1261545	Halarchaeum acidiphilum MH1-52-1	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Halobacteriaceae	2236	Halarchaeum	744724	Halarchaeum acidiphilum	489138	Halarchaeum acidiphilum	GCF_000400975.1	Contig	2431759	537	80	1.02	OK	1	1	0	0	0	1	0
GCA_000421805.1	1121945	Halorubrum ezzemoulense DSM 17463	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Halorubrum	56688	Halorubrum ezzemoulense	337243	Halorubrum ezzemoulense	GCF_000421805.1	Contig	3591480	96	99.36	1.29	OK	1	1	0	0	0	0	1
GCA_000427685.1	926690	Haloplanus natans DSM 17983	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Haloplanus	376170	Haloplanus natans	376171	Haloplanus natans	GCF_000427685.1	Scaffold	3797935	10	98.65	0.08	OK	0	0	0	0	0	0	1
GCA_000455345.1	1293048	Halopiger goleimassiliensis	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Natrialbaceae	1644061	Halopiger	387342	Halopiger goleimassiliensis	1293048	Halopiger goleimassiliensis	GCF_000455345.1	Scaffold	3906364	11	98.34	0.12	OK	0	0	0	0	0	0	1
GCA_000455365.1	1293047	Halopiger djelfimassiliensis	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Natrialbaceae	1644061	Halopiger	387342	Halopiger djelfimassiliensis	1293047	Halopiger djelfimassiliensis	GCF_000455365.1	Scaffold	3776554	55	100		OK	0	0	0	0	0	1	0
GCA_000470655.1	1033806	Halorhabdus tiamatea SARL4B	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloarculaceae	1963268	Halorhabdus	146825	Halorhabdus tiamatea	430914	Halorhabdus tiamatea	GCF_000470655.1	Complete Genome	3146160	2	98.27	1.31	OK	1	1	0	0	0	0	1
GCA_000474235.1	1261545	Halarchaeum acidiphilum MH1-52-1	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Halobacteriaceae	2236	Halarchaeum	744724	Halarchaeum acidiphilum	489138	Halarchaeum acidiphilum	GCF_000474235.1	Contig	2628974	165	88.5	1.45	OK	1	1	0	0	0	1	0
GCA_000485535.1	795797	Halalkalicoccus jeotgali B3	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Halalkalicoccaceae	3386556	Halalkalicoccus	332246	Halalkalicoccus jeotgali	413810	Halalkalicoccus jeotgali	GCF_000485535.1	Scaffold	3637498	36	97.2	2.93	OK	1	1	0	0	0	0	1
