acc_a	acc_b	class	genus_a	genus_b	conserved_a	proteins_a	conserved_b	proteins_b	pocp	mash_dist	aai	prot_dist
GCA_042654505.1	GCA_900142325.1	congeneric	Epilithonimonas	Epilithonimonas	2552	3479	2557	3312	75.2319	0.161274	85.8329	0.135583
GCA_000181475.1	GCA_007748195.1	congeneric	Gimesia	Gimesia	4312	5814	4224	5591	74.8444	0.254359	77.1511	0.189505
GCA_042654505.1	GCA_042650985.1	congeneric	Epilithonimonas	Epilithonimonas	2650	3479	2660	3675	74.2242	0.143092	87.0411	0.135583
GCA_028610675.1	GCA_047302405.1	congeneric	Alkalihalobacillus	Alkalihalobacillus	3146	4246	3193	4348	73.7608	0.214163	74.8998	0.197917
GCA_009720525.1	GCA_007748195.1	congeneric	Gimesia	Gimesia	4377	6104	4222	5591	73.5271	0.265460	76.2325	0.201469
GCA_001005315.1	GCA_000154725.1	congeneric	Kordia	Kordia	3241	4694	3272	4294	72.4633	0.175878	80.4649	0.165635
GCA_042650985.1	GCA_900142325.1	congeneric	Epilithonimonas	Epilithonimonas	2508	3675	2525	3312	72.0338	0.170926	84.7760	0.145159
GCA_000966185.1	GCA_000970675.1	congeneric	Domibacillus	Domibacillus	2578	3737	2579	3439	71.8645	0.181843	84.5101	0.149488
GCA_003054265.1	GCA_000154725.1	congeneric	Kordia	Kordia	2963	4003	2993	4294	71.7850	0.178964	81.1373	0.165635
GCA_043944905.1	GCA_016481275.1	congeneric	Antrihabitans	Antrihabitans	4248	6008	4367	5994	71.7797	0.210897	74.5915	0.246162
GCA_012932915.1	GCA_043944905.1	congeneric	Antrihabitans	Antrihabitans	4464	6310	4283	6008	71.0099	0.227796	74.1072	0.243535
GCA_004365655.1	GCA_042650985.1	congeneric	Epilithonimonas	Epilithonimonas	2389	3195	2459	3675	70.5677	0.156373	85.4196	0.151160
GCA_028610675.1	GCA_000292245.2	congeneric	Alkalihalobacillus	Alkalihalobacillus	2937	4246	2958	4124	70.4301	0.218593	75.1914	0.202375
GCA_013328815.1	GCA_011008935.1	congeneric	Tabrizicola	Tabrizicola	2822	4364	2789	3669	69.8494	0.177395	76.2289	0.207970
GCA_015999335.1	GCA_003574395.1	congeneric	Tabrizicola	Tabrizicola	2900	4484	2733	3587	69.7931	0.155166	81.2724	0.189505
GCA_003054265.1	GCA_001005315.1	congeneric	Kordia	Kordia	2965	4003	3053	4694	69.1963	0.202933	78.1290	0.182451
GCA_009901525.1	GCA_000154725.1	congeneric	Kordia	Kordia	3044	4542	3068	4294	69.1716	0.181002	80.9762	0.188699
GCA_008973485.1	GCA_006861775.1	congeneric	Psychrobacillus	Psychrobacillus	2705	3996	2825	4030	68.9011	0.199098	80.5533	0.182451
GCA_008973485.1	GCA_006861795.1	congeneric	Psychrobacillus	Psychrobacillus	2848	3996	2921	4397	68.7359	0.201619	79.7789	0.191137
GCA_004365655.1	GCA_042654505.1	congeneric	Epilithonimonas	Epilithonimonas	2267	3195	2298	3479	68.3998	0.181843	83.8372	0.159354
GCA_011008935.1	GCA_003574395.1	congeneric	Tabrizicola	Tabrizicola	2500	3669	2463	3587	68.3986	0.190183	72.9219	0.224396
GCA_006861775.1	GCA_003254155.1	congeneric	Psychrobacillus	Psychrobacillus	2534	4030	2417	3219	68.2991	0.220489	79.4326	0.206074
GCA_009901525.1	GCA_003054265.1	congeneric	Kordia	Kordia	2930	4542	2902	4003	68.2504	0.207109	78.2677	0.209899
GCA_009901525.1	GCA_001005315.1	congeneric	Kordia	Kordia	3087	4542	3153	4694	67.5617	0.182269	78.9480	0.203289
GCA_004365655.1	GCA_900142325.1	congeneric	Epilithonimonas	Epilithonimonas	2174	3195	2216	3312	67.4658	0.188686	83.3484	0.168925
GCA_015999335.1	GCA_011008935.1	congeneric	Tabrizicola	Tabrizicola	2810	4484	2642	3669	66.8711	0.186292	72.8905	0.226624
GCA_013328815.1	GCA_003574395.1	congeneric	Tabrizicola	Tabrizicola	2685	4364	2619	3587	66.7086	0.210897	72.9533	0.243535
GCA_001906925.1	GCA_000970675.1	congeneric	Domibacillus	Domibacillus	2205	3253	2214	3439	66.0341	0.215885	78.4345	0.206074
GCA_008297975.1	GCA_012932915.1	congeneric	Antrihabitans	Antrihabitans	3705	5303	3906	6310	65.5386	0.235108	71.7009	0.240966
GCA_001643235.1	GCA_000970675.1	congeneric	Domibacillus	Domibacillus	2396	3756	2316	3439	65.4899	0.217673	78.6588	0.207970
GCA_001906925.1	GCA_000966185.1	congeneric	Domibacillus	Domibacillus	2275	3253	2272	3737	65.0501	0.231311	76.6465	0.215889
GCA_008297975.1	GCA_016481275.1	congeneric	Antrihabitans	Antrihabitans	3587	5303	3759	5994	65.0261	0.224525	71.6721	0.250212
GCA_008297975.1	GCA_043944905.1	congeneric	Antrihabitans	Antrihabitans	3627	5303	3717	6008	64.9279	0.237820	72.4505	0.279589
GCA_003254155.1	GCA_006861795.1	congeneric	Psychrobacillus	Psychrobacillus	2417	3219	2526	4397	64.9028	0.217673	78.9859	0.228896
GCA_015999335.1	GCA_013328815.1	congeneric	Tabrizicola	Tabrizicola	2891	4484	2814	4364	64.4778	0.179364	73.5592	0.230048
GCA_001643235.1	GCA_000966185.1	congeneric	Domibacillus	Domibacillus	2464	3756	2356	3737	64.3267	0.243761	76.7935	0.210875
GCA_008973485.1	GCA_003254155.1	congeneric	Psychrobacillus	Psychrobacillus	2245	3996	2240	3219	62.1622	0.213325	78.7356	0.234776
GCA_043556415.1	GCA_030065535.1	congeneric	Microbacterium	Microbacterium	1694	2715	1695	2753	61.9788	0.197292	70.2009	0.264791
GCA_043556415.1	GCA_025960885.1	congeneric	Microbacterium	Microbacterium	1907	2715	1979	3572	61.8101	0.197886	72.8062	0.250212
GCA_025960885.1	GCA_030065535.1	congeneric	Microbacterium	Microbacterium	1973	3572	1910	2753	61.3913	0.192258	70.1456	0.267929
GCA_030065535.1	GCA_013409785.1	congeneric	Microbacterium	Microbacterium	1769	2753	1807	3554	56.6989	0.194988	70.6594	0.264791
GCA_043556415.1	GCA_013409785.1	congeneric	Microbacterium	Microbacterium	1717	2715	1768	3554	55.5910	0.211692	71.8933	0.272792
GCA_025960885.1	GCA_013409785.1	congeneric	Microbacterium	Microbacterium	1961	3572	1934	3554	54.6590	0.193877	70.8292	0.269529
GCA_020734105.1	GCA_042656585.1	inter_genus	Alkalihalobacillus	Thalassorhabdus	2341	4783	2057	3324	54.2494	0.320287	62.2338	0.363031
GCA_047302405.1	GCA_020734105.1	congeneric	Alkalihalobacillus	Alkalihalobacillus	2274	4348	2476	4783	52.0206	0.295981	66.5522	0.347277
GCA_011008935.1	GCA_041537905.1	inter_genus	Tabrizicola	Ruegeria	2223	3669	2266	5052	51.4735	0.276697	63.6800	0.347277
GCA_003254155.1	GCA_001906925.1	inter_genus	Psychrobacillus	Domibacillus	1677	3219	1651	3253	51.4215	0.291447	60.4285	0.384809
GCA_003574395.1	GCA_041537905.1	inter_genus	Tabrizicola	Ruegeria	2160	3587	2266	5052	51.2328	0.248764	64.1402	0.366421
GCA_000292245.2	GCA_020734105.1	congeneric	Alkalihalobacillus	Alkalihalobacillus	2168	4124	2359	4783	50.8252	0.276697	66.9415	0.350280
GCA_001906925.1	GCA_030814065.1	inter_genus	Domibacillus	Mesobacillus	1759	3253	1775	3822	49.9505	0.300994	62.5981	0.330580
GCA_000292245.2	GCA_042656585.1	inter_genus	Alkalihalobacillus	Thalassorhabdus	1882	4124	1837	3324	49.9329	0.328965	61.7166	0.373474
GCA_003254155.1	GCA_001643235.1	inter_genus	Psychrobacillus	Domibacillus	1713	3219	1765	3756	49.8638	0.295981	60.8328	0.363031
GCA_000966185.1	GCA_030814065.1	inter_genus	Domibacillus	Mesobacillus	1884	3737	1871	3822	49.6759	0.306598	61.9583	0.330580
GCA_047302405.1	GCA_042656585.1	inter_genus	Alkalihalobacillus	Thalassorhabdus	1930	4348	1866	3324	49.4786	0.339586	61.2584	0.380922
GCA_000970675.1	GCA_030814065.1	inter_genus	Domibacillus	Mesobacillus	1782	3439	1808	3822	49.4422	0.312952	62.7373	0.338661
GCA_003254155.1	GCA_000970675.1	inter_genus	Psychrobacillus	Domibacillus	1647	3219	1625	3439	49.1439	0.328965	60.3409	0.397196
GCA_006861775.1	GCA_001906925.1	inter_genus	Psychrobacillus	Domibacillus	1841	4030	1719	3253	48.8810	0.312952	60.5747	0.380922
GCA_013328815.1	GCA_041537905.1	inter_genus	Tabrizicola	Ruegeria	2280	4364	2300	5052	48.6406	0.270747	63.5473	0.359726
GCA_028610675.1	GCA_020734105.1	congeneric	Alkalihalobacillus	Alkalihalobacillus	2088	4246	2291	4783	48.4993	0.283502	65.4983	0.366421
GCA_003254155.1	GCA_000966185.1	inter_genus	Psychrobacillus	Domibacillus	1684	3219	1666	3737	48.1599	0.306598	60.0870	0.380922
GCA_015999335.1	GCA_041537905.1	inter_genus	Tabrizicola	Ruegeria	2300	4484	2277	5052	47.9971	0.276697	63.1748	0.363031
GCA_006861775.1	GCA_001643235.1	inter_genus	Psychrobacillus	Domibacillus	1894	4030	1841	3756	47.9707	0.328965	60.1376	0.377146
GCA_028610675.1	GCA_042656585.1	inter_genus	Alkalihalobacillus	Thalassorhabdus	1824	4246	1797	3324	47.8336	0.306598	60.9539	0.377146
GCA_001643235.1	GCA_030814065.1	inter_genus	Domibacillus	Mesobacillus	1823	3756	1787	3822	47.6379	0.300994	62.7013	0.335911
GCA_003054265.1	GCA_014651475.1	inter_genus	Kordia	Mesonia	1640	4003	1646	2913	47.5130	0.291447	63.3419	0.330580
GCA_006861775.1	GCA_000966185.1	inter_genus	Psychrobacillus	Domibacillus	1893	4030	1781	3737	47.3027	0.312952	59.7676	0.359726
GCA_000970675.1	GCA_042656585.1	inter_genus	Domibacillus	Thalassorhabdus	1585	3439	1596	3324	47.0353	0.339586	58.2991	0.401593
GCA_000154725.1	GCA_014651475.1	inter_genus	Kordia	Mesonia	1701	4294	1676	2913	46.8572	0.295981	62.9505	0.335911
GCA_006861795.1	GCA_001643235.1	inter_genus	Psychrobacillus	Domibacillus	1920	4397	1887	3756	46.6945	0.320287	60.2045	0.392938
GCA_003254155.1	GCA_030814065.1	inter_genus	Psychrobacillus	Mesobacillus	1639	3219	1628	3822	46.3997	0.320287	60.4084	0.392938
GCA_006861775.1	GCA_000970675.1	inter_genus	Psychrobacillus	Domibacillus	1804	4030	1661	3439	46.3918	0.320287	60.0690	0.366421
GCA_006861795.1	GCA_001906925.1	inter_genus	Psychrobacillus	Domibacillus	1814	4397	1726	3253	46.2745	0.312952	60.3391	0.406139
GCA_000966185.1	GCA_042656585.1	inter_genus	Domibacillus	Thalassorhabdus	1636	3737	1631	3324	46.2682	0.320287	58.1806	0.392938
GCA_047302405.1	GCA_000966185.1	inter_genus	Alkalihalobacillus	Domibacillus	1897	4348	1837	3737	46.1843	0.312952	58.2183	0.420773
GCA_001906925.1	GCA_042656585.1	inter_genus	Domibacillus	Thalassorhabdus	1511	3253	1519	3324	46.0696	0.339586	58.1168	0.426026
GCA_006861775.1	GCA_030814065.1	inter_genus	Psychrobacillus	Mesobacillus	1882	4030	1728	3822	45.9755	0.312952	60.1768	0.359726
GCA_030814065.1	GCA_042656585.1	inter_genus	Mesobacillus	Thalassorhabdus	1661	3822	1620	3324	45.9138	0.300994	58.8460	0.373474
GCA_009901525.1	GCA_014651475.1	inter_genus	Kordia	Mesonia	1710	4542	1701	2913	45.7545	0.300994	62.9626	0.330580
GCA_006861795.1	GCA_000966185.1	inter_genus	Psychrobacillus	Domibacillus	1910	4397	1809	3737	45.7217	0.339586	59.7036	0.377146
GCA_006861795.1	GCA_000970675.1	inter_genus	Psychrobacillus	Domibacillus	1849	4397	1718	3439	45.5207	0.312952	60.0326	0.369901
GCA_008973485.1	GCA_001906925.1	inter_genus	Psychrobacillus	Domibacillus	1663	3996	1627	3253	45.3856	0.306598	60.1722	0.373474
GCA_000292245.2	GCA_000966185.1	inter_genus	Alkalihalobacillus	Domibacillus	1814	4124	1753	3737	45.3759	0.306598	58.4613	0.431489
GCA_020734105.1	GCA_030814065.1	inter_genus	Alkalihalobacillus	Mesobacillus	2050	4783	1840	3822	45.2063	0.353280	59.6477	0.388812
GCA_000292245.2	GCA_030814065.1	inter_genus	Alkalihalobacillus	Mesobacillus	1829	4124	1762	3822	45.1925	0.306598	59.4842	0.437182
GCA_008973485.1	GCA_000966185.1	inter_genus	Psychrobacillus	Domibacillus	1751	3996	1729	3737	45.0019	0.328965	59.7951	0.380922
GCA_001643235.1	GCA_042656585.1	inter_genus	Domibacillus	Thalassorhabdus	1621	3756	1560	3324	44.9294	0.353280	57.9009	0.437182
GCA_047302405.1	GCA_030814065.1	inter_genus	Alkalihalobacillus	Mesobacillus	1854	4348	1809	3822	44.8348	0.312952	58.9883	0.420773
GCA_008973485.1	GCA_001643235.1	inter_genus	Psychrobacillus	Domibacillus	1719	3996	1749	3756	44.7368	0.306598	60.3766	0.377146
GCA_020734105.1	GCA_000966185.1	inter_genus	Alkalihalobacillus	Domibacillus	2011	4783	1800	3737	44.7300	0.339586	58.9992	0.392938
GCA_020734105.1	GCA_001906925.1	inter_genus	Alkalihalobacillus	Domibacillus	1922	4783	1669	3253	44.6864	0.320287	59.3981	0.401593
GCA_008973485.1	GCA_000970675.1	inter_genus	Psychrobacillus	Domibacillus	1681	3996	1634	3439	44.5864	0.295981	60.1069	0.377146
GCA_006861795.1	GCA_030814065.1	inter_genus	Psychrobacillus	Mesobacillus	1892	4397	1769	3822	44.5431	0.312952	60.1141	0.369901
GCA_008973485.1	GCA_030814065.1	inter_genus	Psychrobacillus	Mesobacillus	1738	3996	1713	3822	44.1417	0.306598	59.9027	0.359726
GCA_001005315.1	GCA_014651475.1	inter_genus	Kordia	Mesonia	1670	4694	1681	2913	44.0515	0.306598	62.9792	0.320535
GCA_020734105.1	GCA_000970675.1	inter_genus	Alkalihalobacillus	Domibacillus	1913	4783	1703	3439	43.9796	0.312952	59.2699	0.401593
GCA_020734105.1	GCA_001643235.1	inter_genus	Alkalihalobacillus	Domibacillus	1947	4783	1801	3756	43.8927	0.312952	59.3284	0.397196
GCA_028610675.1	GCA_000966185.1	inter_genus	Alkalihalobacillus	Domibacillus	1759	4246	1743	3737	43.8682	0.306598	57.8868	0.420773
GCA_028610675.1	GCA_030814065.1	inter_genus	Alkalihalobacillus	Mesobacillus	1769	4246	1758	3822	43.7159	0.312952	58.6144	0.415717
GCA_000292245.2	GCA_000970675.1	inter_genus	Alkalihalobacillus	Domibacillus	1676	4124	1595	3439	43.2500	0.312952	58.6528	0.449332
GCA_020734105.1	GCA_003254155.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1824	4783	1635	3219	43.2267	0.339586	57.6580	0.443122
GCA_003254155.1	GCA_042656585.1	inter_genus	Psychrobacillus	Thalassorhabdus	1423	3219	1405	3324	43.2218	0.339586	56.2151	0.455838
GCA_047302405.1	GCA_000970675.1	inter_genus	Alkalihalobacillus	Domibacillus	1697	4348	1635	3439	42.7893	0.312952	58.2749	0.449332
GCA_000292245.2	GCA_001906925.1	inter_genus	Alkalihalobacillus	Domibacillus	1624	4124	1526	3253	42.7003	0.320287	58.8172	0.426026
GCA_047302405.1	GCA_006861775.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1739	4348	1834	4030	42.6474	0.405585	56.6478	0.455838
GCA_047302405.1	GCA_001643235.1	inter_genus	Alkalihalobacillus	Domibacillus	1714	4348	1732	3756	42.5222	0.328965	58.2331	0.443122
GCA_000292245.2	GCA_001643235.1	inter_genus	Alkalihalobacillus	Domibacillus	1674	4124	1675	3756	42.5000	0.320287	58.6842	0.420773
GCA_000292245.2	GCA_006861775.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1673	4124	1773	4030	42.2615	0.328965	56.9961	0.449332
GCA_047302405.1	GCA_001906925.1	inter_genus	Alkalihalobacillus	Domibacillus	1637	4348	1574	3253	42.2444	0.320287	58.3889	0.426026
GCA_009827395.1	GCA_034424525.1	inter_genus	Pontixanthobacter	Sphingobium	1589	2802	1723	5046	42.2018	0.295981	60.3958	0.392938
GCA_020734105.1	GCA_006861775.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1899	4783	1820	4030	42.1990	0.306598	57.1899	0.449332
GCA_047302405.1	GCA_006861795.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1804	4348	1860	4397	41.8982	0.328965	56.7572	0.449332
GCA_028610675.1	GCA_006861775.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1683	4246	1783	4030	41.8801	0.328965	56.2825	0.443122
GCA_047302405.1	GCA_003254155.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1590	4348	1569	3219	41.7471	0.328965	57.0523	0.443122
GCA_006861775.1	GCA_042656585.1	inter_genus	Psychrobacillus	Thalassorhabdus	1597	4030	1467	3324	41.6644	0.339586	56.3327	0.426026
GCA_028610675.1	GCA_000970675.1	inter_genus	Alkalihalobacillus	Domibacillus	1608	4246	1590	3439	41.6135	0.300994	57.9312	0.449332
GCA_009828095.1	GCA_034424525.1	inter_genus	Pontixanthobacter	Sphingobium	1543	2712	1670	5046	41.4153	0.270747	60.3111	0.373474
GCA_000292245.2	GCA_006861795.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1725	4124	1796	4397	41.3214	0.328965	57.2355	0.477439
GCA_000292245.2	GCA_003254155.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1532	4124	1498	3219	41.2638	0.328965	57.3153	0.485465
GCA_012972675.1	GCA_034424525.1	inter_genus	Pontixanthobacter	Sphingobium	1496	2592	1647	5046	41.1495	0.295981	60.0997	0.392938
GCA_047302405.1	GCA_008973485.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1713	4348	1718	3996	41.1194	0.372583	56.6359	0.462668
GCA_028610675.1	GCA_001906925.1	inter_genus	Alkalihalobacillus	Domibacillus	1563	4246	1518	3253	41.0855	0.312952	57.8795	0.420773
GCA_028610675.1	GCA_003254155.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1550	4246	1517	3219	41.0851	0.328965	56.4012	0.477439
GCA_028610675.1	GCA_006861795.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1736	4246	1806	4397	40.9811	0.339586	56.2045	0.455838
GCA_028610675.1	GCA_008973485.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1667	4246	1699	3996	40.8396	0.339586	56.0153	0.443122
GCA_028610675.1	GCA_001643235.1	inter_genus	Alkalihalobacillus	Domibacillus	1615	4246	1652	3756	40.8273	0.312952	57.7398	0.426026
GCA_020734105.1	GCA_006861795.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1905	4783	1815	4397	40.5229	0.339586	57.1727	0.462668
GCA_000292245.2	GCA_008973485.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1631	4124	1618	3996	40.0123	0.353280	56.9089	
GCA_009827455.1	GCA_034424525.1	inter_genus	Pontixanthobacter	Sphingobium	1482	2704	1597	5046	39.7290	0.306598	60.3812	0.397196
GCA_006861795.1	GCA_042656585.1	inter_genus	Psychrobacillus	Thalassorhabdus	1589	4397	1473	3324	39.6581	0.339586	56.2715	0.449332
GCA_020734105.1	GCA_008973485.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1779	4783	1634	3996	38.8769	0.328965	56.9022	0.437182
GCA_008973485.1	GCA_042656585.1	inter_genus	Psychrobacillus	Thalassorhabdus	1429	3996	1384	3324	38.4290	0.353280	56.2484	0.449332
GCA_003574395.1	GCA_019334345.1	inter_genus	Tabrizicola	Neohoeflea	1371	3587	1375	3629	38.0543	0.306598	53.1999	0.437182
GCA_011008935.1	GCA_019334345.1	inter_genus	Tabrizicola	Neohoeflea	1387	3669	1366	3629	37.7227	0.300994	52.9859	
GCA_015999335.1	GCA_019334345.1	inter_genus	Tabrizicola	Neohoeflea	1570	4484	1478	3629	37.5693	0.300994	53.1071	0.493985
GCA_008297975.1	GCA_900100925.1	inter_genus	Antrihabitans	Actinopolyspora	1771	5303	1680	4041	36.9328	0.353280	57.6126	0.415717
GCA_013328815.1	GCA_019334345.1	inter_genus	Tabrizicola	Neohoeflea	1487	4364	1419	3629	36.3568	0.328965	52.9150	
GCA_047302405.1	GCA_014212135.1	inter_genus	Alkalihalobacillus	Cohnella	1753	4348	1969	6030	35.8643	0.372583	53.1046	0.469856
GCA_008704535.1	GCA_900100925.1	inter_genus	Streptomyces	Actinopolyspora	1971	6558	1777	4041	35.3618	0.276697	54.7125	0.415717
GCA_003254155.1	GCA_900636385.1	inter_genus	Psychrobacillus	Staphylococcus	989	3219	939	2236	35.3437	0.328965	54.1822	0.469856
GCA_008297975.1	GCA_008704535.1	inter_genus	Antrihabitans	Streptomyces	2043	5303	2146	6558	35.3174	0.312952	54.3782	0.426026
GCA_000970675.1	GCA_900636385.1	inter_genus	Domibacillus	Staphylococcus	1009	3439	955	2236	34.6079	0.339586	54.6296	0.449332
GCA_016481275.1	GCA_900100925.1	inter_genus	Antrihabitans	Actinopolyspora	1811	5994	1655	4041	34.5391	0.328965	57.3592	0.397196
GCA_900142325.1	GCA_014651475.1	inter_genus	Epilithonimonas	Mesonia	1077	3312	1067	2913	34.4418	0.353280	53.7719	0.469856
GCA_043944905.1	GCA_900100925.1	inter_genus	Antrihabitans	Actinopolyspora	1793	6008	1656	4041	34.3218	0.353280	57.2632	0.410843
GCA_043944905.1	GCA_008704535.1	inter_genus	Antrihabitans	Streptomyces	2148	6008	2162	6558	34.2989	0.312952	54.3533	0.401593
GCA_012932915.1	GCA_900100925.1	inter_genus	Antrihabitans	Actinopolyspora	1848	6310	1701	4041	34.2865	0.312952	57.2614	0.431489
GCA_001906925.1	GCA_900636385.1	inter_genus	Domibacillus	Staphylococcus	958	3253	923	2236	34.2685	0.339586	54.1887	0.449332
GCA_004365655.1	GCA_014651475.1	inter_genus	Epilithonimonas	Mesonia	1038	3195	1054	2913	34.2502	0.353280	53.6641	0.485465
GCA_016481275.1	GCA_008704535.1	inter_genus	Antrihabitans	Streptomyces	2140	5994	2153	6558	34.2017	0.328965	54.2501	0.420773
GCA_042654505.1	GCA_014651475.1	inter_genus	Epilithonimonas	Mesonia	1097	3479	1087	2913	34.1677	0.372583	53.7635	0.477439
GCA_000966185.1	GCA_014212135.1	inter_genus	Domibacillus	Cohnella	1551	3737	1765	6030	33.9511	0.339586	53.6290	
GCA_012932915.1	GCA_008704535.1	inter_genus	Antrihabitans	Streptomyces	2188	6310	2180	6558	33.9447	0.320287	54.2664	0.431489
GCA_000009365.1	GCA_001639725.1	inter_genus	Alcanivorax	Marinomonas	1064	2758	1101	3637	33.8546	0.372583	55.1521	0.420773
GCA_001643235.1	GCA_900636385.1	inter_genus	Domibacillus	Staphylococcus	1062	3756	966	2236	33.8451	0.328965	53.8804	0.455838
GCA_042650985.1	GCA_014651475.1	inter_genus	Epilithonimonas	Mesonia	1114	3675	1106	2913	33.6976	0.353280	53.8261	0.485465
GCA_041537905.1	GCA_019334345.1	inter_genus	Ruegeria	Neohoeflea	1490	5052	1432	3629	33.6597	0.320287	53.4084	0.469856
GCA_000292245.2	GCA_014212135.1	inter_genus	Alkalihalobacillus	Cohnella	1594	4124	1804	6030	33.4646	0.372583	53.6340	0.493985
GCA_028610675.1	GCA_014212135.1	inter_genus	Alkalihalobacillus	Cohnella	1605	4246	1807	6030	33.2036	0.372583	53.3050	0.485465
GCA_000966185.1	GCA_900636385.1	inter_genus	Domibacillus	Staphylococcus	1020	3737	963	2236	33.1994	0.353280	54.5891	0.455838
GCA_006861775.1	GCA_900636385.1	inter_genus	Psychrobacillus	Staphylococcus	1089	4030	963	2236	32.7482	0.339586	53.9181	0.477439
