scenario	accession	genus	domain	neighbour	ani	af_min	class	same_genus
as_reported	GCA_000152265.2	Ferroplasma	Archaea	GCA_002078355.1	97.30	81.18	same_species	1
no_self_strain	GCA_000152265.2	Ferroplasma	Archaea	GCA_002078355.1	97.30	81.18	same_species	1
as_reported	GCA_000172995.2	Halogeometricum	Archaea	GCA_000337855.1	99.99	99.46	same_strain	1
no_self_strain	GCA_000172995.2	Halogeometricum	Archaea	GCA_900112175.1	82.04	9.65	congeneric	1
novel_species	GCA_000172995.2	Halogeometricum	Archaea	GCA_900112175.1	82.04	9.65	congeneric	1
as_reported	GCA_000186365.1	Desulfurococcus	Archaea	GCA_001006085.1	99.60	87.72	same_species	1
no_self_strain	GCA_000186365.1	Desulfurococcus	Archaea	GCA_001006085.1	99.60	87.72	same_species	1
as_reported	GCA_000187225.2	Haladaptatus	Archaea	GCA_000376445.1	100.00	99.35	same_strain	1
no_self_strain	GCA_000187225.2	Haladaptatus	Archaea	GCA_020614375.1	81.05	5.32	congeneric	1
novel_species	GCA_000187225.2	Haladaptatus	Archaea	GCA_020614375.1	81.05	5.32	congeneric	1
as_reported	GCA_000196895.1	Halalkalicoccus	Archaea	GCA_000485535.1	100.00	98.25	same_strain	1
no_self_strain	GCA_000196895.1	Halalkalicoccus	Archaea	GCA_001593955.1	85.52	27.78	congeneric	1
novel_species	GCA_000196895.1	Halalkalicoccus	Archaea	GCA_001593955.1	85.52	27.78	congeneric	1
as_reported	GCA_000215915.3	Halorhabdus	Archaea	GCA_000470655.1	99.99	94.16	same_strain	1
no_self_strain	GCA_000215915.3	Halorhabdus	Archaea	GCA_000023945.1	86.09	26.95	congeneric	1
novel_species	GCA_000215915.3	Halorhabdus	Archaea	GCA_000023945.1	86.09	26.95	congeneric	1
as_reported	GCA_000217715.1	Halopiger	Archaea	GCA_003610195.1	91.50	62.02	congeneric	1
no_self_strain	GCA_000217715.1	Halopiger	Archaea	GCA_003610195.1	91.50	62.02	congeneric	1
novel_species	GCA_000217715.1	Halopiger	Archaea	GCA_003610195.1	91.50	62.02	congeneric	1
as_reported	GCA_000223905.1	Haloarcula	Archaea	GCA_039545215.1	100.00	99.61	same_species	1
no_self_strain	GCA_000223905.1	Haloarcula	Archaea	GCA_039545215.1	100.00	99.61	same_species	1
novel_species	GCA_000223905.1	Haloarcula	Archaea	GCA_000336615.1	95.02	80.12	congeneric	1
as_reported	GCA_000231015.3	Desulfurococcus	Archaea	GCA_000020905.1	96.13	85.65	same_species	1
no_self_strain	GCA_000231015.3	Desulfurococcus	Archaea	GCA_000020905.1	96.13	85.65	same_species	1
as_reported	GCA_000259215.1	Halococcus	Archaea	GCA_000336675.1	99.96	97.02	same_strain	1
no_self_strain	GCA_000259215.1	Halococcus	Archaea	GCA_009900715.1	92.34	62.03	congeneric	1
novel_species	GCA_000259215.1	Halococcus	Archaea	GCA_009900715.1	92.34	62.03	congeneric	1
as_reported	GCA_000283335.1	Halogranum	Archaea	GCA_900114455.1	97.37	81.36	same_species	1
no_self_strain	GCA_000283335.1	Halogranum	Archaea	GCA_900114455.1	97.37	81.36	same_species	1
novel_species	GCA_000283335.1	Halogranum	Archaea	GCA_900110465.1	83.63	15.35	congeneric	1
as_reported	GCA_000300255.2	Methanomethylophilus	Archaea	GCA_003711245.1	100.00	100.00	same_species	1
no_self_strain	GCA_000300255.2	Methanomethylophilus	Archaea	GCA_003711245.1	100.00	100.00	same_species	1
as_reported	GCA_000306765.2	Haloferax	Archaea	GCA_005406325.1	100.00	100.00	same_strain	1
no_self_strain	GCA_000306765.2	Haloferax	Archaea	GCA_000337815.1	85.50	27.57	congeneric	1
novel_species	GCA_000306765.2	Haloferax	Archaea	GCA_000337815.1	85.50	27.57	congeneric	1
as_reported	GCA_000336615.1	Haloarcula	Archaea	GCA_000223905.1	95.02	80.12	congeneric	1
no_self_strain	GCA_000336615.1	Haloarcula	Archaea	GCA_000223905.1	95.02	80.12	congeneric	1
novel_species	GCA_000336615.1	Haloarcula	Archaea	GCA_000223905.1	95.02	80.12	congeneric	1
as_reported	GCA_000336635.1	Haloarcula	Archaea	GCA_039545195.1	99.99	99.75	same_species	1
no_self_strain	GCA_000336635.1	Haloarcula	Archaea	GCA_039545195.1	99.99	99.75	same_species	1
novel_species	GCA_000336635.1	Haloarcula	Archaea	GCA_042429525.1	91.70	67.46	congeneric	1
as_reported	GCA_000336675.1	Halococcus	Archaea	GCA_000259215.1	99.96	97.02	same_strain	1
no_self_strain	GCA_000336675.1	Halococcus	Archaea	GCA_009900715.1	92.25	63.89	congeneric	1
novel_species	GCA_000336675.1	Halococcus	Archaea	GCA_009900715.1	92.25	63.89	congeneric	1
as_reported	GCA_000336695.1	Halococcus	Archaea	GCA_052043925.1	99.70	92.99	same_strain	1
no_self_strain	GCA_000336695.1	Halococcus	Archaea	GCA_039522505.1	96.48	63.69	same_species	1
novel_species	GCA_000336695.1	Halococcus	Archaea	GCA_024508235.1	92.99	69.92	congeneric	1
as_reported	GCA_000336715.1	Halococcus	Archaea	GCA_024508235.1	93.88	53.21	congeneric	1
no_self_strain	GCA_000336715.1	Halococcus	Archaea	GCA_024508235.1	93.88	53.21	congeneric	1
novel_species	GCA_000336715.1	Halococcus	Archaea	GCA_024508235.1	93.88	53.21	congeneric	1
as_reported	GCA_000336735.1	Haloferax	Archaea	GCA_030535215.1	99.99	99.75	same_species	1
no_self_strain	GCA_000336735.1	Haloferax	Archaea	GCA_030535215.1	99.99	99.75	same_species	1
novel_species	GCA_000336735.1	Haloferax	Archaea	GCA_000337795.1	94.31	74.19	congeneric	1
as_reported	GCA_000336755.1	Haloferax	Archaea	GCA_001469865.1	83.65	11.77	congeneric	1
no_self_strain	GCA_000336755.1	Haloferax	Archaea	GCA_001469865.1	83.65	11.77	congeneric	1
novel_species	GCA_000336755.1	Haloferax	Archaea	GCA_001469865.1	83.65	11.77	congeneric	1
as_reported	GCA_000336775.1	Haloferax	Archaea	GCA_000336815.1	96.87	83.35	congeneric	1
no_self_strain	GCA_000336775.1	Haloferax	Archaea	GCA_000336815.1	96.87	83.35	congeneric	1
novel_species	GCA_000336775.1	Haloferax	Archaea	GCA_000336815.1	96.87	83.35	congeneric	1
as_reported	GCA_000336795.1	Haloferax	Archaea	GCA_000336735.1	99.39	92.98	same_species	1
no_self_strain	GCA_000336795.1	Haloferax	Archaea	GCA_000336735.1	99.39	92.98	same_species	1
novel_species	GCA_000336795.1	Haloferax	Archaea	GCA_000337795.1	94.17	73.24	congeneric	1
as_reported	GCA_000336815.1	Haloferax	Archaea	GCA_000336775.1	96.87	83.35	congeneric	1
no_self_strain	GCA_000336815.1	Haloferax	Archaea	GCA_000336775.1	96.87	83.35	congeneric	1
novel_species	GCA_000336815.1	Haloferax	Archaea	GCA_000336775.1	96.87	83.35	congeneric	1
as_reported	GCA_000336875.1	Halorubrum	Archaea	GCA_000337015.1	90.69	46.55	congeneric	1
no_self_strain	GCA_000336875.1	Halorubrum	Archaea	GCA_000337015.1	90.69	46.55	congeneric	1
novel_species	GCA_000336875.1	Halorubrum	Archaea	GCA_000337015.1	90.69	46.55	congeneric	1
as_reported	GCA_000336895.1	Haloarcula	Archaea	GCA_039539865.1	99.97	96.19	same_species	1
no_self_strain	GCA_000336895.1	Haloarcula	Archaea	GCA_039539865.1	99.97	96.19	same_species	1
novel_species	GCA_000336895.1	Haloarcula	Archaea	GCA_042429525.1	95.27	79.68	congeneric	1
as_reported	GCA_000336915.1	Halococcus	Archaea	GCA_052043865.1	90.16	45.94	congeneric	1
no_self_strain	GCA_000336915.1	Halococcus	Archaea	GCA_052043865.1	90.16	45.94	congeneric	1
novel_species	GCA_000336915.1	Halococcus	Archaea	GCA_052043865.1	90.16	45.94	congeneric	1
as_reported	GCA_000336935.1	Halococcus	Archaea	GCA_052043865.1	99.97	98.19	same_species	1
no_self_strain	GCA_000336935.1	Halococcus	Archaea	GCA_052043865.1	99.97	98.19	same_species	1
novel_species	GCA_000336935.1	Halococcus	Archaea	GCA_000336915.1	89.73	44.74	congeneric	1
as_reported	GCA_000336995.1	Halorubrum	Archaea	GCA_000337375.1	85.04	19.06	congeneric	1
no_self_strain	GCA_000336995.1	Halorubrum	Archaea	GCA_000337375.1	85.04	19.06	congeneric	1
novel_species	GCA_000336995.1	Halorubrum	Archaea	GCA_000337375.1	85.04	19.06	congeneric	1
as_reported	GCA_000337015.1	Halorubrum	Archaea	GCA_000337435.1	98.13	79.42	same_species	1
no_self_strain	GCA_000337015.1	Halorubrum	Archaea	GCA_000337435.1	98.13	79.42	same_species	1
novel_species	GCA_000337015.1	Halorubrum	Archaea	GCA_018228765.1	92.98	63.09	congeneric	1
as_reported	GCA_000337035.1	Halorubrum	Archaea	GCA_041379815.1	92.05	57.44	congeneric	1
no_self_strain	GCA_000337035.1	Halorubrum	Archaea	GCA_041379815.1	92.05	57.44	congeneric	1
novel_species	GCA_000337035.1	Halorubrum	Archaea	GCA_041379815.1	92.05	57.44	congeneric	1
as_reported	GCA_000337055.1	Halorubrum	Archaea	GCA_000337335.1	99.97	99.80	same_species	1
no_self_strain	GCA_000337055.1	Halorubrum	Archaea	GCA_000337335.1	99.97	99.80	same_species	1
novel_species	GCA_000337055.1	Halorubrum	Archaea	GCA_018228765.1	93.29	65.37	congeneric	1
as_reported	GCA_000337095.1	Halogeometricum	Archaea	GCA_031624495.1	90.59	56.39	congeneric	1
no_self_strain	GCA_000337095.1	Halogeometricum	Archaea	GCA_031624495.1	90.59	56.39	congeneric	1
novel_species	GCA_000337095.1	Halogeometricum	Archaea	GCA_031624495.1	90.59	56.39	congeneric	1
as_reported	GCA_000337255.1	Halalkalicoccus	Archaea	GCA_000196895.1	99.98	97.23	same_strain	1
no_self_strain	GCA_000337255.1	Halalkalicoccus	Archaea	GCA_001593955.1	85.95	26.59	congeneric	1
novel_species	GCA_000337255.1	Halalkalicoccus	Archaea	GCA_001593955.1	85.95	26.59	congeneric	1
as_reported	GCA_000337275.1	Haloarcula	Archaea	GCA_018200015.1	100.00	97.15	same_strain	1
no_self_strain	GCA_000337275.1	Haloarcula	Archaea	GCA_003634715.1	98.64	79.28	same_species	1
novel_species	GCA_000337275.1	Haloarcula	Archaea	GCA_000223905.1	90.92	59.93	congeneric	1
as_reported	GCA_000337295.1	Haloferax	Archaea	GCA_005406325.1	100.00	99.75	same_strain	1
no_self_strain	GCA_000337295.1	Haloferax	Archaea	GCA_000337815.1	85.54	27.80	congeneric	1
novel_species	GCA_000337295.1	Haloferax	Archaea	GCA_000337815.1	85.54	27.80	congeneric	1
as_reported	GCA_000337315.1	Haloferax	Archaea	GCA_000025685.1	99.99	95.79	same_strain	1
no_self_strain	GCA_000337315.1	Haloferax	Archaea	GCA_000336795.1	98.20	83.07	same_species	1
novel_species	GCA_000337315.1	Haloferax	Archaea	GCA_000337795.1	94.13	71.93	congeneric	1
as_reported	GCA_000337335.1	Halorubrum	Archaea	GCA_000337055.1	99.97	99.80	same_species	1
no_self_strain	GCA_000337335.1	Halorubrum	Archaea	GCA_000337055.1	99.97	99.80	same_species	1
novel_species	GCA_000337335.1	Halorubrum	Archaea	GCA_018228765.1	93.18	65.40	congeneric	1
as_reported	GCA_000337355.1	Halorubrum	Archaea	GCA_000337375.1	90.69	48.90	congeneric	1
no_self_strain	GCA_000337355.1	Halorubrum	Archaea	GCA_000337375.1	90.69	48.90	congeneric	1
novel_species	GCA_000337355.1	Halorubrum	Archaea	GCA_000337375.1	90.69	48.90	congeneric	1
as_reported	GCA_000337375.1	Halorubrum	Archaea	GCA_000337355.1	90.69	48.90	congeneric	1
no_self_strain	GCA_000337375.1	Halorubrum	Archaea	GCA_000337355.1	90.69	48.90	congeneric	1
novel_species	GCA_000337375.1	Halorubrum	Archaea	GCA_000337355.1	90.69	48.90	congeneric	1
as_reported	GCA_000337395.1	Halorubrum	Archaea	GCA_000337435.1	98.66	79.39	same_species	1
no_self_strain	GCA_000337395.1	Halorubrum	Archaea	GCA_000337435.1	98.66	79.39	same_species	1
novel_species	GCA_000337395.1	Halorubrum	Archaea	GCA_018228765.1	93.19	69.55	congeneric	1
as_reported	GCA_000337415.1	Halorubrum	Archaea	GCA_023702125.1	95.13	73.60	congeneric	1
no_self_strain	GCA_000337415.1	Halorubrum	Archaea	GCA_023702125.1	95.13	73.60	congeneric	1
novel_species	GCA_000337415.1	Halorubrum	Archaea	GCA_023702125.1	95.13	73.60	congeneric	1
as_reported	GCA_000337435.1	Halorubrum	Archaea	GCA_000337395.1	98.66	79.39	same_species	1
no_self_strain	GCA_000337435.1	Halorubrum	Archaea	GCA_000337395.1	98.66	79.39	same_species	1
novel_species	GCA_000337435.1	Halorubrum	Archaea	GCA_018228765.1	93.18	64.19	congeneric	1
as_reported	GCA_000337455.1	Halosimplex	Archaea	GCA_013415905.1	90.06	41.96	congeneric	1
no_self_strain	GCA_000337455.1	Halosimplex	Archaea	GCA_013415905.1	90.06	41.96	congeneric	1
novel_species	GCA_000337455.1	Halosimplex	Archaea	GCA_013415905.1	90.06	41.96	congeneric	1
as_reported	GCA_000337495.1	Haloterrigena	Archaea	GCA_013342145.1	94.83	72.59	congeneric	1
no_self_strain	GCA_000337495.1	Haloterrigena	Archaea	GCA_013342145.1	94.83	72.59	congeneric	1
novel_species	GCA_000337495.1	Haloterrigena	Archaea	GCA_013342145.1	94.83	72.59	congeneric	1
as_reported	GCA_000337755.1	Haloarcula	Archaea	GCA_005310945.1	98.47	79.87	same_species	1
no_self_strain	GCA_000337755.1	Haloarcula	Archaea	GCA_005310945.1	98.47	79.87	same_species	1
novel_species	GCA_000337755.1	Haloarcula	Archaea	GCA_014647095.1	90.99	55.36	congeneric	1
as_reported	GCA_000337775.1	Haloarcula	Archaea	GCA_900106715.1	99.99	99.16	same_species	1
no_self_strain	GCA_000337775.1	Haloarcula	Archaea	GCA_900106715.1	99.99	99.16	same_species	1
novel_species	GCA_000337775.1	Haloarcula	Archaea	GCA_001280425.1	90.33	65.09	congeneric	1
as_reported	GCA_000337795.1	Haloferax	Archaea	GCA_014635105.1	97.17	84.77	same_species	1
no_self_strain	GCA_000337795.1	Haloferax	Archaea	GCA_014635105.1	97.17	84.77	same_species	1
novel_species	GCA_000337795.1	Haloferax	Archaea	GCA_001368915.1	94.85	75.11	congeneric	1
as_reported	GCA_000337815.1	Haloferax	Archaea	GCA_000685635.1	85.54	27.67	congeneric	1
no_self_strain	GCA_000337815.1	Haloferax	Archaea	GCA_000685635.1	85.54	27.67	congeneric	1
novel_species	GCA_000337815.1	Haloferax	Archaea	GCA_000685635.1	85.54	27.67	congeneric	1
as_reported	GCA_000337835.1	Haloferax	Archaea	GCA_014635105.1	98.86	88.82	same_species	1
no_self_strain	GCA_000337835.1	Haloferax	Archaea	GCA_014635105.1	98.86	88.82	same_species	1
novel_species	GCA_000337835.1	Haloferax	Archaea	GCA_001368915.1	95.06	73.71	congeneric	1
as_reported	GCA_000337855.1	Halogeometricum	Archaea	GCA_000172995.2	99.99	99.46	same_strain	1
no_self_strain	GCA_000337855.1	Halogeometricum	Archaea	GCA_900112175.1	82.18	9.78	congeneric	1
novel_species	GCA_000337855.1	Halogeometricum	Archaea	GCA_900112175.1	82.18	9.78	congeneric	1
as_reported	GCA_000337895.1	Natronobacterium	Archaea	GCA_000337655.1	83.54	7.76	congeneric	1
no_self_strain	GCA_000337895.1	Natronobacterium	Archaea	GCA_000337655.1	83.54	7.76	congeneric	1
novel_species	GCA_000337895.1	Natronobacterium	Archaea	GCA_000337655.1	83.54	7.76	congeneric	1
as_reported	GCA_000337915.1	Halorubrum	Archaea	GCA_007671685.1	90.57	47.07	congeneric	1
no_self_strain	GCA_000337915.1	Halorubrum	Archaea	GCA_007671685.1	90.57	47.07	congeneric	1
novel_species	GCA_000337915.1	Halorubrum	Archaea	GCA_007671685.1	90.57	47.07	congeneric	1
as_reported	GCA_000376445.1	Haladaptatus	Archaea	GCA_000187225.2	100.00	99.35	same_strain	1
no_self_strain	GCA_000376445.1	Haladaptatus	Archaea	GCA_020614375.1	80.80	5.27	congeneric	1
novel_species	GCA_000376445.1	Haladaptatus	Archaea	GCA_020614375.1	80.80	5.27	congeneric	1
as_reported	GCA_000379085.1	Halomicrobium	Archaea	GCA_000023965.1	97.01	76.57	congeneric	1
no_self_strain	GCA_000379085.1	Halomicrobium	Archaea	GCA_000023965.1	97.01	76.57	congeneric	1
novel_species	GCA_000379085.1	Halomicrobium	Archaea	GCA_000023965.1	97.01	76.57	congeneric	1
as_reported	GCA_000400975.1	Halarchaeum	Archaea	GCA_000474235.1	99.90	89.89	same_strain	1
no_self_strain	GCA_000400975.1	Halarchaeum	Archaea	GCA_017873775.1	88.95	21.63	congeneric	1
novel_species	GCA_000400975.1	Halarchaeum	Archaea	GCA_017873775.1	88.95	21.63	congeneric	1
as_reported	GCA_000421805.1	Halorubrum	Archaea	GCA_002114285.1	99.93	99.07	same_strain	1
no_self_strain	GCA_000421805.1	Halorubrum	Archaea	GCA_002379115.1	98.88	80.45	same_species	1
novel_species	GCA_000421805.1	Halorubrum	Archaea	GCA_041379815.1	90.32	47.92	congeneric	1
as_reported	GCA_000427685.1	Haloplanus	Archaea	GCA_003342675.1	87.50	33.88	congeneric	1
no_self_strain	GCA_000427685.1	Haloplanus	Archaea	GCA_003342675.1	87.50	33.88	congeneric	1
novel_species	GCA_000427685.1	Haloplanus	Archaea	GCA_003342675.1	87.50	33.88	congeneric	1
as_reported	GCA_000455345.1	Halopiger_A	Archaea	GCA_000217715.1	81.55	5.98	inter_genus	0
no_self_strain	GCA_000455345.1	Halopiger_A	Archaea	GCA_000217715.1	81.55	5.98	inter_genus	0
novel_species	GCA_000455345.1	Halopiger_A	Archaea	GCA_000217715.1	81.55	5.98	inter_genus	0
as_reported	GCA_000455365.1	Halopiger_B	Archaea	GCA_000337155.1	81.27	5.38	inter_genus	0
no_self_strain	GCA_000455365.1	Halopiger_B	Archaea	GCA_000337155.1	81.27	5.38	inter_genus	0
novel_species	GCA_000455365.1	Halopiger_B	Archaea	GCA_000337155.1	81.27	5.38	inter_genus	0
as_reported	GCA_000470655.1	Halorhabdus	Archaea	GCA_000215915.3	99.99	94.16	same_strain	1
no_self_strain	GCA_000470655.1	Halorhabdus	Archaea	GCA_000023945.1	85.75	27.06	congeneric	1
novel_species	GCA_000470655.1	Halorhabdus	Archaea	GCA_000023945.1	85.75	27.06	congeneric	1
as_reported	GCA_000474235.1	Halarchaeum	Archaea	GCA_000400975.1	99.90	89.89	same_strain	1
no_self_strain	GCA_000474235.1	Halarchaeum	Archaea	GCA_017873775.1	87.48	28.46	congeneric	1
novel_species	GCA_000474235.1	Halarchaeum	Archaea	GCA_017873775.1	87.48	28.46	congeneric	1
as_reported	GCA_000485535.1	Halalkalicoccus	Archaea	GCA_000196895.1	100.00	98.25	same_strain	1
no_self_strain	GCA_000485535.1	Halalkalicoccus	Archaea	GCA_001593955.1	85.80	27.43	congeneric	1
novel_species	GCA_000485535.1	Halalkalicoccus	Archaea	GCA_001593955.1	85.80	27.43	congeneric	1
as_reported	GCA_000513855.1	Desulfurococcus	Archaea	GCA_000020905.1	98.91	91.22	same_species	1
no_self_strain	GCA_000513855.1	Desulfurococcus	Archaea	GCA_000020905.1	98.91	91.22	same_species	1
as_reported	GCA_000517625.1	Halostagnicola	Archaea	GCA_900116205.1	87.24	35.51	congeneric	1
no_self_strain	GCA_000517625.1	Halostagnicola	Archaea	GCA_900116205.1	87.24	35.51	congeneric	1
novel_species	GCA_000517625.1	Halostagnicola	Archaea	GCA_900116205.1	87.24	35.51	congeneric	1
as_reported	GCA_000591035.1	Aeropyrum	Archaea	GCA_001316065.1	99.94	99.66	same_strain	1
no_self_strain	GCA_000591035.1	Aeropyrum	Archaea	GCA_000011125.1	83.97	20.86	congeneric	1
novel_species	GCA_000591035.1	Aeropyrum	Archaea	GCA_000011125.1	83.97	20.86	congeneric	1
as_reported	GCA_000685635.1	Haloferax	Archaea	GCA_000337295.1	99.98	99.68	same_strain	1
no_self_strain	GCA_000685635.1	Haloferax	Archaea	GCA_000337815.1	85.54	27.67	congeneric	1
novel_species	GCA_000685635.1	Haloferax	Archaea	GCA_000337815.1	85.54	27.67	congeneric	1
as_reported	GCA_000710615.1	Haladaptatus	Archaea	GCA_900156425.1	91.82	55.69	congeneric	1
no_self_strain	GCA_000710615.1	Haladaptatus	Archaea	GCA_900156425.1	91.82	55.69	congeneric	1
novel_species	GCA_000710615.1	Haladaptatus	Archaea	GCA_900156425.1	91.82	55.69	congeneric	1
as_reported	GCA_000739555.1	Halolamina	Archaea	GCA_900115675.1	90.63	57.05	congeneric	1
no_self_strain	GCA_000739555.1	Halolamina	Archaea	GCA_900115675.1	90.63	57.05	congeneric	1
novel_species	GCA_000739555.1	Halolamina	Archaea	GCA_900115675.1	90.63	57.05	congeneric	1
as_reported	GCA_000739575.1	Haloquadratum	Archaea	GCA_037031285.1	87.66	34.60	congeneric	1
no_self_strain	GCA_000739575.1	Haloquadratum	Archaea	GCA_037031285.1	87.66	34.60	congeneric	1
novel_species	GCA_000739575.1	Haloquadratum	Archaea	GCA_037031285.1	87.66	34.60	congeneric	1
as_reported	GCA_000739595.1	Halorubrum	Archaea	GCA_004114995.1	90.26	41.83	congeneric	1
no_self_strain	GCA_000739595.1	Halorubrum	Archaea	GCA_004114995.1	90.26	41.83	congeneric	1
novel_species	GCA_000739595.1	Halorubrum	Archaea	GCA_004114995.1	90.26	41.83	congeneric	1
as_reported	GCA_000755245.1	Halococcus	Archaea	GCA_024508235.1	85.73	24.38	congeneric	1
no_self_strain	GCA_000755245.1	Halococcus	Archaea	GCA_024508235.1	85.73	24.38	congeneric	1
novel_species	GCA_000755245.1	Halococcus	Archaea	GCA_024508235.1	85.73	24.38	congeneric	1
as_reported	GCA_001006085.1	Desulfurococcus	Archaea	GCA_000186365.1	99.60	87.72	same_species	1
no_self_strain	GCA_001006085.1	Desulfurococcus	Archaea	GCA_000186365.1	99.60	87.72	same_species	1
as_reported	GCA_001280425.1	Haloarcula	Archaea	GCA_900106715.1	90.33	65.59	congeneric	1
no_self_strain	GCA_001280425.1	Haloarcula	Archaea	GCA_900106715.1	90.33	65.59	congeneric	1
novel_species	GCA_001280425.1	Haloarcula	Archaea	GCA_900106715.1	90.33	65.59	congeneric	1
as_reported	GCA_001282785.1	Halolamina	Archaea	GCA_000739555.1	86.72	33.47	congeneric	1
no_self_strain	GCA_001282785.1	Halolamina	Archaea	GCA_000739555.1	86.72	33.47	congeneric	1
novel_species	GCA_001282785.1	Halolamina	Archaea	GCA_000739555.1	86.72	33.47	congeneric	1
as_reported	GCA_001316065.1	Aeropyrum	Archaea	GCA_000591035.1	99.94	99.66	same_strain	1
no_self_strain	GCA_001316065.1	Aeropyrum	Archaea	GCA_000011125.1	83.89	20.50	congeneric	1
novel_species	GCA_001316065.1	Aeropyrum	Archaea	GCA_000011125.1	83.89	20.50	congeneric	1
as_reported	GCA_001316225.1	Acidiplasma	Archaea	GCA_001402935.1	99.75	97.37	same_species	1
no_self_strain	GCA_001316225.1	Acidiplasma	Archaea	GCA_001402935.1	99.75	97.37	same_species	1
as_reported	GCA_001368915.1	Haloferax	Archaea	GCA_014635105.1	95.08	75.12	congeneric	1
no_self_strain	GCA_001368915.1	Haloferax	Archaea	GCA_014635105.1	95.08	75.12	congeneric	1
novel_species	GCA_001368915.1	Haloferax	Archaea	GCA_014635105.1	95.08	75.12	congeneric	1
as_reported	GCA_001399695.1	Acidiplasma	Archaea	GCA_001402945.1	99.84	93.09	same_species	1
no_self_strain	GCA_001399695.1	Acidiplasma	Archaea	GCA_001402945.1	99.84	93.09	same_species	1
as_reported	GCA_001402935.1	Acidiplasma	Archaea	GCA_001316225.1	99.75	97.37	same_species	1
no_self_strain	GCA_001402935.1	Acidiplasma	Archaea	GCA_001316225.1	99.75	97.37	same_species	1
as_reported	GCA_001402945.1	Acidiplasma	Archaea	GCA_001399695.1	99.84	93.09	same_species	1
no_self_strain	GCA_001402945.1	Acidiplasma	Archaea	GCA_001399695.1	99.84	93.09	same_species	1
as_reported	GCA_001462205.1	Haloparvum	Archaea	GCA_050122995.1	94.55	74.33	congeneric	1
no_self_strain	GCA_001462205.1	Haloparvum	Archaea	GCA_050122995.1	94.55	74.33	congeneric	1
novel_species	GCA_001462205.1	Haloparvum	Archaea	GCA_050122995.1	94.55	74.33	congeneric	1
as_reported	GCA_001469865.1	Haloferax	Archaea	GCA_009674605.1	93.74	68.75	congeneric	1
no_self_strain	GCA_001469865.1	Haloferax	Archaea	GCA_009674605.1	93.74	68.75	congeneric	1
novel_species	GCA_001469865.1	Haloferax	Archaea	GCA_009674605.1	93.74	68.75	congeneric	1
as_reported	GCA_001469875.2	Haloferax	Archaea	GCA_000337795.1	94.18	71.25	congeneric	1
no_self_strain	GCA_001469875.2	Haloferax	Archaea	GCA_000337795.1	94.18	71.25	congeneric	1
novel_species	GCA_001469875.2	Haloferax	Archaea	GCA_000337795.1	94.18	71.25	congeneric	1
as_reported	GCA_001469955.1	Haloprofundus	Archaea	GCA_003439925.1	86.02	32.65	congeneric	1
no_self_strain	GCA_001469955.1	Haloprofundus	Archaea	GCA_003439925.1	86.02	32.65	congeneric	1
