genus	queries	wrong_genus_calls	rate
Desulforamulus	9	3	0.3333
Dorea	9	3	0.3333
Ectobacillus	9	3	0.3333
Leclercia	9	3	0.3333
Pontibacillus	9	3	0.3333
Rhodobacter	9	3	0.3333
Bombella	9	3	0.3333
Hyunsoonleella	9	3	0.3333
Kordiimonas	10	3	0.3000
Chelatococcus	10	3	0.3000
Tabrizicola	10	3	0.3000
Periweissella	10	3	0.3000
Paucilactobacillus	11	3	0.2727
Rossellomorea	11	3	0.2727
Thalassovita	11	3	0.2727
Anaerostipes	12	3	0.2500
Niabella	12	3	0.2500
Caldimonas	12	3	0.2500
Lacinutrix	12	3	0.2500
Acidovorax	13	3	0.2308
Phaeobacter	13	3	0.2308
Halovenus	13	3	0.2308
Collinsella	14	3	0.2143
Desulfovibrio	14	3	0.2143
Mesonia	14	3	0.2143
Azotobacter	14	3	0.2143
Roseburia	15	3	0.2000
Nonlabens	15	3	0.2000
Ornithinibacillus	16	3	0.1875
Mycoplasmoides	17	3	0.1765
Actinobacillus	19	3	0.1579
Christiangramia	22	3	0.1364
Kaistella	25	3	0.1200
Duganella	25	3	0.1200
Variovorax	40	3	0.0750
Maribacter	42	3	0.0714
Lentilactobacillus	44	3	0.0682
Luteimonas	48	3	0.0625
Stenotrophomonas	50	3	0.0600
Actinoplanes	65	3	0.0462
Rhodococcus	83	3	0.0361
Anaerotruncus	5	2	0.4000
Caminibacter	5	2	0.4000
Effusibacillus	5	2	0.4000
Desulfuromonas	5	2	0.4000
Aquipseudomonas	5	2	0.4000
Paenirhizobium	5	2	0.4000
Arcticibacter	5	2	0.4000
Wenzhouxiangella	5	2	0.4000
Paramesorhizobium	5	2	0.4000
Anaerotignum	5	2	0.4000
Enteractinococcus	5	2	0.4000
Halohasta	5	2	0.4000
Cohaesibacter	5	2	0.4000
Hyphobacterium	5	2	0.4000
Sphingosinicella	5	2	0.4000
Pontivivens	5	2	0.4000
Maribellus	5	2	0.4000
Pseudomaricurvus	5	2	0.4000
Tianweitania	5	2	0.4000
Hydrogenimonas	5	2	0.4000
Terrimonas	5	2	0.4000
Maritimibacter	6	2	0.3333
Halopiger	6	2	0.3333
Hydrogenovibrio	6	2	0.3333
Propionibacterium	6	2	0.3333
Jeotgalibaca	6	2	0.3333
Anoxybacteroides	6	2	0.3333
Arachidicoccus	6	2	0.3333
Tissierella	6	2	0.3333
Cognatilysobacter	6	2	0.3333
Vulcaniibacterium	6	2	0.3333
Reichenbachiella	6	2	0.3333
Pontixanthobacter	6	2	0.3333
Aedoeadaptatus	6	2	0.3333
Alkalimonas	6	2	0.3333
Methanococcus	7	2	0.2857
Desulfitobacterium	7	2	0.2857
Grimontia	7	2	0.2857
Sediminibacterium	7	2	0.2857
Pseudogemmobacter	7	2	0.2857
Amnibacterium	7	2	0.2857
Paenimyroides	7	2	0.2857
Pyrococcus	8	2	0.2500
Gilvimarinus	8	2	0.2500
Spongiibacter	8	2	0.2500
Tomitella	8	2	0.2500
Simplicispira	8	2	0.2500
Aquamicrobium	8	2	0.2500
Alkaliphilus	9	2	0.2222
Octadecabacter	9	2	0.2222
Frateuria	9	2	0.2222
Gelidibacter	9	2	0.2222
Furfurilactobacillus	9	2	0.2222
Ensifer	9	2	0.2222
Fodinibius	9	2	0.2222
Stakelama	9	2	0.2222
Methanocaldococcus	10	2	0.2000
Natrialba	10	2	0.2000
Malaciobacter	10	2	0.2000
Albidovulum	10	2	0.2000
Chelativorans	10	2	0.2000
Pelagibacterium	11	2	0.1818
Methylocystis	11	2	0.1818
Phycicoccus	11	2	0.1818
Parageobacillus	11	2	0.1818
Neorhizobium	11	2	0.1818
Palleronia	11	2	0.1818
Jeotgalibacillus	11	2	0.1818
Shigella	11	2	0.1818
Tritonibacter	11	2	0.1818
Flavihumibacter	11	2	0.1818
Enterocloster	12	2	0.1667
Shouchella	12	2	0.1667
Rhodopseudomonas	13	2	0.1538
Martinezella	14	2	0.1429
Aneurinibacillus	14	2	0.1429
Nitratireductor	15	2	0.1333
Aureimonas	15	2	0.1333
Caldicellulosiruptor	16	2	0.1250
Loigolactobacillus	16	2	0.1250
Novilysobacter	16	2	0.1250
Streptacidiphilus	16	2	0.1250
Actinacidiphila	16	2	0.1250
Alcaligenes	17	2	0.1176
Idiomarina	18	2	0.1111
Algibacter	18	2	0.1111
Leifsonia	18	2	0.1111
Ureibacillus	18	2	0.1111
Pseudooceanicola	19	2	0.1053
Thauera	19	2	0.1053
Tessaracoccus	19	2	0.1053
Heyndrickxia	21	2	0.0952
Pseudarthrobacter	24	2	0.0833
Alistipes	24	2	0.0833
Anaerococcus	26	2	0.0769
Erwinia	26	2	0.0769
Agrobacterium	27	2	0.0741
Ancylobacter	27	2	0.0741
Gracilibacillus	27	2	0.0741
Sporosarcina	27	2	0.0741
Secundilactobacillus	29	2	0.0690
Parabacteroides	30	2	0.0667
Treponema	30	2	0.0667
Metabacillus	32	2	0.0625
Pandoraea	34	2	0.0588
Porphyromonas	36	2	0.0556
Citrobacter	36	2	0.0556
Lactococcus	40	2	0.0500
Weissella	45	2	0.0444
Devosia	46	2	0.0435
Limosilactobacillus	51	2	0.0392
Chitinophaga	54	2	0.0370
Flagellimonas	56	2	0.0357
Halorubrum	59	2	0.0339
Nocardiopsis	63	2	0.0317
Acetobacter	72	2	0.0278
Sphingobacterium	80	2	0.0250
Microbacterium	262	2	0.0076
Gillisella	5	1	0.2000
Halomicrobium	5	1	0.2000
Oxalobacter	5	1	0.2000
Archaeoglobus	5	1	0.2000
Litchfieldella	5	1	0.2000
Marinimicrobium	5	1	0.2000
Azohydromonas	5	1	0.2000
Mogibacterium	5	1	0.2000
Alkalihalobacterium	5	1	0.2000
Muricoccus	5	1	0.2000
Geoalkalibacter	5	1	0.2000
Nostocoides	5	1	0.2000
Intestinimonas	5	1	0.2000
Limnohabitans	5	1	0.2000
Apibacter	5	1	0.2000
Mycoplana	5	1	0.2000
Pararhodobacter	5	1	0.2000
Pusillimonas	5	1	0.2000
Acidianus	5	1	0.2000
Ciceribacter	5	1	0.2000
Seonamhaeicola	5	1	0.2000
Plantibacter	5	1	0.2000
Inhella	5	1	0.2000
Hansschlegelia	5	1	0.2000
Alkalicoccobacillus	5	1	0.2000
Antrihabitans	5	1	0.2000
Thalassobacillus	5	1	0.2000
Neoroseomonas	5	1	0.2000
Kroppenstedtia	5	1	0.2000
Roseococcus	5	1	0.2000
Bowmanella	5	1	0.2000
Fusibacter	5	1	0.2000
Gymnodinialimonas	5	1	0.2000
Larsenimonas	5	1	0.2000
Diaphorobacter	6	1	0.1667
Parahoeflea	6	1	0.1667
Dialister	6	1	0.1667
Rubrivivax	6	1	0.1667
Cellulophaga	6	1	0.1667
Hoyosella	6	1	0.1667
Thermodesulfobacterium	6	1	0.1667
Magnetospirillum	6	1	0.1667
Alloscardovia	6	1	0.1667
Salinimonas	6	1	0.1667
Acidipropionibacterium	6	1	0.1667
Bhargavaea	6	1	0.1667
Agathobaculum	6	1	0.1667
Draconibacterium	6	1	0.1667
Gottfriedia	6	1	0.1667
Actinocorallia	6	1	0.1667
Parashewanella	6	1	0.1667
Paraniabella	6	1	0.1667
Robertkochia	6	1	0.1667
Olivibacter	6	1	0.1667
Dryocola	6	1	0.1667
Acetivibrio	7	1	0.1429
Ehrlichia	7	1	0.1429
Xylanimonas	7	1	0.1429
Hyphomicrobium	7	1	0.1429
Alkalihalobacillus	7	1	0.1429
Oenococcus	7	1	0.1429
Siminovitchia	7	1	0.1429
Curvibacter	7	1	0.1429
Solimonas	7	1	0.1429
Cedecea	7	1	0.1429
Marinospirillum	7	1	0.1429
Rubellimicrobium	7	1	0.1429
Aquabacterium	7	1	0.1429
Pollutimonas	7	1	0.1429
Vallitalea	7	1	0.1429
Dictyobacter	7	1	0.1429
Paenalcaligenes	7	1	0.1429
Parasphingorhabdus	7	1	0.1429
Acidaminococcus	8	1	0.1250
Metapseudomonas	8	1	0.1250
Robertmurraya	8	1	0.1250
Actinopolymorpha	8	1	0.1250
Parvularcula	8	1	0.1250
Litoreibacter	8	1	0.1250
Peteryoungia	8	1	0.1250
Alkalibacillus	8	1	0.1250
Polaromonas	9	1	0.1111
Frankia	9	1	0.1111
Sulfurospirillum	9	1	0.1111
Sanguibacter	9	1	0.1111
Dysgonomonas	9	1	0.1111
Spiribacter	9	1	0.1111
Neptunomonas	9	1	0.1111
Formosa	9	1	0.1111
Aliivibrio	9	1	0.1111
Niallia	9	1	0.1111
Niastella	9	1	0.1111
Psychrosphaera	9	1	0.1111
Sphingorhabdus	9	1	0.1111
Subtercola	9	1	0.1111
Jiella	9	1	0.1111
Aquibacillus	9	1	0.1111
Geobacter	10	1	0.1000
Pseudothermotoga	10	1	0.1000
Leeuwenhoekiella	10	1	0.1000
Methanohalophilus	10	1	0.1000
Uliginosibacterium	10	1	0.1000
Pseudovibrio	10	1	0.1000
Psychroserpens	10	1	0.1000
Paraclostridium	10	1	0.1000
Adhaeribacter	10	1	0.1000
Sphaerotilus	10	1	0.1000
Edaphobacter	10	1	0.1000
Roseinatronobacter	10	1	0.1000
Mixta	10	1	0.1000
Halorientalis	10	1	0.1000
Terrabacter	10	1	0.1000
Natronomonas	11	1	0.0909
Methylophaga	11	1	0.0909
Gulosibacter	11	1	0.0909
Mannheimia	11	1	0.0909
Kibdelosporangium	11	1	0.0909
Hyphomonas	12	1	0.0833
Acholeplasma	12	1	0.0833
Enterovibrio	12	1	0.0833
Rhodococcoides	12	1	0.0833
Flavivirga	12	1	0.0833
Neolewinella	12	1	0.0833
Mariniflexile	12	1	0.0833
Actinotignum	13	1	0.0769
Jeotgalicoccus	13	1	0.0769
Mycetocola	13	1	0.0769
Aliiroseovarius	13	1	0.0769
Lederbergia	13	1	0.0769
Parapedobacter	13	1	0.0769
Aliidiomarina	13	1	0.0769
Haloarchaeobius	13	1	0.0769
Erysipelothrix	15	1	0.0667
Paraglaciecola	15	1	0.0667
Agrococcus	15	1	0.0667
Salinimicrobium	15	1	0.0667
Knoellia	15	1	0.0667
Corallococcus	16	1	0.0625
Noviherbaspirillum	16	1	0.0625
Sporomusa	16	1	0.0625
Isoptericola	16	1	0.0625
Larkinella	16	1	0.0625
Myroides	17	1	0.0588
Adlercreutzia	17	1	0.0588
Gemmobacter	17	1	0.0588
Williamsia	17	1	0.0588
Nitrosomonas	17	1	0.0588
Caulobacter	18	1	0.0556
Sulfurimonas	18	1	0.0556
Pseudodesulfovibrio	18	1	0.0556
Janibacter	18	1	0.0556
Anoxybacillus	18	1	0.0556
Rufibacter	18	1	0.0556
Brenneria	18	1	0.0556
Gluconacetobacter	19	1	0.0526
Rathayibacter	19	1	0.0526
Phyllobacterium	19	1	0.0526
Trinickia	19	1	0.0526
Francisella	21	1	0.0476
Micrococcus	21	1	0.0476
Alicyclobacillus	21	1	0.0476
Acidithiobacillus	21	1	0.0476
Rhodanobacter	21	1	0.0476
Liquorilactobacillus	21	1	0.0476
Fictibacillus	21	1	0.0476
Salegentibacter	22	1	0.0455
Glutamicibacter	23	1	0.0435
Marinobacterium	23	1	0.0435
Dietzia	27	1	0.0370
Sphingopyxis	29	1	0.0345
Bordetella	30	1	0.0333
Spiroplasma	32	1	0.0312
Moraxella	32	1	0.0312
Janthinobacterium	32	1	0.0312
Pseudidiomarina	35	1	0.0286
Dyadobacter	36	1	0.0278
Aquimarina	41	1	0.0244
Microvirga	41	1	0.0244
Kocuria	41	1	0.0244
Cohnella	42	1	0.0238
Brachybacterium	45	1	0.0222
Thermococcus	46	1	0.0217
Serratia	48	1	0.0208
Leucobacter	49	1	0.0204
Spirosoma	52	1	0.0192
Levilactobacillus	52	1	0.0192
Brevibacterium	59	1	0.0169
Pantoea	61	1	0.0164
Companilactobacillus	66	1	0.0152
Gordonia	85	1	0.0118
Pseudoalteromonas	86	1	0.0116
Bradyrhizobium	100	1	0.0100
Methylobacterium	103	1	0.0097
Amycolatopsis	110	1	0.0091
Deinococcus	121	1	0.0083
Xanthomonas	138	1	0.0072
Acinetobacter	176	1	0.0057
Flavobacterium	399	1	0.0025
