dist	domain	query	query_genus	query_species	neighbour	neighbour_genus	neighbour_species	query_taxcheck	neighbour_taxcheck	gtdb_query_genus	gtdb_neighbour_genus	gtdb_status
0.007443	Bacteria	GCA_002858805.1	Chimaeribacter	Chimaeribacter arupi	GCA_900130115.1	Nissabacter	Nissabacter archeti	Inconclusive	Inconclusive	Chimaeribacter	Chimaeribacter	reconciled
0.007443	Bacteria	GCA_900130115.1	Nissabacter	Nissabacter archeti	GCA_002858805.1	Chimaeribacter	Chimaeribacter arupi	Inconclusive	Inconclusive	Chimaeribacter	Chimaeribacter	reconciled
0.007945	Bacteria	GCA_000717245.1	Kitasatospora	Kitasatospora papulosa	GCA_055721285.1	Streptomyces	Streptomyces pratensis	Inconclusive	Inconclusive	Streptomyces	-	absent
0.007945	Bacteria	GCA_055721285.1	Streptomyces	Streptomyces pratensis	GCA_000717245.1	Kitasatospora	Kitasatospora papulosa	Inconclusive	Inconclusive	-	Streptomyces	absent
0.00804	Bacteria	GCA_018854015.1	Igneacidithiobacillus	Igneacidithiobacillus copahuensis	GCA_056716105.1	Acidithiobacillus	Acidithiobacillus sibiricus	Inconclusive	Inconclusive	Igneacidithiobacillus	-	absent
0.00804	Bacteria	GCA_056716105.1	Acidithiobacillus	Acidithiobacillus sibiricus	GCA_018854015.1	Igneacidithiobacillus	Igneacidithiobacillus copahuensis	Inconclusive	Inconclusive	-	Igneacidithiobacillus	absent
0.008215	Bacteria	GCA_025567605.1	Oscillibacter	Oscillibacter acetigenes	GCA_965585535.1	Dysosmobacter	Dysosmobacter welbionis	Inconclusive	OK	Oscillibacter	-	absent
0.008215	Bacteria	GCA_965585535.1	Dysosmobacter	Dysosmobacter welbionis	GCA_025567605.1	Oscillibacter	Oscillibacter acetigenes	OK	Inconclusive	-	Oscillibacter	absent
0.008317	Bacteria	GCA_005121165.3	Dysosmobacter	Dysosmobacter welbionis	GCA_025567605.1	Oscillibacter	Oscillibacter acetigenes	OK	Inconclusive	Oscillibacter	Oscillibacter	reconciled
0.008749	Bacteria	GCA_002917995.1	Parasaccharibacter	Parasaccharibacter apium	GCA_018221685.1	Bombella	Bombella apis	Inconclusive	OK	Bombella	Bombella	reconciled
0.008749	Bacteria	GCA_018221685.1	Bombella	Bombella apis	GCA_002917995.1	Parasaccharibacter	Parasaccharibacter apium	OK	Inconclusive	Bombella	Bombella	reconciled
0.008806	Bacteria	GCA_014878255.1	Bombella	Bombella apis	GCA_002917995.1	Parasaccharibacter	Parasaccharibacter apium	OK	Inconclusive	Bombella	Bombella	reconciled
0.010362	Bacteria	GCA_003096855.1	Bacteroides	Bacteroides galacturonicus	GCA_900112995.1	Lachnospira	[Lactobacillus] rogosae	Inconclusive	Inconclusive	Lachnospira	Lachnospira	reconciled
0.010362	Bacteria	GCA_900112995.1	Lachnospira	[Lactobacillus] rogosae	GCA_003096855.1	Bacteroides	Bacteroides galacturonicus	Inconclusive	Inconclusive	Lachnospira	Lachnospira	reconciled
0.012297	Bacteria	GCA_004793925.1	Muricaecibacterium	Muricaecibacterium torontonense	GCA_023168405.1	Leptogranulimonas	Leptogranulimonas caecicola	Inconclusive	Inconclusive	Leptogranulimonas	Leptogranulimonas	reconciled
0.012297	Bacteria	GCA_023168405.1	Leptogranulimonas	Leptogranulimonas caecicola	GCA_004793925.1	Muricaecibacterium	Muricaecibacterium torontonense	Inconclusive	Inconclusive	Leptogranulimonas	Leptogranulimonas	reconciled
0.012572	Bacteria	GCA_052059885.1	Bacillus	Bacillus daqingensis	GCA_052061695.1	Alkalicoccus	Alkalicoccus luteus	OK	Inconclusive	Alkalicoccus	Alkalicoccus	reconciled
0.012572	Bacteria	GCA_052061695.1	Alkalicoccus	Alkalicoccus luteus	GCA_052059885.1	Bacillus	Bacillus daqingensis	Inconclusive	OK	Alkalicoccus	Alkalicoccus	reconciled
0.012584	Bacteria	GCA_042654445.1	Bacillus	Bacillus daqingensis	GCA_052061695.1	Alkalicoccus	Alkalicoccus luteus	OK	Inconclusive	Alkalicoccus	Alkalicoccus	reconciled
0.012829	Bacteria	GCA_000504145.1	Bacillus	Bacillus cihuensis	GCA_014138605.1	Peribacillus	Peribacillus huizhouensis	Inconclusive	Inconclusive	Peribacillus	Peribacillus	reconciled
0.012829	Bacteria	GCA_014138605.1	Peribacillus	Peribacillus huizhouensis	GCA_000504145.1	Bacillus	Bacillus cihuensis	Inconclusive	Inconclusive	Peribacillus	Peribacillus	reconciled
0.012843	Bacteria	GCA_014642895.1	Lentibacillus	Lentibacillus populi	GCA_900155625.1	Virgibacillus	Virgibacillus dakarensis	Inconclusive	Inconclusive	Lentibacillus_C	Lentibacillus_C	reconciled
0.012843	Bacteria	GCA_900155625.1	Virgibacillus	Virgibacillus dakarensis	GCA_014642895.1	Lentibacillus	Lentibacillus populi	Inconclusive	Inconclusive	Lentibacillus_C	Lentibacillus_C	reconciled
0.012996	Bacteria	GCA_014287965.1	Flintibacter	Flintibacter hominis	GCA_025567565.1	Muriventricola	Muriventricola aceti	Inconclusive	Inconclusive	Lawsonibacter	Lawsonibacter	reconciled
0.012996	Bacteria	GCA_025567565.1	Muriventricola	Muriventricola aceti	GCA_014287965.1	Flintibacter	Flintibacter hominis	Inconclusive	Inconclusive	Lawsonibacter	Lawsonibacter	reconciled
0.013073	Bacteria	GCA_004340125.1	Harryflintia	Harryflintia acetispora	GCA_900169495.1	Provencibacterium	Provencibacterium massiliense	Inconclusive	Inconclusive	Harryflintia	Harryflintia	reconciled
0.013073	Bacteria	GCA_900169495.1	Provencibacterium	Provencibacterium massiliense	GCA_004340125.1	Harryflintia	Harryflintia acetispora	Inconclusive	Inconclusive	Harryflintia	Harryflintia	reconciled
0.01362	Bacteria	GCA_002056295.1	Halopseudomonas	Halopseudomonas phragmitis	GCA_003586265.1	Pseudomonas	Pseudomonas jilinensis	OK	Inconclusive	Halopseudomonas	Halopseudomonas	reconciled
0.01362	Bacteria	GCA_003586265.1	Pseudomonas	Pseudomonas jilinensis	GCA_002056295.1	Halopseudomonas	Halopseudomonas phragmitis	Inconclusive	OK	Halopseudomonas	Halopseudomonas	reconciled
0.013626	Bacteria	GCA_042680665.1	Halopseudomonas	Halopseudomonas phragmitis	GCA_003586265.1	Pseudomonas	Pseudomonas jilinensis	OK	Inconclusive	Halopseudomonas	Halopseudomonas	reconciled
0.013863	Bacteria	GCA_000220215.1	Prevotella	Prevotella dentalis	GCA_000518545.1	Hallella	Hallella seregens	OK	OK	Prevotella	Prevotella	reconciled
0.013863	Bacteria	GCA_000518545.1	Hallella	Hallella seregens	GCA_000220215.1	Prevotella	Prevotella dentalis	OK	OK	Prevotella	Prevotella	reconciled
0.013922	Bacteria	GCA_000242335.3	Prevotella	Prevotella dentalis	GCA_000518545.1	Hallella	Hallella seregens	OK	OK	Prevotella	Prevotella	reconciled
0.014056	Bacteria	GCA_042431435.1	Hallella	Hallella seregens	GCA_000220215.1	Prevotella	Prevotella dentalis	OK	OK	Prevotella	Prevotella	reconciled
0.014189	Bacteria	GCA_014297275.1	Clostridium	Clostridium facile	GCA_900095865.1	Massilioclostridium	Massilioclostridium coli	Inconclusive	Inconclusive	Massilioclostridium	Massilioclostridium	reconciled
0.014189	Bacteria	GCA_900095865.1	Massilioclostridium	Massilioclostridium coli	GCA_014297275.1	Clostridium	Clostridium facile	Inconclusive	Inconclusive	Massilioclostridium	Massilioclostridium	reconciled
0.014213	Bacteria	GCA_000832075.1	Sanguibacteroides	Sanguibacteroides justesenii	GCA_001487125.1	Gabonibacter	Gabonibacter massiliensis	Inconclusive	Inconclusive	Gabonibacter	Gabonibacter	reconciled
0.014213	Bacteria	GCA_001487125.1	Gabonibacter	Gabonibacter massiliensis	GCA_000832075.1	Sanguibacteroides	Sanguibacteroides justesenii	Inconclusive	Inconclusive	Gabonibacter	Gabonibacter	reconciled
0.014225	Bacteria	GCA_001956695.1	Poseidonibacter	Poseidonibacter parvus	GCA_003711085.1	Arcobacter	Arcobacter peruensis	Inconclusive	Inconclusive	Poseidonibacter	Poseidonibacter	reconciled
0.014225	Bacteria	GCA_003711085.1	Arcobacter	Arcobacter peruensis	GCA_001956695.1	Poseidonibacter	Poseidonibacter parvus	Inconclusive	Inconclusive	Poseidonibacter	Poseidonibacter	reconciled
0.014811	Bacteria	GCA_040096265.1	Ruthenibacterium	Ruthenibacterium intestinale	GCA_045865535.1	Owariibacterium	Owariibacterium komagatae	Inconclusive	Inconclusive	Ruthenibacterium	Ruthenibacterium	reconciled
0.014811	Bacteria	GCA_045865535.1	Owariibacterium	Owariibacterium komagatae	GCA_040096265.1	Ruthenibacterium	Ruthenibacterium intestinale	Inconclusive	Inconclusive	Ruthenibacterium	Ruthenibacterium	reconciled
0.015908	Bacteria	GCA_036663915.1	Lysobacter	Lysobacter zhanggongensis	GCA_907164845.1	Novilysobacter	Novilysobacter luteus	OK	Inconclusive	Novilysobacter	Novilysobacter	reconciled
0.015908	Bacteria	GCA_046638635.1	Lysobacter	Lysobacter zhanggongensis	GCA_907164845.1	Novilysobacter	Novilysobacter luteus	OK	Inconclusive	Novilysobacter	Novilysobacter	reconciled
0.015908	Bacteria	GCA_907164845.1	Novilysobacter	Novilysobacter luteus	GCA_036663915.1	Lysobacter	Lysobacter zhanggongensis	Inconclusive	OK	Novilysobacter	Novilysobacter	reconciled
0.016146	Bacteria	GCA_001282685.1	Niameybacter	Niameybacter massiliensis	GCA_027857615.1	Holtiella	Holtiella tumoricola	Inconclusive	Inconclusive	Holtiella	Holtiella	reconciled
0.016146	Bacteria	GCA_027857615.1	Holtiella	Holtiella tumoricola	GCA_001282685.1	Niameybacter	Niameybacter massiliensis	Inconclusive	Inconclusive	Holtiella	Holtiella	reconciled
0.01618	Bacteria	GCA_039645955.1	Thiomicrolovo	Thiomicrolovo immobilis	GCA_039645995.1	Sulfurimonas	Sulfurimonas diazotrophicus	Inconclusive	Inconclusive	Thiomicrolovo	Thiomicrolovo	reconciled
0.01618	Bacteria	GCA_039645995.1	Sulfurimonas	Sulfurimonas diazotrophicus	GCA_039645955.1	Thiomicrolovo	Thiomicrolovo immobilis	Inconclusive	Inconclusive	Thiomicrolovo	Thiomicrolovo	reconciled
0.016531	Bacteria	GCA_000263895.1	Escherichia	Escherichia coli	GCA_002950395.1	Shigella	Shigella sonnei	OK	OK	Escherichia	ECMA0423	kept apart
0.016655	Bacteria	GCA_000010385.1	Escherichia	Escherichia coli	GCA_002950395.1	Shigella	Shigella sonnei	OK	OK	ECMA0423	ECMA0423	reconciled
0.016711	Bacteria	GCA_000463345.3	Prodigiosinella	Prodigiosinella confusarubida	GCA_032395385.1	Brenneria	Brenneria uluponensis	OK	Inconclusive	Prodigiosinella	Prodigiosinella	reconciled
0.016711	Bacteria	GCA_032395385.1	Brenneria	Brenneria uluponensis	GCA_000463345.3	Prodigiosinella	Prodigiosinella confusarubida	Inconclusive	OK	Prodigiosinella	Prodigiosinella	reconciled
0.016713	Bacteria	GCA_002847015.1	Prodigiosinella	Prodigiosinella confusarubida	GCA_032395385.1	Brenneria	Brenneria uluponensis	OK	Inconclusive	Prodigiosinella	Prodigiosinella	reconciled
0.016781	Bacteria	GCA_002086455.1	Mycolicibacter	Mycolicibacter algericus	GCA_010726505.1	Mycobacterium	Mycobacterium novum	OK	Inconclusive	Mycobacterium	Mycobacterium	reconciled
0.016813	Bacteria	GCA_007559435.1	Ancylobacter	Ancylobacter moscoviensis	GCA_902703545.1	Starkeya	Starkeya nomas	Inconclusive	Inconclusive	Ancylobacter	Ancylobacter	reconciled
0.016813	Bacteria	GCA_902703545.1	Starkeya	Starkeya nomas	GCA_007559435.1	Ancylobacter	Ancylobacter moscoviensis	Inconclusive	Inconclusive	Ancylobacter	Ancylobacter	reconciled
0.017441	Bacteria	GCA_025821685.1	Mycolicibacter	Mycolicibacter algericus	GCA_010726505.1	Mycobacterium	Mycobacterium novum	OK	Inconclusive	Mycobacterium	Mycobacterium	reconciled
0.017503	Bacteria	GCA_014337155.1	Wujia	Wujia chipingensis	GCA_040094675.1	Coprococcus	Coprococcus hominis (ex Arizal et al. 2022)	Inconclusive	OK	Coprococcus_C	Coprococcus_C	reconciled
0.017503	Bacteria	GCA_040094675.1	Coprococcus	Coprococcus hominis (ex Arizal et al. 2022)	GCA_014337155.1	Wujia	Wujia chipingensis	OK	Inconclusive	Coprococcus_C	Coprococcus_C	reconciled
0.017522	Bacteria	GCA_020687505.1	Coprococcus	Coprococcus hominis (ex Arizal et al. 2022)	GCA_014337155.1	Wujia	Wujia chipingensis	OK	Inconclusive	Coprococcus_C	Coprococcus_C	reconciled
0.017853	Bacteria	GCA_000459055.1	Escherichia	Escherichia coli	GCA_002950395.1	Shigella	Shigella sonnei	OK	OK	ECMA0423	ECMA0423	reconciled
0.020076	Bacteria	GCA_000210475.1	Escherichia	Escherichia coli	GCA_002950395.1	Shigella	Shigella sonnei	OK	OK	Escherichia	ECMA0423	kept apart
0.020992	Bacteria	GCA_009696165.1	Stecheria	Stecheria intestinalis	GCA_900290205.1	Anaerolactibacter	Anaerolactibacter massiliensis	Inconclusive	Inconclusive	Bulleidia	Bulleidia	reconciled
0.020992	Bacteria	GCA_900290205.1	Anaerolactibacter	Anaerolactibacter massiliensis	GCA_009696165.1	Stecheria	Stecheria intestinalis	Inconclusive	Inconclusive	Bulleidia	Bulleidia	reconciled
0.022052	Bacteria	GCA_041222825.1	Thalassolituus	Candidatus Thalassolituus haligoni	GCA_044962685.1	Oceanobacter	Oceanobacter antarcticus	Inconclusive	Inconclusive	Oceanobacter	Oceanobacter	reconciled
0.022052	Bacteria	GCA_044962685.1	Oceanobacter	Oceanobacter antarcticus	GCA_041222825.1	Thalassolituus	Candidatus Thalassolituus haligoni	Inconclusive	Inconclusive	Oceanobacter	Oceanobacter	reconciled
0.022201	Bacteria	GCA_014385265.1	Enterocloster	Enterocloster hominis (ex Liu et al. 2021)	GCA_025567195.1	Alitiscatomonas	Alitiscatomonas aceti	Inconclusive	Inconclusive	Alitiscatomonas	Alitiscatomonas	reconciled
0.022201	Bacteria	GCA_025567195.1	Alitiscatomonas	Alitiscatomonas aceti	GCA_014385265.1	Enterocloster	Enterocloster hominis (ex Liu et al. 2021)	Inconclusive	Inconclusive	Alitiscatomonas	Alitiscatomonas	reconciled
0.022499	Bacteria	GCA_002930145.1	Mesoplasma	Mesoplasma corruscae	GCA_002930155.1	Entomoplasma	Entomoplasma ellychniae	Inconclusive	Inconclusive	Entomoplasma	Entomoplasma	reconciled
0.022499	Bacteria	GCA_002930155.1	Entomoplasma	Entomoplasma ellychniae	GCA_002930145.1	Mesoplasma	Mesoplasma corruscae	Inconclusive	Inconclusive	Entomoplasma	Entomoplasma	reconciled
0.02269	Bacteria	GCA_014982975.1	Claveliimonas	Claveliimonas monacensis	GCA_900120345.1	Lachnoclostridium	Lachnoclostridium phocaeense	Inconclusive	Inconclusive	Claveliimonas	Claveliimonas	reconciled
0.02269	Bacteria	GCA_900120345.1	Lachnoclostridium	Lachnoclostridium phocaeense	GCA_014982975.1	Claveliimonas	Claveliimonas monacensis	Inconclusive	Inconclusive	Claveliimonas	Claveliimonas	reconciled
0.022824	Bacteria	GCA_056431065.1	Actinomadura	Actinomadura yumaensis	GCA_017090145.1	Acinetobacter	Acinetobacter baumannii	Inconclusive	OK	-	Acinetobacter	absent
0.022998	Bacteria	GCA_001275135.1	Xylanibacter	Xylanibacter rarus	GCA_900625065.1	Prevotella	Prevotella marseillensis	Inconclusive	Inconclusive	Prevotella	Prevotella	reconciled
0.022998	Bacteria	GCA_900625065.1	Prevotella	Prevotella marseillensis	GCA_001275135.1	Xylanibacter	Xylanibacter rarus	Inconclusive	Inconclusive	Prevotella	Prevotella	reconciled
0.023269	Bacteria	GCA_001865905.1	Escherichia	Escherichia coli	GCA_002949675.1	Shigella	Shigella dysenteriae	OK	OK	Escherichia	Escherichia	reconciled
0.023269	Bacteria	GCA_002949675.1	Shigella	Shigella dysenteriae	GCA_001865905.1	Escherichia	Escherichia coli	OK	OK	Escherichia	Escherichia	reconciled
0.023349	Bacteria	GCA_900457215.1	Shigella	Shigella dysenteriae	GCA_001865905.1	Escherichia	Escherichia coli	OK	OK	Escherichia	Escherichia	reconciled
0.023436	Bacteria	GCA_002762335.1	Lactobacillus	Lactobacillus terrae	GCA_004117915.1	Companilactobacillus	Companilactobacillus metriopterae	Inconclusive	Inconclusive	Companilactobacillus	Companilactobacillus	reconciled
0.023436	Bacteria	GCA_004117915.1	Companilactobacillus	Companilactobacillus metriopterae	GCA_002762335.1	Lactobacillus	Lactobacillus terrae	Inconclusive	Inconclusive	Companilactobacillus	Companilactobacillus	reconciled
0.023546	Bacteria	GCA_000723465.1	Ruminococcus	Ruminococcus bicirculans (ex Wegman et al. 2014)	GCA_025567495.1	Hominimerdicola	Hominimerdicola aceti	Inconclusive	Inconclusive	Hominimerdicola	Hominimerdicola	reconciled
0.023546	Bacteria	GCA_025567495.1	Hominimerdicola	Hominimerdicola aceti	GCA_000723465.1	Ruminococcus	Ruminococcus bicirculans (ex Wegman et al. 2014)	Inconclusive	Inconclusive	Hominimerdicola	Hominimerdicola	reconciled
0.023651	Bacteria	GCA_001281725.1	Escherichia	Escherichia coli	GCA_002949675.1	Shigella	Shigella dysenteriae	OK	OK	Escherichia	Escherichia	reconciled
0.024319	Bacteria	GCA_900065875.1	Prevotella	Prevotella phocaeensis	GCA_900129435.1	Hoylesella	Hoylesella oralis	OK	OK	Prevotella	Prevotella	reconciled
0.024319	Bacteria	GCA_900129435.1	Hoylesella	Hoylesella oralis	GCA_900065875.1	Prevotella	Prevotella phocaeensis	OK	OK	Prevotella	Prevotella	reconciled
0.024345	Bacteria	GCA_000185145.2	Hoylesella	Hoylesella oralis	GCA_900065875.1	Prevotella	Prevotella phocaeensis	OK	OK	Prevotella	Prevotella	reconciled
0.024392	Bacteria	GCA_000374545.1	Anaeromusa	Anaeromusa acidaminophila	GCA_000430605.1	Anaeroarcus	Anaeroarcus burkinensis	Inconclusive	Inconclusive	Anaeromusa	Anaeromusa	reconciled
0.024392	Bacteria	GCA_000430605.1	Anaeroarcus	Anaeroarcus burkinensis	GCA_000374545.1	Anaeromusa	Anaeromusa acidaminophila	Inconclusive	Inconclusive	Anaeromusa	Anaeromusa	reconciled
0.026261	Bacteria	GCA_000262245.1	Pasteurella	Pasteurella bettyae	GCA_000940515.1	Mannheimia	Mannheimia massilioguelmaensis	OK	Inconclusive	Basfia	Basfia	reconciled
0.026261	Bacteria	GCA_000940515.1	Mannheimia	Mannheimia massilioguelmaensis	GCA_000262245.1	Pasteurella	Pasteurella bettyae	Inconclusive	OK	Basfia	Basfia	reconciled
0.026314	Bacteria	GCA_900454515.1	Pasteurella	Pasteurella bettyae	GCA_000940515.1	Mannheimia	Mannheimia massilioguelmaensis	OK	Inconclusive	Basfia	Basfia	reconciled
0.026569	Bacteria	GCA_033971865.1	Grylomicrobium	Grylomicrobium aquisgranense	GCA_900343155.1	Lactimicrobium	Lactimicrobium massiliense	Inconclusive	Inconclusive	Bulleidia	Bulleidia	reconciled
0.026569	Bacteria	GCA_900343155.1	Lactimicrobium	Lactimicrobium massiliense	GCA_033971865.1	Grylomicrobium	Grylomicrobium aquisgranense	Inconclusive	Inconclusive	Bulleidia	Bulleidia	reconciled
0.026665	Bacteria	GCA_003057865.1	Allomuricauda	Muricauda brasiliensis	GCA_013376415.1	Flagellimonas	Flagellimonas chongwuensis	Inconclusive	Inconclusive	Flagellimonas	Flagellimonas	reconciled
0.026665	Bacteria	GCA_013376415.1	Flagellimonas	Flagellimonas chongwuensis	GCA_003057865.1	Allomuricauda	Muricauda brasiliensis	Inconclusive	Inconclusive	Flagellimonas	Flagellimonas	reconciled
0.027649	Bacteria	GCA_019239235.1	Caecibacteroides	Caecibacteroides pullorum	GCA_900130135.1	Bacteroides	Bacteroides togonis	OK	Inconclusive	Bacteroides	Bacteroides	reconciled
0.027649	Bacteria	GCA_900130135.1	Bacteroides	Bacteroides togonis	GCA_019239235.1	Caecibacteroides	Caecibacteroides pullorum	Inconclusive	OK	Bacteroides	Bacteroides	reconciled
0.02765	Bacteria	GCA_016902375.1	Caecibacteroides	Caecibacteroides pullorum	GCA_900130135.1	Bacteroides	Bacteroides togonis	OK	Inconclusive	Bacteroides	Bacteroides	reconciled
0.028311	Bacteria	GCA_038396615.1	Thermatribacter	Thermatribacter velox	GCA_045864955.1	Atrimonas	Atrimonas thermophila	Inconclusive	Inconclusive	Thermatribacter	Thermatribacter	reconciled
0.028311	Bacteria	GCA_045864955.1	Atrimonas	Atrimonas thermophila	GCA_038396615.1	Thermatribacter	Thermatribacter velox	Inconclusive	Inconclusive	Thermatribacter	Thermatribacter	reconciled
0.028604	Bacteria	GCA_022749515.1	Morococcus	Morococcus cerebrosus	GCA_055391185.1	Neisseria	Neisseria mucosa	OK	OK	Neisseria	-	absent
0.028604	Bacteria	GCA_055391185.1	Neisseria	Neisseria mucosa	GCA_022749515.1	Morococcus	Morococcus cerebrosus	OK	OK	-	Neisseria	absent
0.02866	Bacteria	GCA_000350825.1	Escherichia	Escherichia coli	GCA_002950395.1	Shigella	Shigella sonnei	OK	OK	Escherichia	ECMA0423	kept apart
0.028838	Bacteria	GCA_000813705.1	Morococcus	Morococcus cerebrosus	GCA_055391185.1	Neisseria	Neisseria mucosa	OK	OK	Neisseria	-	absent
0.029128	Bacteria	GCA_900102635.1	Ectopseudomonas	Ectopseudomonas chengduensis	GCA_900106015.1	Pseudomonas	Pseudomonas sihuiensis	OK	Inconclusive	Aquipseudomonas	Aquipseudomonas	reconciled
0.029128	Bacteria	GCA_900106015.1	Pseudomonas	Pseudomonas sihuiensis	GCA_900102635.1	Ectopseudomonas	Ectopseudomonas chengduensis	Inconclusive	OK	Aquipseudomonas	Aquipseudomonas	reconciled
0.029151	Bacteria	GCA_017905455.1	Ectopseudomonas	Ectopseudomonas chengduensis	GCA_900106015.1	Pseudomonas	Pseudomonas sihuiensis	OK	Inconclusive	Aquipseudomonas	Aquipseudomonas	reconciled
0.029161	Bacteria	GCA_012986985.1	Ectopseudomonas	Ectopseudomonas chengduensis	GCA_900106015.1	Pseudomonas	Pseudomonas sihuiensis	OK	Inconclusive	Aquipseudomonas	Aquipseudomonas	reconciled
0.03162	Bacteria	GCA_000735695.2	Kaistella	Kaistella haifensis	GCA_014623485.1	Chryseobacterium	Chryseobacterium manosquense	Inconclusive	Inconclusive	Kaistella	Kaistella	reconciled
0.03162	Bacteria	GCA_014623485.1	Chryseobacterium	Chryseobacterium manosquense	GCA_000735695.2	Kaistella	Kaistella haifensis	Inconclusive	Inconclusive	Kaistella	Kaistella	reconciled
0.032726	Bacteria	GCA_027529605.1	Mycobacterium	Mycobacterium hippophais	GCA_030519285.1	Mycolicibacterium	Mycolicibacterium arseniciresistens	OK	OK	Mycobacterium	Mycobacterium	reconciled
0.033703	Bacteria	GCA_039542225.1	Yinghuangia	Yinghuangia aomiensis	GCA_049534875.1	Uniformispora	Uniformispora flossi	Inconclusive	Inconclusive	Yinghuangia	Yinghuangia	reconciled
0.033703	Bacteria	GCA_049534875.1	Uniformispora	Uniformispora flossi	GCA_039542225.1	Yinghuangia	Yinghuangia aomiensis	Inconclusive	Inconclusive	Yinghuangia	Yinghuangia	reconciled
