genus	queries	wrong_genus_calls	rate
Schaalia	19	3	0.1579
Priestia	21	3	0.1429
Kaistella	25	3	0.1200
Sinorhizobium	29	3	0.1034
Peptoniphilus	33	3	0.0909
Comamonas	40	3	0.0750
Dyella	52	3	0.0577
Actinoplanes	62	3	0.0484
Actinomadura	90	3	0.0333
Nonomuraea	96	3	0.0312
Amycolatopsis	110	3	0.0273
Lactobacillus	117	3	0.0256
Arcticibacter	5	2	0.4000
Aquipseudomonas	5	2	0.4000
Intrasporangium	5	2	0.4000
Muricoccus	5	2	0.4000
Neoroseomonas	5	2	0.4000
Paramesorhizobium	5	2	0.4000
Sphingosinicella	5	2	0.4000
Halopiger	6	2	0.3333
Alkalicoccus	6	2	0.3333
Propioniciclava	6	2	0.3333
Salinimonas	6	2	0.3333
Williamsoniiplasma	6	2	0.3333
Vulcaniibacterium	6	2	0.3333
Allosphingosinicella	7	2	0.2857
Amnibacterium	7	2	0.2857
Pseudogemmobacter	7	2	0.2857
Mangrovimonas	7	2	0.2857
Novacetimonas	7	2	0.2857
Pyrococcus	8	2	0.2500
Aquamicrobium	8	2	0.2500
Robertmurraya	8	2	0.2500
Bombella	9	2	0.2222
Desulforamulus	9	2	0.2222
Ensifer	9	2	0.2222
Frateuria	9	2	0.2222
Hyunsoonleella	9	2	0.2222
Niastella	9	2	0.2222
Chelativorans	10	2	0.2000
Hallella	10	2	0.2000
Malaciobacter	10	2	0.2000
Mixta	10	2	0.2000
Paraclostridium	10	2	0.2000
Stieleria	10	2	0.2000
Uliginosibacterium	10	2	0.2000
Rossellomorea	11	2	0.1818
Paracidovorax	11	2	0.1818
Parageobacillus	11	2	0.1818
Phycicoccus	11	2	0.1818
Shigella	11	2	0.1818
Enterocloster	12	2	0.1667
Azotobacter	12	2	0.1667
Lacinutrix	12	2	0.1667
Mesobacillus	12	2	0.1667
Acidovorax	13	2	0.1538
Rhodopseudomonas	13	2	0.1538
Martinezella	14	2	0.1429
Rhodoferax	15	2	0.1333
Roseburia	15	2	0.1333
Actinacidiphila	16	2	0.1250
Ornithinibacillus	16	2	0.1250
Cutibacterium	17	2	0.1176
Leifsonia	18	2	0.1111
Ureibacillus	18	2	0.1111
Thauera	19	2	0.1053
Ramlibacter	22	2	0.0909
Marinobacterium	23	2	0.0870
Pseudarthrobacter	24	2	0.0833
Duganella	25	2	0.0800
Sporosarcina	27	2	0.0741
Phocaeicola	31	2	0.0645
Oceanobacillus	37	2	0.0541
Achromobacter	40	2	0.0500
Maribacter	42	2	0.0476
Blautia	47	2	0.0426
Virgibacillus	47	2	0.0426
Luteimonas	48	2	0.0417
Roseovarius	48	2	0.0417
Pedobacter	108	2	0.0185
Xanthomonas	135	2	0.0148
Archaeoglobus	5	1	0.2000
Afifella	5	1	0.2000
Gillisella	5	1	0.2000
Azohydromonas	5	1	0.2000
Caenimonas	5	1	0.2000
Ciceribacter	5	1	0.2000
Desulfurobacterium	5	1	0.2000
Flavisolibacter	5	1	0.2000
Faecalicatena	5	1	0.2000
Galbibacter	5	1	0.2000
Hansschlegelia	5	1	0.2000
Jatrophihabitans	5	1	0.2000
Kroppenstedtia	5	1	0.2000
Loktanella	5	1	0.2000
Maribellus	5	1	0.2000
Mycoplana	5	1	0.2000
Nostocoides	5	1	0.2000
Paraniabella	5	1	0.2000
Pseudomaricurvus	5	1	0.2000
Pusillimonas	5	1	0.2000
Roseococcus	5	1	0.2000
Silvibacterium	5	1	0.2000
Stappia	5	1	0.2000
Thermoactinomyces	5	1	0.2000
Thiopseudomonas	5	1	0.2000
Tropicimonas	5	1	0.2000
Diaphorobacter	6	1	0.1667
Acidipropionibacterium	6	1	0.1667
Aedoeadaptatus	6	1	0.1667
Agathobaculum	6	1	0.1667
Bhargavaea	6	1	0.1667
Cedecea	6	1	0.1667
Dryocola	6	1	0.1667
Magnetospirillum	6	1	0.1667
Maritimibacter	6	1	0.1667
Phaeovulum	6	1	0.1667
Rubrivivax	6	1	0.1667
Xylanimonas	6	1	0.1667
Methanococcus	7	1	0.1429
Acetivibrio	7	1	0.1429
Alkalihalobacillus	7	1	0.1429
Aquabacterium	7	1	0.1429
Thalassolituus	7	1	0.1429
Curvibacter	7	1	0.1429
Ehrlichia	7	1	0.1429
Fibrella	7	1	0.1429
Paenimyroides	7	1	0.1429
Parasphingorhabdus	7	1	0.1429
Siminovitchia	7	1	0.1429
Evansella	8	1	0.1250
Metapseudomonas	8	1	0.1250
Natrialba	9	1	0.1111
Alkaliphilus	9	1	0.1111
Frankia	9	1	0.1111
Dorea	9	1	0.1111
Formosa	9	1	0.1111
Niallia	9	1	0.1111
Sanguibacter	9	1	0.1111
Methanohalophilus	10	1	0.1000
Thiothrix	10	1	0.1000
Chelatococcus	10	1	0.1000
Geobacter	10	1	0.1000
Granulicella	10	1	0.1000
Paenilisteria	10	1	0.1000
Pseudovibrio	10	1	0.1000
Sphaerotilus	10	1	0.1000
Mannheimia	11	1	0.0909
Acholeplasma	12	1	0.0833
Enterovibrio	12	1	0.0833
Mariniflexile	12	1	0.0833
Luteolibacter	12	1	0.0833
Thiomicrorhabdus	12	1	0.0833
Yoonia	12	1	0.0833
Haloarchaeobius	13	1	0.0769
Halovenus	13	1	0.0769
Pseudoclavibacter	13	1	0.0769
Kordiimonas	13	1	0.0769
Lederbergia	13	1	0.0769
Mycetocola	13	1	0.0769
Croceicoccus	14	1	0.0714
Mesonia	14	1	0.0714
Microcoleus	14	1	0.0714
Oerskovia	14	1	0.0714
Aureimonas	15	1	0.0667
Knoellia	15	1	0.0667
Nitratireductor	15	1	0.0667
Corallococcus	16	1	0.0625
Novilysobacter	16	1	0.0625
Noviherbaspirillum	16	1	0.0625
Adlercreutzia	17	1	0.0588
Salipiger	17	1	0.0588
Algibacter	18	1	0.0556
Anoxybacillus	18	1	0.0556
Brenneria	18	1	0.0556
Sulfurimonas	18	1	0.0556
Idiomarina	18	1	0.0556
Pseudodesulfovibrio	18	1	0.0556
Rufibacter	18	1	0.0556
Phyllobacterium	19	1	0.0526
Gluconacetobacter	19	1	0.0526
Hydrogenophaga	19	1	0.0526
Mesoplasma	19	1	0.0526
Pseudooceanicola	19	1	0.0526
Rathayibacter	19	1	0.0526
Acidithiobacillus	21	1	0.0476
Francisella	21	1	0.0476
Micrococcus	21	1	0.0476
Rhodanobacter	21	1	0.0476
Salegentibacter	22	1	0.0455
Prauserella	23	1	0.0435
Ancylobacter	26	1	0.0385
Paractinoplanes	27	1	0.0370
Ornithinimicrobium	30	1	0.0333
Treponema	30	1	0.0333
Metabacillus	32	1	0.0312
Moraxella	32	1	0.0312
Thalassotalea	32	1	0.0312
Citrobacter	34	1	0.0294
Neobacillus	40	1	0.0250
Variovorax	40	1	0.0250
Kocuria	41	1	0.0244
Cryobacterium	43	1	0.0233
Thermococcus	46	1	0.0217
Serratia	48	1	0.0208
Pontibacter	53	1	0.0189
Pantoea	58	1	0.0172
Nocardiopsis	61	1	0.0164
Companilactobacillus	66	1	0.0152
Rhodococcus	82	1	0.0122
Methylobacterium	98	1	0.0102
Legionella	144	1	0.0069
Micromonospora	164	1	0.0061
Nocardioides	211	1	0.0047
Vibrio	309	1	0.0032
Flavobacterium	399	1	0.0025
