genus	queries	wrong_genus_calls	rate
Faucicola	10	5	0.5000
Palleronia	11	5	0.4545
Pasteurella	13	5	0.3846
Microlunatus	19	5	0.2632
Billgrantia	21	5	0.2381
Halalkalibacter	24	5	0.2083
Cytobacillus	24	5	0.2083
Sulfitobacter	41	5	0.1220
Vagococcus	46	5	0.1087
Dyella	52	5	0.0962
Nonomuraea	100	5	0.0500
Pedobacter	108	5	0.0463
Lactobacillus	115	5	0.0435
Enterococcus	211	5	0.0237
Sagittula	5	4	0.8000
Riemerella	5	4	0.8000
Agrilactobacillus	5	4	0.8000
Desulfobulbus	6	4	0.6667
Paludibacterium	6	4	0.6667
Sutcliffiella	6	4	0.6667
Caldalkalibacillus	7	4	0.5714
Pararhizobium	7	4	0.5714
Ochrobactrum	7	4	0.5714
Streptantibioticus	8	4	0.5000
Romboutsia	8	4	0.5000
Bizionia	9	4	0.4444
Facklamia	9	4	0.4444
Peptostreptococcus	10	4	0.4000
Granulicella	10	4	0.4000
Olsenella	11	4	0.3636
Colwellia	11	4	0.3636
Paenalicyclobacillus	12	4	0.3333
Croceicoccus	14	4	0.2857
Macrococcus	14	4	0.2857
Ornithinibacillus	16	4	0.2500
Salipiger	17	4	0.2353
Desulfovibrio	17	4	0.2353
Algibacter	18	4	0.2222
Actinobacillus	19	4	0.2105
Haemophilus	24	4	0.1667
Kaistella	25	4	0.1600
Secundilactobacillus	29	4	0.1379
Qipengyuania	43	4	0.0930
Ligilactobacillus	44	4	0.0909
Flagellimonas	56	4	0.0714
Listeria	58	4	0.0690
Actinomyces	61	4	0.0656
Cellulomonas	82	4	0.0488
Novosphingobium	85	4	0.0471
Actinomadura	91	4	0.0440
Intrasporangium	5	3	0.6000
Spirochaeta	5	3	0.6000
Steroidobacter	5	3	0.6000
Parahoeflea	6	3	0.5000
Hoyosella	6	3	0.5000
Propionibacterium	6	3	0.5000
Salipaludibacillus	6	3	0.5000
Butyricicoccus	6	3	0.5000
Phaeovulum	6	3	0.5000
Cognatilysobacter	6	3	0.5000
Parerythrobacter	6	3	0.5000
Salinirubellus	6	3	0.5000
Hathewaya	6	3	0.5000
Robertmurraya	8	3	0.3750
Altererythrobacter	8	3	0.3750
Anaerocolumna	8	3	0.3750
Alcanivorax	9	3	0.3333
Desulforamulus	9	3	0.3333
Dorea	9	3	0.3333
Leclercia	9	3	0.3333
Rhodobacter	9	3	0.3333
Hyunsoonleella	9	3	0.3333
Coprococcus	10	3	0.3000
Paenilisteria	10	3	0.3000
Actinotalea	10	3	0.3000
Chelatococcus	10	3	0.3000
Tabrizicola	10	3	0.3000
Paracidovorax	11	3	0.2727
Paucilactobacillus	11	3	0.2727
Gulosibacter	11	3	0.2727
Thalassovita	11	3	0.2727
Enterocloster	12	3	0.2500
Niabella	12	3	0.2500
Acidovorax	13	3	0.2308
Sneathiella	13	3	0.2308
Halovenus	13	3	0.2308
Collinsella	14	3	0.2143
Mesonia	14	3	0.2143
Azotobacter	14	3	0.2143
Mycoplasmoides	17	3	0.1765
Arcanobacterium	17	3	0.1765
Lentibacillus	18	3	0.1667
Ureibacillus	18	3	0.1667
Priestia	21	3	0.1429
Aerococcus	27	3	0.1111
Thalassotalea	32	3	0.0938
Comamonas	40	3	0.0750
Neobacillus	41	3	0.0732
Maribacter	42	3	0.0714
Winogradskyella	45	3	0.0667
Luteimonas	48	3	0.0625
Stenotrophomonas	50	3	0.0600
Actinoplanes	65	3	0.0462
Rhodococcus	83	3	0.0361
Anaerotruncus	5	2	0.4000
Caminibacter	5	2	0.4000
Melaminivora	5	2	0.4000
Arcticibacter	5	2	0.4000
Aquipseudomonas	5	2	0.4000
Sedimentitalea	5	2	0.4000
Paenirhizobium	5	2	0.4000
Muricoccus	5	2	0.4000
Tropicimonas	5	2	0.4000
Paramesorhizobium	5	2	0.4000
Anaerotignum	5	2	0.4000
Halohasta	5	2	0.4000
Sphingosinicella	5	2	0.4000
Pontivivens	5	2	0.4000
Maribellus	5	2	0.4000
Pseudomaricurvus	5	2	0.4000
Neoroseomonas	5	2	0.4000
Lachnospira	6	2	0.3333
Maritimibacter	6	2	0.3333
Rubrivivax	6	2	0.3333
Halopiger	6	2	0.3333
Olivibacter	6	2	0.3333
Coprobacter	6	2	0.3333
Williamsoniiplasma	6	2	0.3333
Sellimonas	6	2	0.3333
Anoxybacteroides	6	2	0.3333
Halarcobacter	6	2	0.3333
Vulcaniibacterium	6	2	0.3333
Aedoeadaptatus	6	2	0.3333
Syntrophomonas	7	2	0.2857
Actibacterium	7	2	0.2857
Novacetimonas	7	2	0.2857
Pollutimonas	7	2	0.2857
Allosphingosinicella	7	2	0.2857
Amnibacterium	7	2	0.2857
Paenimyroides	7	2	0.2857
Pyrococcus	8	2	0.2500
Simplicispira	8	2	0.2500
Peteryoungia	8	2	0.2500
Aquamicrobium	8	2	0.2500
Alkaliphilus	9	2	0.2222
Frateuria	9	2	0.2222
Ensifer	9	2	0.2222
Bombella	9	2	0.2222
Methanocaldococcus	10	2	0.2000
Natrialba	10	2	0.2000
Uliginosibacterium	10	2	0.2000
Malaciobacter	10	2	0.2000
Stieleria	10	2	0.2000
Chelativorans	10	2	0.2000
Phycicoccus	11	2	0.1818
Parageobacillus	11	2	0.1818
Neorhizobium	11	2	0.1818
Croceibacterium	11	2	0.1818
Shigella	11	2	0.1818
Rossellomorea	11	2	0.1818
Anaerostipes	12	2	0.1667
Thiomicrorhabdus	12	2	0.1667
Yoonia	12	2	0.1667
Mesobacillus	12	2	0.1667
Lacinutrix	12	2	0.1667
Shouchella	12	2	0.1667
Rhodopseudomonas	13	2	0.1538
Martinezella	14	2	0.1429
Aneurinibacillus	14	2	0.1429
Microcoleus	14	2	0.1429
Rhodoferax	15	2	0.1333
Nonlabens	15	2	0.1333
Aureimonas	15	2	0.1333
Caldicellulosiruptor	16	2	0.1250
Novilysobacter	16	2	0.1250
Actinacidiphila	16	2	0.1250
Leifsonia	18	2	0.1111
Mesoplasma	19	2	0.1053
Thauera	19	2	0.1053
Hydrogenophaga	19	2	0.1053
Heyndrickxia	21	2	0.0952
Fructilactobacillus	23	2	0.0870
Pseudarthrobacter	24	2	0.0833
Duganella	25	2	0.0800
Erwinia	26	2	0.0769
Roseibium	26	2	0.0769
Dietzia	27	2	0.0741
Gracilibacillus	27	2	0.0741
Sporosarcina	27	2	0.0741
Treponema	31	2	0.0645
Pandoraea	34	2	0.0588
Citrobacter	36	2	0.0556
Achromobacter	40	2	0.0500
Devosia	46	2	0.0435
Brevibacterium	59	2	0.0339
Sphingobacterium	80	2	0.0250
Xanthomonas	139	2	0.0144
Paraburkholderia	140	2	0.0143
Nocardioides	211	2	0.0095
Flavobacterium	399	2	0.0050
Archaeoglobus	5	1	0.2000
Gillisella	5	1	0.2000
Desulfurococcus	5	1	0.2000
Flavonifractor	5	1	0.2000
Galbibacter	5	1	0.2000
Terrimonas	5	1	0.2000
Azohydromonas	5	1	0.2000
Mogibacterium	5	1	0.2000
Alkalihalobacterium	5	1	0.2000
Afifella	5	1	0.2000
Thermoactinomyces	5	1	0.2000
Geoalkalibacter	5	1	0.2000
Nostocoides	5	1	0.2000
Dechloromonas	5	1	0.2000
Mycoplana	5	1	0.2000
Pusillimonas	5	1	0.2000
Gemmata	5	1	0.2000
Acidianus	5	1	0.2000
Ciceribacter	5	1	0.2000
Hansschlegelia	5	1	0.2000
Aliikangiella	5	1	0.2000
Alkalicoccobacillus	5	1	0.2000
Antrihabitans	5	1	0.2000
Faecalicatena	5	1	0.2000
Kroppenstedtia	5	1	0.2000
Roseococcus	5	1	0.2000
Bowmanella	5	1	0.2000
Fusibacter	5	1	0.2000
Loktanella	5	1	0.2000
Diaphorobacter	6	1	0.1667
Dialister	6	1	0.1667
Desulfuromonas	6	1	0.1667
Magnetospirillum	6	1	0.1667
Bhargavaea	6	1	0.1667
Alloscardovia	6	1	0.1667
Salinimonas	6	1	0.1667
Acidipropionibacterium	6	1	0.1667
Alkalicoccus	6	1	0.1667
Draconibacterium	6	1	0.1667
Agathobaculum	6	1	0.1667
Jeotgalibaca	6	1	0.1667
Rubripirellula	6	1	0.1667
Arachidicoccus	6	1	0.1667
Reichenbachiella	6	1	0.1667
Pontixanthobacter	6	1	0.1667
Dryocola	6	1	0.1667
Ehrlichia	7	1	0.1429
Acetivibrio	7	1	0.1429
Methanococcus	7	1	0.1429
Desulfitobacterium	7	1	0.1429
Xylanimonas	7	1	0.1429
Oenococcus	7	1	0.1429
Alkalihalobacillus	7	1	0.1429
Fibrella	7	1	0.1429
Thalassolituus	7	1	0.1429
Siminovitchia	7	1	0.1429
Curvibacter	7	1	0.1429
Solimonas	7	1	0.1429
Cedecea	7	1	0.1429
Rubellimicrobium	7	1	0.1429
Sediminibacterium	7	1	0.1429
Roseivivax	7	1	0.1429
Mangrovimonas	7	1	0.1429
Aquabacterium	7	1	0.1429
Pseudogemmobacter	7	1	0.1429
Limnobacter	7	1	0.1429
Paenalcaligenes	7	1	0.1429
Parasphingorhabdus	7	1	0.1429
Acidaminococcus	8	1	0.1250
Parvularcula	8	1	0.1250
Evansella	8	1	0.1250
Metapseudomonas	8	1	0.1250
Gilvimarinus	8	1	0.1250
Spongiibacter	8	1	0.1250
Litoreibacter	8	1	0.1250
Litchfieldia	8	1	0.1250
Frankia	9	1	0.1111
Sulfurospirillum	9	1	0.1111
Sanguibacter	9	1	0.1111
Granulicatella	9	1	0.1111
Dysgonomonas	9	1	0.1111
Neptunomonas	9	1	0.1111
Formosa	9	1	0.1111
Aliivibrio	9	1	0.1111
Niallia	9	1	0.1111
Jiella	9	1	0.1111
Geobacter	10	1	0.1000
Methanohalophilus	10	1	0.1000
Marivirga	10	1	0.1000
Pseudovibrio	10	1	0.1000
Paraclostridium	10	1	0.1000
Sphaerotilus	10	1	0.1000
Mixta	10	1	0.1000
Albidovulum	10	1	0.1000
Halorientalis	10	1	0.1000
Natronomonas	11	1	0.0909
Methylophaga	11	1	0.0909
Methylocystis	11	1	0.0909
Mannheimia	11	1	0.0909
Kibdelosporangium	11	1	0.0909
Tritonibacter	11	1	0.0909
Acholeplasma	12	1	0.0833
Fulvivirga	12	1	0.0833
Enterovibrio	12	1	0.0833
Flavivirga	12	1	0.0833
Mariniflexile	12	1	0.0833
Actinotignum	13	1	0.0769
Ottowia	13	1	0.0769
Mycetocola	13	1	0.0769
Celeribacter	13	1	0.0769
Lederbergia	13	1	0.0769
Haloarchaeobius	13	1	0.0769
Pseudoclavibacter	14	1	0.0714
Oerskovia	14	1	0.0714
Nitratireductor	15	1	0.0667
Agrococcus	15	1	0.0667
Knoellia	15	1	0.0667
Phenylobacterium	16	1	0.0625
Loigolactobacillus	16	1	0.0625
Corallococcus	16	1	0.0625
Noviherbaspirillum	16	1	0.0625
Sporomusa	16	1	0.0625
Rhodovulum	16	1	0.0625
Isoptericola	16	1	0.0625
Erysipelothrix	17	1	0.0588
Adlercreutzia	17	1	0.0588
Nitrosomonas	17	1	0.0588
Sulfurimonas	18	1	0.0556
Pseudodesulfovibrio	18	1	0.0556
Anoxybacillus	18	1	0.0556
Rufibacter	18	1	0.0556
Brenneria	18	1	0.0556
Mesomycoplasma	19	1	0.0526
Gluconacetobacter	19	1	0.0526
Pseudooceanicola	19	1	0.0526
Rathayibacter	19	1	0.0526
Tessaracoccus	19	1	0.0526
Phyllobacterium	19	1	0.0526
Francisella	21	1	0.0476
Acidithiobacillus	21	1	0.0476
Alicyclobacillus	21	1	0.0476
Fictibacillus	21	1	0.0476
Christiangramia	22	1	0.0455
Megasphaera	23	1	0.0435
Marinobacterium	23	1	0.0435
Alistipes	24	1	0.0417
Prauserella	24	1	0.0417
Anaerococcus	26	1	0.0385
Agrobacterium	27	1	0.0370
Ancylobacter	27	1	0.0370
Sphingopyxis	29	1	0.0345
Moraxella	32	1	0.0312
Metabacillus	32	1	0.0312
Janthinobacterium	32	1	0.0312
Porphyromonas	36	1	0.0278
Variovorax	40	1	0.0250
Kocuria	41	1	0.0244
Cryobacterium	43	1	0.0233
Thermococcus	46	1	0.0217
Brevibacillus	46	1	0.0217
Serratia	48	1	0.0208
Limosilactobacillus	51	1	0.0196
Levilactobacillus	52	1	0.0192
Chitinophaga	54	1	0.0185
Pantoea	61	1	0.0164
Nocardiopsis	63	1	0.0159
Companilactobacillus	66	1	0.0152
Acetobacter	72	1	0.0139
Methylobacterium	103	1	0.0097
