acc_a	acc_b	class	genus_a	genus_b	conserved_a	proteins_a	conserved_b	proteins_b	pocp	mash_dist	aai	prot_dist
GCA_020404845.1	GCA_963924095.1	congeneric	Streptomyces	Streptomyces	5054	7263	4961	7236	69.0737	0.142547		
GCA_027947575.1	GCA_963924095.1	congeneric	Streptomyces	Streptomyces	5056	7298	4951	7236	68.8523	0.145534		
GCA_016598615.1	GCA_027947575.1	congeneric	Streptomyces	Streptomyces	6121	9740	5603	7298	68.8109	0.160198		
GCA_014656275.1	GCA_042653945.1	congeneric	Streptomyces	Streptomyces	6603	8995	6958	10714	68.8061	0.164662		
GCA_001182745.2	GCA_001612785.1	congeneric	Nocardia	Nocardia	4255	6046	4542	6744	68.7803	0.165848		
GCA_042430785.1	GCA_042431885.1	congeneric	Streptomyces	Streptomyces	5101	7315	5094	7515	68.7458	0.147304		
GCA_021390235.1	GCA_042431885.1	congeneric	Streptomyces	Streptomyces	5562	8369	5332	7515	68.5847	0.148319		
GCA_027947575.1	GCA_042431885.1	congeneric	Streptomyces	Streptomyces	5119	7298	5033	7515	68.5344	0.147505		
GCA_014656275.1	GCA_025642175.1	congeneric	Streptomyces	Streptomyces	5814	8995	5357	7338	68.3953	0.156865		
GCA_003064125.1	GCA_021919185.1	congeneric	Xanthomonas	Xanthomonas	2761	4202	2736	3852	68.2518	0.167376		
GCA_001418655.1	GCA_042653945.1	congeneric	Streptomyces	Streptomyces	6750	9368	6943	10714	68.1854	0.162098		
GCA_001277805.1	GCA_014201515.1	inter_genus	Geobacillus	Anoxybacillus	1814	2613	1802	2702	68.0339	0.263022		
GCA_001969825.1	GCA_054602315.1	congeneric	Bradyrhizobium	Bradyrhizobium	5159	7775	4999	7168	67.9783	0.171602		
GCA_014656275.1	GCA_042433635.1	congeneric	Streptomyces	Streptomyces	5556	8995	4951	6482	67.8878	0.156373		
GCA_025642175.1	GCA_042433635.1	congeneric	Streptomyces	Streptomyces	4773	7338	4608	6482	67.8799	0.148319		
GCA_001618685.1	GCA_014201515.1	inter_genus	Geobacillus	Anoxybacillus	2042	3206	1957	2702	67.6879	0.248764		
GCA_042431885.1	GCA_042433635.1	congeneric	Streptomyces	Streptomyces	4826	7515	4643	6482	67.6502	0.148524		
GCA_013366925.1	GCA_902459535.1	congeneric	Paraburkholderia	Paraburkholderia	5412	8209	5080	7307	67.6205	0.157362		
GCA_042433635.1	GCA_963924095.1	congeneric	Streptomyces	Streptomyces	4593	6482	4672	7236	67.5390	0.143460		
GCA_023278185.1	GCA_900094605.1	congeneric	Bradyrhizobium	Bradyrhizobium	5738	8598	5647	8291	67.4107	0.157865		
GCA_021390235.1	GCA_042653945.1	congeneric	Streptomyces	Streptomyces	6153	8369	6698	10714	67.3427	0.143276		
GCA_001580545.1	GCA_003443895.1	congeneric	Paraburkholderia	Paraburkholderia	4782	6983	4790	7231	67.3421	0.171602		
GCA_014656275.1	GCA_042431885.1	congeneric	Streptomyces	Streptomyces	5758	8995	5322	7515	67.1108	0.159407		
GCA_016598615.1	GCA_042653945.1	congeneric	Streptomyces	Streptomyces	6735	9740	6978	10714	67.0431	0.162098		
GCA_023278185.1	GCA_054602315.1	congeneric	Bradyrhizobium	Bradyrhizobium	5437	8598	5109	7168	66.8908	0.169931		
GCA_001401215.1	GCA_008386555.1	congeneric	Pseudomonas	Pseudomonas	3550	5215	3541	5389	66.8710	0.194429		
GCA_001418655.1	GCA_025642175.1	congeneric	Streptomyces	Streptomyces	5867	9368	5274	7338	66.6886	0.159933		
GCA_001400635.1	GCA_008386555.1	congeneric	Pseudomonas	Pseudomonas	3536	5205	3525	5389	66.6509	0.197886		
GCA_016598615.1	GCA_025642175.1	congeneric	Streptomyces	Streptomyces	5939	9740	5374	7338	66.2431	0.159407		
GCA_042430785.1	GCA_042653945.1	congeneric	Streptomyces	Streptomyces	5590	7315	6307	10714	65.9881	0.148114		
GCA_021390235.1	GCA_963924095.1	congeneric	Streptomyces	Streptomyces	5291	8369	4990	7236	65.8827	0.148319		
GCA_042430785.1	GCA_963924095.1	congeneric	Streptomyces	Streptomyces	4829	7315	4748	7236	65.8168	0.151066		
GCA_001418655.1	GCA_042433635.1	congeneric	Streptomyces	Streptomyces	5597	9368	4832	6482	65.7981	0.159933		
GCA_001418655.1	GCA_042431885.1	congeneric	Streptomyces	Streptomyces	5842	9368	5233	7515	65.5985	0.164662		
GCA_016598615.1	GCA_042433635.1	congeneric	Streptomyces	Streptomyces	5673	9740	4951	6482	65.4913	0.158119		
GCA_003443895.1	GCA_902459535.1	congeneric	Paraburkholderia	Paraburkholderia	4782	7231	4728	7307	65.4148	0.187713		
GCA_016598615.1	GCA_042431885.1	congeneric	Streptomyces	Streptomyces	5893	9740	5380	7515	65.3318	0.163220		
GCA_001639065.2	GCA_002741985.1	congeneric	Vibrio	Vibrio	3180	5034	3087	4574	65.2269	0.216771		
GCA_003443895.1	GCA_013366925.1	congeneric	Paraburkholderia	Paraburkholderia	4863	7231	5081	8209	64.4041	0.171944		
GCA_014656275.1	GCA_963924095.1	congeneric	Streptomyces	Streptomyces	5426	8995	4969	7236	64.0441	0.164662		
GCA_000817815.1	GCA_001639065.2	congeneric	Vibrio	Vibrio	3402	5721	3460	5034	63.8029	0.222464		
GCA_000759735.1	GCA_034424255.1	inter_genus	Citrobacter	Serratia	2964	4575	2959	4755	63.4834	0.233808		
GCA_020404845.1	GCA_042653945.1	congeneric	Streptomyces	Streptomyces	5351	7263	6045	10714	63.3921	0.161822		
GCA_000759735.1	GCA_001642805.2	inter_genus	Citrobacter	Serratia	2964	4575	2939	4748	63.3165	0.233808		
GCA_025642175.1	GCA_042653945.1	congeneric	Streptomyces	Streptomyces	5343	7338	6040	10714	63.0567	0.154692		
GCA_000252995.1	GCA_034424255.1	inter_genus	Salmonella	Serratia	2708	3973	2774	4755	62.8093	0.242205		
GCA_027947575.1	GCA_042653945.1	congeneric	Streptomyces	Streptomyces	5316	7298	5960	10714	62.6027	0.160465		
GCA_001418655.1	GCA_963924095.1	congeneric	Streptomyces	Streptomyces	5505	9368	4886	7236	62.5813	0.167688		
GCA_042431885.1	GCA_042653945.1	congeneric	Streptomyces	Streptomyces	5344	7515	6013	10714	62.3018	0.154692		
GCA_000252995.1	GCA_001642805.2	inter_genus	Salmonella	Serratia	2684	3973	2737	4748	62.1603	0.243761		
GCA_000181535.1	GCA_000817815.1	congeneric	Vibrio	Vibrio	3393	5066	3295	5721	62.0006	0.226680		
GCA_016598615.1	GCA_963924095.1	congeneric	Streptomyces	Streptomyces	5511	9740	4962	7236	61.6930	0.170926		
GCA_000181535.1	GCA_002741985.1	congeneric	Vibrio	Vibrio	3023	5066	2890	4574	61.3382	0.222464		
GCA_042433635.1	GCA_042653945.1	congeneric	Streptomyces	Streptomyces	4816	6482	5652	10714	60.8746	0.156373		
GCA_042653945.1	GCA_963924095.1	congeneric	Streptomyces	Streptomyces	5788	10714	5060	7236	60.4345	0.161003		
GCA_006365335.1	GCA_034424255.1	inter_genus	Salmonella	Serratia	2793	4587	2846	4755	60.3618	0.236445		
GCA_001642805.2	GCA_006365335.1	inter_genus	Serratia	Salmonella	2799	4748	2772	4587	59.6786	0.232543		
GCA_001642805.2	GCA_019048805.1	inter_genus	Serratia	Citrobacter	2933	4748	2965	5176	59.4317	0.236445		
GCA_019048805.1	GCA_034424255.1	inter_genus	Citrobacter	Serratia	2939	5176	2901	4755	58.8058	0.236445		
GCA_039522805.1	GCA_902459665.1	inter_genus	Ralstonia	Pandoraea	2531	4426	2655	4646	57.1649	0.232543		
GCA_001611855.1	GCA_025821505.1	inter_genus	Mycobacteroides	Mycobacterium	2692	4632	2676	4819	56.7982	0.273629		
GCA_039522805.1	GCA_902459595.1	inter_genus	Ralstonia	Pandoraea	2422	4426	2509	4337	56.2707	0.235108		
GCA_021173085.2	GCA_902459595.1	inter_genus	Ralstonia	Pandoraea	2537	4826	2604	4337	56.1061	0.236445		
GCA_902459595.1	GCA_958405935.1	inter_genus	Pandoraea	Ralstonia	2611	4337	2563	4962	55.6404	0.250557		
GCA_001611855.1	GCA_010728525.1	inter_genus	Mycobacteroides	Mycobacterium	2564	4632	2472	4427	55.5911	0.283502		
GCA_021173085.2	GCA_902459665.1	inter_genus	Ralstonia	Pandoraea	2572	4826	2679	4646	55.4371	0.233808		
GCA_902459665.1	GCA_958405935.1	inter_genus	Pandoraea	Ralstonia	2677	4646	2607	4962	54.9958	0.245371		
GCA_023955645.1	GCA_902459595.1	inter_genus	Ralstonia	Pandoraea	2581	5136	2624	4337	54.9456	0.245371		
GCA_023955645.1	GCA_902459665.1	inter_genus	Ralstonia	Pandoraea	2634	5136	2710	4646	54.6310	0.236445		
GCA_002086715.1	GCA_025821505.1	inter_genus	Mycobacteroides	Mycobacterium	2691	5117	2679	4819	54.0459	0.260703		
GCA_001580545.1	GCA_902459595.1	inter_genus	Paraburkholderia	Pandoraea	3210	6983	2862	4337	53.6396	0.231311		
GCA_001618685.1	GCA_024169475.1	inter_genus	Geobacillus	Peribacillus	2053	3206	2336	5052	53.1485	0.353280		
GCA_001580545.1	GCA_902459665.1	inter_genus	Paraburkholderia	Pandoraea	3250	6983	2915	4646	53.0140	0.237820		
GCA_002086715.1	GCA_010728525.1	inter_genus	Mycobacteroides	Mycobacterium	2560	5117	2453	4427	52.5251	0.273629		
GCA_902459535.1	GCA_902459595.1	inter_genus	Paraburkholderia	Pandoraea	3217	7307	2844	4337	52.0526	0.248764		
GCA_902459535.1	GCA_902459665.1	inter_genus	Paraburkholderia	Pandoraea	3258	7307	2928	4646	51.7527	0.245371		
GCA_001580545.1	GCA_021173085.2	inter_genus	Paraburkholderia	Ralstonia	3233	6983	2821	4826	51.2660	0.254359		
GCA_003443895.1	GCA_902459595.1	inter_genus	Paraburkholderia	Pandoraea	3142	7231	2780	4337	51.1929	0.233808		
GCA_001580545.1	GCA_023955645.1	inter_genus	Paraburkholderia	Ralstonia	3294	6983	2907	5136	51.1676	0.268030		
GCA_003443895.1	GCA_902459665.1	inter_genus	Paraburkholderia	Pandoraea	3196	7231	2844	4646	50.8546	0.243761		
GCA_001580545.1	GCA_958405935.1	inter_genus	Paraburkholderia	Ralstonia	3225	6983	2824	4962	50.6404	0.256381		
GCA_001618685.1	GCA_025175645.1	inter_genus	Geobacillus	Peribacillus	2047	3206	2395	5594	50.4773	0.353280		
GCA_003443895.1	GCA_023955645.1	inter_genus	Paraburkholderia	Ralstonia	3337	7231	2905	5136	50.4730	0.252420		
GCA_001580545.1	GCA_039522805.1	inter_genus	Paraburkholderia	Ralstonia	3094	6983	2661	4426	50.4426	0.252420		
GCA_023955645.1	GCA_902459535.1	inter_genus	Ralstonia	Paraburkholderia	2937	5136	3321	7307	50.2933	0.276697		
GCA_003443895.1	GCA_958405935.1	inter_genus	Paraburkholderia	Ralstonia	3275	7231	2844	4962	50.1845	0.248764		
GCA_003443895.1	GCA_021173085.2	inter_genus	Paraburkholderia	Ralstonia	3246	7231	2803	4826	50.1700	0.242205		
GCA_039522805.1	GCA_902459535.1	inter_genus	Ralstonia	Paraburkholderia	2725	4426	3149	7307	50.0639	0.263022		
GCA_021173085.2	GCA_902459535.1	inter_genus	Ralstonia	Paraburkholderia	2835	4826	3234	7307	50.0206	0.256381		
GCA_003443895.1	GCA_039522805.1	inter_genus	Paraburkholderia	Ralstonia	3141	7231	2674	4426	49.8842	0.228939		
GCA_902459535.1	GCA_958405935.1	inter_genus	Paraburkholderia	Ralstonia	3228	7307	2855	4962	49.5802	0.256381		
GCA_001418025.1	GCA_024169475.1	inter_genus	Anoxybacillus	Peribacillus	1754	2617	2025	5052	49.2763	0.339586		
GCA_014201515.1	GCA_024169475.1	inter_genus	Anoxybacillus	Peribacillus	1751	2702	2040	5052	48.8909	0.320287		
GCA_013366925.1	GCA_902459595.1	inter_genus	Paraburkholderia	Pandoraea	3283	8209	2778	4337	48.3102	0.237820		
GCA_001277805.1	GCA_024169475.1	inter_genus	Geobacillus	Peribacillus	1733	2613	1964	5052	48.2322	0.353280		
GCA_013366925.1	GCA_023955645.1	inter_genus	Paraburkholderia	Ralstonia	3452	8209	2927	5136	47.8007	0.265460		
GCA_013366925.1	GCA_902459665.1	inter_genus	Paraburkholderia	Pandoraea	3315	8209	2828	4646	47.7869	0.243761		
GCA_013366925.1	GCA_958405935.1	inter_genus	Paraburkholderia	Ralstonia	3400	8209	2862	4962	47.5438	0.270747		
GCA_013366925.1	GCA_021173085.2	inter_genus	Paraburkholderia	Ralstonia	3370	8209	2809	4826	47.4031	0.265460		
GCA_013366925.1	GCA_039522805.1	inter_genus	Paraburkholderia	Ralstonia	3284	8209	2698	4426	47.3447	0.265460		
GCA_001418025.1	GCA_025175645.1	inter_genus	Anoxybacillus	Peribacillus	1767	2617	2106	5594	47.1684	0.339586		
GCA_014201515.1	GCA_025175645.1	inter_genus	Anoxybacillus	Peribacillus	1771	2702	2115	5594	46.8419	0.328965		
GCA_001611855.1	GCA_001612785.1	inter_genus	Mycobacteroides	Nocardia	2552	4632	2755	6744	46.6508	0.279978		
GCA_001182745.2	GCA_001611855.1	inter_genus	Nocardia	Mycobacteroides	2513	6046	2453	4632	46.5068	0.268030		
GCA_001277805.1	GCA_025175645.1	inter_genus	Geobacillus	Peribacillus	1737	2613	1994	5594	45.4612	0.353280		
GCA_001612785.1	GCA_002086715.1	inter_genus	Nocardia	Mycobacteroides	2777	6744	2601	5117	45.3419	0.276697		
GCA_001182745.2	GCA_002086715.1	inter_genus	Nocardia	Mycobacteroides	2536	6046	2495	5117	45.0685	0.265460		
GCA_000478275.1	GCA_014656275.1	inter_genus	Amycolatopsis	Streptomyces	3662	8170	3941	8995	44.2936	0.295981		
GCA_000478275.1	GCA_021390235.1	inter_genus	Amycolatopsis	Streptomyces	3627	8170	3697	8369	44.2832	0.273629		
GCA_000478275.1	GCA_027947575.1	inter_genus	Amycolatopsis	Streptomyces	3415	8170	3408	7298	44.1104	0.263022		
GCA_000478275.1	GCA_020404845.1	inter_genus	Amycolatopsis	Streptomyces	3415	8170	3390	7263	44.0938	0.265460		
GCA_014873915.1	GCA_020404845.1	inter_genus	Amycolatopsis	Streptomyces	3530	8602	3426	7263	43.8449	0.252420		
GCA_014656275.1	GCA_014873915.1	inter_genus	Streptomyces	Amycolatopsis	3973	8995	3728	8602	43.7631	0.300994		
GCA_000478275.1	GCA_042430785.1	inter_genus	Amycolatopsis	Streptomyces	3431	8170	3344	7315	43.7520	0.273629		
GCA_014873915.1	GCA_027947575.1	inter_genus	Amycolatopsis	Streptomyces	3517	8602	3432	7298	43.7044	0.268030		
GCA_000478275.1	GCA_001418655.1	inter_genus	Amycolatopsis	Streptomyces	3619	8170	4042	9368	43.6823	0.300994		
GCA_014873915.1	GCA_021390235.1	inter_genus	Amycolatopsis	Streptomyces	3689	8602	3664	8369	43.3269	0.268030		
GCA_014873915.1	GCA_016598615.1	inter_genus	Amycolatopsis	Streptomyces	3816	8602	4120	9740	43.2668	0.295981		
GCA_000478275.1	GCA_016598615.1	inter_genus	Amycolatopsis	Streptomyces	3687	8170	4059	9740	43.2496	0.283502		
GCA_001418655.1	GCA_014873915.1	inter_genus	Streptomyces	Amycolatopsis	4076	9368	3686	8602	43.1942	0.320287		
GCA_001612785.1	GCA_025821505.1	inter_genus	Nocardia	Mycobacterium	2536	6744	2425	4819	42.9041	0.270747		
GCA_014873915.1	GCA_042430785.1	inter_genus	Amycolatopsis	Streptomyces	3465	8602	3322	7315	42.6399	0.276697		
GCA_000478275.1	GCA_001612785.1	inter_genus	Amycolatopsis	Nocardia	3205	8170	3140	6744	42.5439	0.276697		
GCA_000478275.1	GCA_025642175.1	inter_genus	Amycolatopsis	Streptomyces	3349	8170	3245	7338	42.5200	0.291447		
GCA_001612785.1	GCA_010728525.1	inter_genus	Nocardia	Mycobacterium	2458	6744	2236	4427	42.0195	0.279978		
GCA_014873915.1	GCA_025642175.1	inter_genus	Amycolatopsis	Streptomyces	3415	8602	3273	7338	41.9573	0.279978		
GCA_001182745.2	GCA_025821505.1	inter_genus	Nocardia	Mycobacterium	2281	6046	2272	4819	41.9052	0.256381		
GCA_001612785.1	GCA_014873915.1	inter_genus	Nocardia	Amycolatopsis	3144	6744	3279	8602	41.8546	0.283502		
GCA_001182745.2	GCA_010728525.1	inter_genus	Nocardia	Mycobacterium	2223	6046	2116	4427	41.4303	0.256381		
GCA_000478275.1	GCA_042431885.1	inter_genus	Amycolatopsis	Streptomyces	3283	8170	3194	7515	41.2942	0.295981		
GCA_000478275.1	GCA_042433635.1	inter_genus	Amycolatopsis	Streptomyces	3100	8170	2934	6482	41.1821	0.291447		
GCA_019930105.1	GCA_053761065.1	inter_genus	Streptococcus	Enterococcus	877	1770	931	2637	41.0256	0.295981		
GCA_014873915.1	GCA_042433635.1	inter_genus	Amycolatopsis	Streptomyces	3204	8602	2951	6482	40.8048	0.291447		
GCA_000478275.1	GCA_963924095.1	inter_genus	Amycolatopsis	Streptomyces	3160	8170	3085	7236	40.5362	0.312952		
