acc_a	acc_b	sp_a	sp_b	same_species	mash_dist	ani_conv
GCA_000182945.1	GCA_900450795.1	Fusobacterium vincentii	Fusobacterium vincentii	1	0.022666	97.46
GCA_000262225.1	GCA_900104395.1	Fusobacterium necrophorum	Fusobacterium necrophorum	1	0.027580	96.91
GCA_008801775.1	GCA_900104395.1	Fusobacterium necrophorum	Fusobacterium necrophorum	1	0.027582	96.91
GCA_055694045.1	GCA_964642115.1	Fusobacterium abscessus	Fusobacterium nucleatum	0	0.041596	95.34
GCA_031191795.1	GCA_055694045.1	Fusobacterium nucleatum	Fusobacterium abscessus	0	0.041630	95.34
GCA_050920715.1	GCA_055694045.1	Fusobacterium nucleatum	Fusobacterium abscessus	0	0.041631	95.34
GCA_055694045.1	GCA_056333145.1	Fusobacterium abscessus	Fusobacterium nucleatum	0	0.041639	95.34
GCA_037900345.1	GCA_055694045.1	Fusobacterium nucleatum	Fusobacterium abscessus	0	0.041640	95.34
GCA_003019295.1	GCA_055694045.1	Fusobacterium nucleatum	Fusobacterium abscessus	0	0.041647	95.34
GCA_000292935.1	GCA_035320945.1	Fusobacterium hwasookii	Fusobacterium polymorphum	0	0.060312	93.25
GCA_000292935.1	GCA_001457555.1	Fusobacterium hwasookii	Fusobacterium polymorphum	0	0.060317	93.24
GCA_000292935.1	GCA_037900625.1	Fusobacterium hwasookii	Fusobacterium polymorphum	0	0.060342	93.24
GCA_000292935.1	GCA_050920725.1	Fusobacterium hwasookii	Fusobacterium polymorphum	0	0.060344	93.24
GCA_000153625.1	GCA_000292935.1	Fusobacterium polymorphum	Fusobacterium hwasookii	0	0.060462	93.23
GCA_014217355.1	GCA_035320945.1	Fusobacterium hwasookii	Fusobacterium polymorphum	0	0.060723	93.20
GCA_001457555.1	GCA_014217355.1	Fusobacterium polymorphum	Fusobacterium hwasookii	0	0.060726	93.20
GCA_014217355.1	GCA_037900625.1	Fusobacterium hwasookii	Fusobacterium polymorphum	0	0.060766	93.19
GCA_014217355.1	GCA_050920725.1	Fusobacterium hwasookii	Fusobacterium polymorphum	0	0.060766	93.19
GCA_000153625.1	GCA_014217355.1	Fusobacterium polymorphum	Fusobacterium hwasookii	0	0.060921	93.18
GCA_000279975.1	GCA_049381025.1	Fusobacterium vincentii	Fusobacterium watanabei	0	0.062625	92.99
GCA_000279975.1	GCA_965217535.1	Fusobacterium vincentii	Fusobacterium watanabei	0	0.062625	92.99
GCA_000160475.1	GCA_002761955.1	Fusobacterium periodonticum	Fusobacterium pseudoperiodonticum	0	0.063258	92.92
GCA_049381025.1	GCA_900450795.1	Fusobacterium watanabei	Fusobacterium vincentii	0	0.063630	92.87
GCA_900450795.1	GCA_965217535.1	Fusobacterium vincentii	Fusobacterium watanabei	0	0.063630	92.87
GCA_900450795.1	GCA_965278035.1	Fusobacterium vincentii	Fusobacterium paranimalis	0	0.063913	92.84
GCA_001457555.1	GCA_016724785.1	Fusobacterium polymorphum	Fusobacterium canifelinum	0	0.064544	92.77
GCA_016724785.1	GCA_035320945.1	Fusobacterium canifelinum	Fusobacterium polymorphum	0	0.064558	92.77
GCA_016724785.1	GCA_037900625.1	Fusobacterium canifelinum	Fusobacterium polymorphum	0	0.064566	92.77
GCA_016724785.1	GCA_050920725.1	Fusobacterium canifelinum	Fusobacterium polymorphum	0	0.064577	92.77
GCA_000153625.1	GCA_016724785.1	Fusobacterium polymorphum	Fusobacterium canifelinum	0	0.064755	92.75
GCA_000279975.1	GCA_965278035.1	Fusobacterium vincentii	Fusobacterium paranimalis	0	0.064859	92.74
GCA_055694045.1	GCA_900450795.1	Fusobacterium abscessus	Fusobacterium vincentii	0	0.064930	92.73
GCA_000279975.1	GCA_055694045.1	Fusobacterium vincentii	Fusobacterium abscessus	0	0.065760	92.63
GCA_049381025.1	GCA_965278035.1	Fusobacterium watanabei	Fusobacterium paranimalis	0	0.066309	92.57
GCA_965217535.1	GCA_965278035.1	Fusobacterium watanabei	Fusobacterium paranimalis	0	0.066309	92.57
GCA_056823795.1	GCA_965278035.1	Fusobacterium animalis	Fusobacterium paranimalis	0	0.066613	92.54
GCA_000182945.1	GCA_049381025.1	Fusobacterium vincentii	Fusobacterium watanabei	0	0.066741	92.53
GCA_000182945.1	GCA_965217535.1	Fusobacterium vincentii	Fusobacterium watanabei	0	0.066741	92.53
GCA_016724785.1	GCA_031191795.1	Fusobacterium canifelinum	Fusobacterium nucleatum	0	0.067489	92.44
GCA_016724785.1	GCA_037900345.1	Fusobacterium canifelinum	Fusobacterium nucleatum	0	0.067489	92.44
GCA_016724785.1	GCA_050920715.1	Fusobacterium canifelinum	Fusobacterium nucleatum	0	0.067492	92.44
GCA_016724785.1	GCA_056333145.1	Fusobacterium canifelinum	Fusobacterium nucleatum	0	0.067492	92.44
GCA_003019295.1	GCA_016724785.1	Fusobacterium nucleatum	Fusobacterium canifelinum	0	0.067504	92.44
GCA_016724785.1	GCA_964642115.1	Fusobacterium canifelinum	Fusobacterium nucleatum	0	0.067516	92.44
GCA_000182945.1	GCA_965278035.1	Fusobacterium vincentii	Fusobacterium paranimalis	0	0.067760	92.41
GCA_000292935.1	GCA_016724785.1	Fusobacterium hwasookii	Fusobacterium canifelinum	0	0.068485	92.33
GCA_000182945.1	GCA_055694045.1	Fusobacterium vincentii	Fusobacterium abscessus	0	0.068830	92.29
GCA_014217355.1	GCA_016724785.1	Fusobacterium hwasookii	Fusobacterium canifelinum	0	0.068930	92.28
GCA_000279975.1	GCA_003019295.1	Fusobacterium vincentii	Fusobacterium nucleatum	0	0.068949	92.28
GCA_000279975.1	GCA_031191795.1	Fusobacterium vincentii	Fusobacterium nucleatum	0	0.068949	92.28
GCA_000279975.1	GCA_037900345.1	Fusobacterium vincentii	Fusobacterium nucleatum	0	0.068949	92.28
GCA_000279975.1	GCA_056333145.1	Fusobacterium vincentii	Fusobacterium nucleatum	0	0.068949	92.28
GCA_000279975.1	GCA_050920715.1	Fusobacterium vincentii	Fusobacterium nucleatum	0	0.068952	92.28
GCA_000279975.1	GCA_964642115.1	Fusobacterium vincentii	Fusobacterium nucleatum	0	0.069000	92.27
GCA_003019295.1	GCA_900450795.1	Fusobacterium nucleatum	Fusobacterium vincentii	0	0.069292	92.24
GCA_037900345.1	GCA_900450795.1	Fusobacterium nucleatum	Fusobacterium vincentii	0	0.069292	92.24
GCA_056333145.1	GCA_900450795.1	Fusobacterium nucleatum	Fusobacterium vincentii	0	0.069292	92.24
GCA_031191795.1	GCA_900450795.1	Fusobacterium nucleatum	Fusobacterium vincentii	0	0.069298	92.24
GCA_050920715.1	GCA_900450795.1	Fusobacterium nucleatum	Fusobacterium vincentii	0	0.069298	92.24
GCA_900450795.1	GCA_964642115.1	Fusobacterium vincentii	Fusobacterium nucleatum	0	0.069394	92.23
GCA_016724785.1	GCA_055694045.1	Fusobacterium canifelinum	Fusobacterium abscessus	0	0.069769	92.19
GCA_000182945.1	GCA_050920715.1	Fusobacterium vincentii	Fusobacterium nucleatum	0	0.070390	92.12
GCA_000182945.1	GCA_031191795.1	Fusobacterium vincentii	Fusobacterium nucleatum	0	0.070393	92.12
GCA_000182945.1	GCA_037900345.1	Fusobacterium vincentii	Fusobacterium nucleatum	0	0.070400	92.12
GCA_000182945.1	GCA_056333145.1	Fusobacterium vincentii	Fusobacterium nucleatum	0	0.070400	92.12
GCA_000182945.1	GCA_964642115.1	Fusobacterium vincentii	Fusobacterium nucleatum	0	0.070406	92.11
GCA_000182945.1	GCA_003019295.1	Fusobacterium vincentii	Fusobacterium nucleatum	0	0.070416	92.11
GCA_049381025.1	GCA_056823795.1	Fusobacterium watanabei	Fusobacterium animalis	0	0.071235	92.02
GCA_056823795.1	GCA_965217535.1	Fusobacterium animalis	Fusobacterium watanabei	0	0.071235	92.02
GCA_055694045.1	GCA_965278035.1	Fusobacterium abscessus	Fusobacterium paranimalis	0	0.071667	91.97
GCA_037900345.1	GCA_049381025.1	Fusobacterium nucleatum	Fusobacterium watanabei	0	0.072638	91.86
GCA_049381025.1	GCA_056333145.1	Fusobacterium watanabei	Fusobacterium nucleatum	0	0.072638	91.86
GCA_037900345.1	GCA_965217535.1	Fusobacterium nucleatum	Fusobacterium watanabei	0	0.072638	91.86
GCA_056333145.1	GCA_965217535.1	Fusobacterium nucleatum	Fusobacterium watanabei	0	0.072638	91.86
GCA_003019295.1	GCA_049381025.1	Fusobacterium nucleatum	Fusobacterium watanabei	0	0.072642	91.86
GCA_031191795.1	GCA_049381025.1	Fusobacterium nucleatum	Fusobacterium watanabei	0	0.072642	91.86
GCA_049381025.1	GCA_050920715.1	Fusobacterium watanabei	Fusobacterium nucleatum	0	0.072642	91.86
GCA_003019295.1	GCA_965217535.1	Fusobacterium nucleatum	Fusobacterium watanabei	0	0.072642	91.86
GCA_031191795.1	GCA_965217535.1	Fusobacterium nucleatum	Fusobacterium watanabei	0	0.072642	91.86
GCA_050920715.1	GCA_965217535.1	Fusobacterium nucleatum	Fusobacterium watanabei	0	0.072642	91.86
GCA_049381025.1	GCA_964642115.1	Fusobacterium watanabei	Fusobacterium nucleatum	0	0.072746	91.85
GCA_964642115.1	GCA_965217535.1	Fusobacterium nucleatum	Fusobacterium watanabei	0	0.072746	91.85
GCA_056823795.1	GCA_900450795.1	Fusobacterium animalis	Fusobacterium vincentii	0	0.073146	91.81
GCA_000279975.1	GCA_056823795.1	Fusobacterium vincentii	Fusobacterium animalis	0	0.073550	91.76
GCA_049381025.1	GCA_055694045.1	Fusobacterium watanabei	Fusobacterium abscessus	0	0.073893	91.72
GCA_055694045.1	GCA_965217535.1	Fusobacterium abscessus	Fusobacterium watanabei	0	0.073893	91.72
GCA_000182945.1	GCA_056823795.1	Fusobacterium vincentii	Fusobacterium animalis	0	0.075109	91.59
GCA_001457555.1	GCA_055694045.1	Fusobacterium polymorphum	Fusobacterium abscessus	0	0.076108	91.48
GCA_035320945.1	GCA_055694045.1	Fusobacterium polymorphum	Fusobacterium abscessus	0	0.076112	91.48
GCA_037900625.1	GCA_055694045.1	Fusobacterium polymorphum	Fusobacterium abscessus	0	0.076142	91.47
GCA_050920725.1	GCA_055694045.1	Fusobacterium polymorphum	Fusobacterium abscessus	0	0.076161	91.47
GCA_001457555.1	GCA_031191795.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076215	91.46
GCA_001457555.1	GCA_056333145.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076215	91.46
GCA_001457555.1	GCA_037900345.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076218	91.46
GCA_001457555.1	GCA_050920715.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076218	91.46
GCA_001457555.1	GCA_003019295.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076226	91.46
GCA_003019295.1	GCA_035320945.1	Fusobacterium nucleatum	Fusobacterium polymorphum	0	0.076230	91.46
GCA_035320945.1	GCA_056333145.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076230	91.46
GCA_035320945.1	GCA_037900345.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076234	91.46
GCA_037900625.1	GCA_056333145.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076234	91.46
GCA_037900345.1	GCA_037900625.1	Fusobacterium nucleatum	Fusobacterium polymorphum	0	0.076237	91.46
GCA_037900625.1	GCA_050920715.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076237	91.46
GCA_031191795.1	GCA_035320945.1	Fusobacterium nucleatum	Fusobacterium polymorphum	0	0.076241	91.46
GCA_031191795.1	GCA_037900625.1	Fusobacterium nucleatum	Fusobacterium polymorphum	0	0.076241	91.46
GCA_035320945.1	GCA_050920715.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076241	91.46
GCA_031191795.1	GCA_050920725.1	Fusobacterium nucleatum	Fusobacterium polymorphum	0	0.076249	91.46
GCA_037900345.1	GCA_050920725.1	Fusobacterium nucleatum	Fusobacterium polymorphum	0	0.076249	91.46
GCA_050920725.1	GCA_056333145.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076249	91.46
GCA_003019295.1	GCA_037900625.1	Fusobacterium nucleatum	Fusobacterium polymorphum	0	0.076253	91.46
GCA_050920715.1	GCA_050920725.1	Fusobacterium nucleatum	Fusobacterium polymorphum	0	0.076253	91.46
GCA_003019295.1	GCA_050920725.1	Fusobacterium nucleatum	Fusobacterium polymorphum	0	0.076264	91.46
GCA_001457555.1	GCA_964642115.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076337	91.45
GCA_035320945.1	GCA_964642115.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076348	91.45
GCA_037900625.1	GCA_964642115.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076352	91.45
GCA_000153625.1	GCA_055694045.1	Fusobacterium polymorphum	Fusobacterium abscessus	0	0.076364	91.45
GCA_050920725.1	GCA_964642115.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076375	91.45
GCA_000153625.1	GCA_031191795.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076475	91.43
GCA_000153625.1	GCA_056333145.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076475	91.43
GCA_000153625.1	GCA_037900345.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076479	91.43
GCA_000153625.1	GCA_050920715.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076482	91.43
GCA_000153625.1	GCA_003019295.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076490	91.43
GCA_000153625.1	GCA_964642115.1	Fusobacterium polymorphum	Fusobacterium nucleatum	0	0.076606	91.42
GCA_031191795.1	GCA_965278035.1	Fusobacterium nucleatum	Fusobacterium paranimalis	0	0.077310	91.34
GCA_050920715.1	GCA_965278035.1	Fusobacterium nucleatum	Fusobacterium paranimalis	0	0.077310	91.34
GCA_003019295.1	GCA_965278035.1	Fusobacterium nucleatum	Fusobacterium paranimalis	0	0.077317	91.34
GCA_037900345.1	GCA_965278035.1	Fusobacterium nucleatum	Fusobacterium paranimalis	0	0.077317	91.34
GCA_056333145.1	GCA_965278035.1	Fusobacterium nucleatum	Fusobacterium paranimalis	0	0.077317	91.34
GCA_964642115.1	GCA_965278035.1	Fusobacterium nucleatum	Fusobacterium paranimalis	0	0.077427	91.33
GCA_000279975.1	GCA_001457555.1	Fusobacterium vincentii	Fusobacterium polymorphum	0	0.081170	90.91
GCA_000279975.1	GCA_035320945.1	Fusobacterium vincentii	Fusobacterium polymorphum	0	0.081187	90.91
GCA_000279975.1	GCA_050920725.1	Fusobacterium vincentii	Fusobacterium polymorphum	0	0.081213	90.90
GCA_000279975.1	GCA_037900625.1	Fusobacterium vincentii	Fusobacterium polymorphum	0	0.081239	90.90
GCA_001457555.1	GCA_900450795.1	Fusobacterium polymorphum	Fusobacterium vincentii	0	0.081343	90.89
GCA_035320945.1	GCA_900450795.1	Fusobacterium polymorphum	Fusobacterium vincentii	0	0.081352	90.89
GCA_056333145.1	GCA_056823795.1	Fusobacterium nucleatum	Fusobacterium animalis	0	0.081391	90.88
GCA_037900625.1	GCA_900450795.1	Fusobacterium polymorphum	Fusobacterium vincentii	0	0.081391	90.88
GCA_003019295.1	GCA_056823795.1	Fusobacterium nucleatum	Fusobacterium animalis	0	0.081395	90.88
GCA_037900345.1	GCA_056823795.1	Fusobacterium nucleatum	Fusobacterium animalis	0	0.081395	90.88
GCA_031191795.1	GCA_056823795.1	Fusobacterium nucleatum	Fusobacterium animalis	0	0.081400	90.88
GCA_050920715.1	GCA_056823795.1	Fusobacterium nucleatum	Fusobacterium animalis	0	0.081400	90.88
GCA_050920725.1	GCA_900450795.1	Fusobacterium polymorphum	Fusobacterium vincentii	0	0.081404	90.88
GCA_056823795.1	GCA_964642115.1	Fusobacterium animalis	Fusobacterium nucleatum	0	0.081443	90.88
GCA_000153625.1	GCA_000279975.1	Fusobacterium polymorphum	Fusobacterium vincentii	0	0.081491	90.87
GCA_000153625.1	GCA_900450795.1	Fusobacterium polymorphum	Fusobacterium vincentii	0	0.081644	90.86
GCA_055694045.1	GCA_056823795.1	Fusobacterium abscessus	Fusobacterium animalis	0	0.082010	90.81
GCA_000292935.1	GCA_964642115.1	Fusobacterium hwasookii	Fusobacterium nucleatum	0	0.082129	90.80
GCA_000292935.1	GCA_037900345.1	Fusobacterium hwasookii	Fusobacterium nucleatum	0	0.082165	90.80
GCA_000292935.1	GCA_056333145.1	Fusobacterium hwasookii	Fusobacterium nucleatum	0	0.082165	90.80
GCA_000292935.1	GCA_031191795.1	Fusobacterium hwasookii	Fusobacterium nucleatum	0	0.082169	90.80
GCA_000292935.1	GCA_003019295.1	Fusobacterium hwasookii	Fusobacterium nucleatum	0	0.082173	90.80
GCA_000292935.1	GCA_050920715.1	Fusobacterium hwasookii	Fusobacterium nucleatum	0	0.082173	90.80
GCA_014217355.1	GCA_964642115.1	Fusobacterium hwasookii	Fusobacterium nucleatum	0	0.082521	90.76
GCA_014217355.1	GCA_031191795.1	Fusobacterium hwasookii	Fusobacterium nucleatum	0	0.082566	90.75
GCA_014217355.1	GCA_037900345.1	Fusobacterium hwasookii	Fusobacterium nucleatum	0	0.082571	90.75
GCA_014217355.1	GCA_050920715.1	Fusobacterium hwasookii	Fusobacterium nucleatum	0	0.082571	90.75
GCA_014217355.1	GCA_056333145.1	Fusobacterium hwasookii	Fusobacterium nucleatum	0	0.082571	90.75
GCA_003019295.1	GCA_014217355.1	Fusobacterium nucleatum	Fusobacterium hwasookii	0	0.082575	90.75
GCA_000279975.1	GCA_016724785.1	Fusobacterium vincentii	Fusobacterium canifelinum	0	0.083149	90.69
GCA_000182945.1	GCA_001457555.1	Fusobacterium vincentii	Fusobacterium polymorphum	0	0.083249	90.68
GCA_000182945.1	GCA_035320945.1	Fusobacterium vincentii	Fusobacterium polymorphum	0	0.083262	90.67
GCA_000182945.1	GCA_037900625.1	Fusobacterium vincentii	Fusobacterium polymorphum	0	0.083308	90.67
GCA_000182945.1	GCA_050920725.1	Fusobacterium vincentii	Fusobacterium polymorphum	0	0.083336	90.67
GCA_000292935.1	GCA_055694045.1	Fusobacterium hwasookii	Fusobacterium abscessus	0	0.083565	90.64
GCA_000153625.1	GCA_000182945.1	Fusobacterium polymorphum	Fusobacterium vincentii	0	0.083574	90.64
GCA_016724785.1	GCA_900450795.1	Fusobacterium canifelinum	Fusobacterium vincentii	0	0.083818	90.61
GCA_014217355.1	GCA_055694045.1	Fusobacterium hwasookii	Fusobacterium abscessus	0	0.083939	90.60
GCA_001457555.1	GCA_056823795.1	Fusobacterium polymorphum	Fusobacterium animalis	0	0.085020	90.48
GCA_037900625.1	GCA_056823795.1	Fusobacterium polymorphum	Fusobacterium animalis	0	0.085020	90.48
GCA_035320945.1	GCA_056823795.1	Fusobacterium polymorphum	Fusobacterium animalis	0	0.085063	90.47
GCA_050920725.1	GCA_056823795.1	Fusobacterium polymorphum	Fusobacterium animalis	0	0.085063	90.47
GCA_000153625.1	GCA_056823795.1	Fusobacterium polymorphum	Fusobacterium animalis	0	0.085302	90.45
GCA_000182945.1	GCA_016724785.1	Fusobacterium vincentii	Fusobacterium canifelinum	0	0.085370	90.44
GCA_001457555.1	GCA_965278035.1	Fusobacterium polymorphum	Fusobacterium paranimalis	0	0.088140	90.13
GCA_035320945.1	GCA_965278035.1	Fusobacterium polymorphum	Fusobacterium paranimalis	0	0.088150	90.13
GCA_037900625.1	GCA_965278035.1	Fusobacterium polymorphum	Fusobacterium paranimalis	0	0.088166	90.13
GCA_050920725.1	GCA_965278035.1	Fusobacterium polymorphum	Fusobacterium paranimalis	0	0.088197	90.12
GCA_016724785.1	GCA_049381025.1	Fusobacterium canifelinum	Fusobacterium watanabei	0	0.088362	90.10
GCA_016724785.1	GCA_965217535.1	Fusobacterium canifelinum	Fusobacterium watanabei	0	0.088362	90.10
GCA_000153625.1	GCA_965278035.1	Fusobacterium polymorphum	Fusobacterium paranimalis	0	0.088466	90.09
GCA_001457555.1	GCA_049381025.1	Fusobacterium polymorphum	Fusobacterium watanabei	0	0.089315	90.00
GCA_001457555.1	GCA_965217535.1	Fusobacterium polymorphum	Fusobacterium watanabei	0	0.089315	90.00
GCA_035320945.1	GCA_049381025.1	Fusobacterium polymorphum	Fusobacterium watanabei	0	0.089326	90.00
GCA_037900625.1	GCA_049381025.1	Fusobacterium polymorphum	Fusobacterium watanabei	0	0.089326	90.00
GCA_035320945.1	GCA_965217535.1	Fusobacterium polymorphum	Fusobacterium watanabei	0	0.089326	90.00
GCA_037900625.1	GCA_965217535.1	Fusobacterium polymorphum	Fusobacterium watanabei	0	0.089326	90.00
GCA_049381025.1	GCA_050920725.1	Fusobacterium watanabei	Fusobacterium polymorphum	0	0.089363	89.99
GCA_050920725.1	GCA_965217535.1	Fusobacterium polymorphum	Fusobacterium watanabei	0	0.089363	89.99
GCA_000153625.1	GCA_049381025.1	Fusobacterium polymorphum	Fusobacterium watanabei	0	0.089602	89.96
GCA_000153625.1	GCA_965217535.1	Fusobacterium polymorphum	Fusobacterium watanabei	0	0.089602	89.96
GCA_016724785.1	GCA_056823795.1	Fusobacterium canifelinum	Fusobacterium animalis	0	0.090334	89.88
GCA_016724785.1	GCA_965278035.1	Fusobacterium canifelinum	Fusobacterium paranimalis	0	0.091301	89.77
GCA_000279975.1	GCA_000292935.1	Fusobacterium vincentii	Fusobacterium hwasookii	0	0.091738	89.73
GCA_026089295.1	GCA_056823795.1	Fusobacterium simiae	Fusobacterium animalis	0	0.091986	89.70
GCA_000292935.1	GCA_900450795.1	Fusobacterium hwasookii	Fusobacterium vincentii	0	0.092088	89.69
GCA_000279975.1	GCA_014217355.1	Fusobacterium vincentii	Fusobacterium hwasookii	0	0.092122	89.68
GCA_014217355.1	GCA_900450795.1	Fusobacterium hwasookii	Fusobacterium vincentii	0	0.092458	89.64
GCA_000182945.1	GCA_000292935.1	Fusobacterium vincentii	Fusobacterium hwasookii	0	0.094921	89.37
GCA_000182945.1	GCA_014217355.1	Fusobacterium vincentii	Fusobacterium hwasookii	0	0.095354	89.32
GCA_000292935.1	GCA_056823795.1	Fusobacterium hwasookii	Fusobacterium animalis	0	0.095872	89.26
GCA_014217355.1	GCA_056823795.1	Fusobacterium hwasookii	Fusobacterium animalis	0	0.096265	89.22
GCA_000292935.1	GCA_049381025.1	Fusobacterium hwasookii	Fusobacterium watanabei	0	0.096891	89.15
GCA_000292935.1	GCA_965217535.1	Fusobacterium hwasookii	Fusobacterium watanabei	0	0.096891	89.15
GCA_014217355.1	GCA_049381025.1	Fusobacterium hwasookii	Fusobacterium watanabei	0	0.097281	89.10
GCA_014217355.1	GCA_965217535.1	Fusobacterium hwasookii	Fusobacterium watanabei	0	0.097281	89.10
GCA_000292935.1	GCA_965278035.1	Fusobacterium hwasookii	Fusobacterium paranimalis	0	0.098493	88.97
GCA_014217355.1	GCA_965278035.1	Fusobacterium hwasookii	Fusobacterium paranimalis	0	0.098965	88.92
GCA_000160475.1	GCA_000292935.1	Fusobacterium periodonticum	Fusobacterium hwasookii	0	0.102217	88.55
GCA_000279975.1	GCA_026089295.1	Fusobacterium vincentii	Fusobacterium simiae	0	0.102391	88.53
GCA_000160475.1	GCA_014217355.1	Fusobacterium periodonticum	Fusobacterium hwasookii	0	0.102558	88.51
GCA_026089295.1	GCA_900450795.1	Fusobacterium simiae	Fusobacterium vincentii	0	0.102595	88.51
GCA_026089295.1	GCA_049381025.1	Fusobacterium simiae	Fusobacterium watanabei	0	0.103263	88.43
GCA_026089295.1	GCA_965217535.1	Fusobacterium simiae	Fusobacterium watanabei	0	0.103263	88.43
GCA_003019295.1	GCA_026089295.1	Fusobacterium nucleatum	Fusobacterium simiae	0	0.103397	88.42
GCA_026089295.1	GCA_037900345.1	Fusobacterium simiae	Fusobacterium nucleatum	0	0.103404	88.42
GCA_026089295.1	GCA_056333145.1	Fusobacterium simiae	Fusobacterium nucleatum	0	0.103404	88.42
